id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
event_nonsensered_6_1,130005,event_nonsensered_6,Speech,commander,commander,Locale_SubScenario:event_nonsensered_6_1,True,commander,7,idle,liliweiss,5,idle,redhood_d,3,smile_02,snowwhite_o,1,idle,rapunzel_o,13,idle,hongryeon_o,15,idle,dorothy,17,idle,CityForest_01_n,L_70,L_70,1.0,event_bgm_redash_alldownhill
event_nonsensered_6_2,130005,event_nonsensered_6,Speech,commander,commander,Locale_SubScenario:event_nonsensered_6_2,True,,7,idle,,5,idle,,3,smile_02,,1,idle,,13,idle,,15,idle,,17,idle,,L_70,L_70,1.0,
event_nonsensered_6_3,130005,event_nonsensered_6,Speech,commander,commander,Locale_SubScenario:event_nonsensered_6_3,True,,7,idle,,5,idle,,3,smile_02,,1,idle,,13,idle,,15,idle,,17,idle,,L_70,L_70,1.0,
event_nonsensered_6_4,130005,event_nonsensered_6,Speech,redhood_d,redhood_d,Locale_SubScenario:event_nonsensered_6_4,True,,7,idle,,5,idle,,3,smile_02,,1,idle,,13,idle,,15,idle,,17,idle,,L_30,L_30,1.0,
event_nonsensered_6_5,130005,event_nonsensered_6,Speech,redhood_d,redhood_d,Locale_SubScenario:event_nonsensered_6_5,True,,7,idle,,5,idle,,3,smile_02,,1,idle,,13,idle,,15,idle,,17,idle,,L_30,L_30,1.0,
event_nonsensered_6_6,130005,event_nonsensered_6,Speech,redhood_d,redhood_d,Locale_SubScenario:event_nonsensered_6_6,True,,7,idle,,5,idle,,3,smile_02,,1,idle,,13,idle,,15,idle,,17,idle,,L_30,L_30,1.0,
event_nonsensered_6_7,130005,event_nonsensered_6,Speech,rapunzel_o,rapunzel_o,Locale_SubScenario:event_nonsensered_6_7,True,,7,idle,,5,idle,,3,smile_02,,1,idle,,13,no,,15,idle,,17,idle,,130,130,1.0,
event_nonsensered_6_8,130005,event_nonsensered_6,Speech,rapunzel_o,rapunzel_o,Locale_SubScenario:event_nonsensered_6_8,True,,7,idle,,5,idle,,3,smile_02,,1,idle,,13,no,,15,idle,,17,idle,,130,130,1.0,
event_nonsensered_6_9,130005,event_nonsensered_6,Speech,redhood_d,redhood_d,Locale_SubScenario:event_nonsensered_6_9,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,no,,15,idle,,17,idle,,L_30,L_30,1.0,
event_nonsensered_6_10,130005,event_nonsensered_6,Speech,redhood_d,redhood_d,Locale_SubScenario:event_nonsensered_6_10,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,no,,15,idle,,17,idle,,L_30,L_30,1.0,
