id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id
event_ce004_2_intermission_01_1,40056,event_ce004_2_intermission_01,Speech,ce004_02_s,ce004_02,Locale_SubScenario:event_ce004_2_intermission_01_1,False,ein,2,no,ce004_02_s,12,idle,Classroom_e,1,1,1.0,bgm_inark,,,
event_ce004_2_intermission_01_2,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_2,True,,2,no,,12,idle,,1,1,1.0,,,,
event_ce004_2_intermission_01_3,40056,event_ce004_2_intermission_01,Narration,ein,,Locale_SubScenario:event_ce004_2_intermission_01_3,False,,2,no,,12,idle,,1,1,1.0,,sfx_scn_schoolchair,,
event_ce004_2_intermission_01_4,40056,event_ce004_2_intermission_01,Monologue,ein,,Locale_SubScenario:event_ce004_2_intermission_01_4,False,,4,no,,12,idle,,1,4,1.0,,,,
event_ce004_2_intermission_01_5,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_5,True,,4,no,,12,idle,,4,40,1.0,,,,
event_ce004_2_intermission_01_6,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_6,True,,4,no,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_7,40056,event_ce004_2_intermission_01,Speech,ce004_02_s,ce004_02,Locale_SubScenario:event_ce004_2_intermission_01_7,False,,4,no,,12,idle,,40,120,1.0,,,,
event_ce004_2_intermission_01_8,40056,event_ce004_2_intermission_01,Monologue,ce004_02_s,,Locale_SubScenario:event_ce004_2_intermission_01_8,False,,4,no,,12,idle,,120,120,1.0,,,,
event_ce004_2_intermission_01_9,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_9,True,,4,no,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_10,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_10,True,,4,no,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_11,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_11,True,,4,no,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_12,40056,event_ce004_2_intermission_01,Speech,ce004_02_s,ce004_02,Locale_SubScenario:event_ce004_2_intermission_01_12,True,,4,no,,12,idle,,120,120,1.0,,,,
event_ce004_2_intermission_01_13,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_13,True,,4,no,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_14,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_14,True,,4,no,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_15,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_15,True,,4,no,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_16,40056,event_ce004_2_intermission_01,Speech,ce004_02_s,ce004_02,Locale_SubScenario:event_ce004_2_intermission_01_16,True,,4,no,,12,idle,,120,120,1.0,,,,
event_ce004_2_intermission_01_17,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_17,True,,4,no,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_18,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_18,True,,4,no,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_19,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_19,True,,4,idle,,12,idle,,40,40,1.0,none,,,
event_ce004_2_intermission_01_20,40056,event_ce004_2_intermission_01,Monologue,ein,,Locale_SubScenario:event_ce004_2_intermission_01_20,False,,4,idle,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_21,40056,event_ce004_2_intermission_01,Speech,ce004_02_s,ce004_02,Locale_SubScenario:event_ce004_2_intermission_01_21,False,,4,idle,,12,idle,,120,120,1.0,,,,
event_ce004_2_intermission_01_22,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_22,True,,4,idle,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_23,40056,event_ce004_2_intermission_01,Speech,ce004_02_s,ce004_02,Locale_SubScenario:event_ce004_2_intermission_01_23,True,,4,idle,,12,idle,,120,120,1.0,,,,
event_ce004_2_intermission_01_24,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_24,True,,4,idle,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_25,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_25,True,,4,idle,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_26,40056,event_ce004_2_intermission_01,Speech,ce004_02_s,ce004_02,Locale_SubScenario:event_ce004_2_intermission_01_26,False,,4,idle,,12,idle,,40,120,1.0,,,,
event_ce004_2_intermission_01_27,40056,event_ce004_2_intermission_01,Monologue,ce004_02_s,,Locale_SubScenario:event_ce004_2_intermission_01_27,False,,4,idle,,12,idle,,120,120,1.0,,,,
event_ce004_2_intermission_01_28,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_28,True,,4,idle,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_29,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_29,True,,4,idle,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_30,40056,event_ce004_2_intermission_01,Speech,ce004_02_s,ce004_02,Locale_SubScenario:event_ce004_2_intermission_01_30,True,,4,idle,,12,idle,,120,120,1.0,,,,
event_ce004_2_intermission_01_31,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_31,True,,4,idle,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_32,40056,event_ce004_2_intermission_01,Speech,ce004_02_s,ce004_02,Locale_SubScenario:event_ce004_2_intermission_01_32,True,,4,idle,,12,idle,,120,120,1.0,,,,
event_ce004_2_intermission_01_33,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_33,False,,4,idle,,12,idle,,40,400,1.0,bgm_story_inwonderland,,,
event_ce004_2_intermission_01_34,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_34,True,,4,delight,,12,idle,,400,400,1.0,,,,
event_ce004_2_intermission_01_35,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_35,True,,4,delight,,12,idle,,400,400,1.0,,,,
event_ce004_2_intermission_01_36,40056,event_ce004_2_intermission_01,Speech,ce004_02_s,ce004_02,Locale_SubScenario:event_ce004_2_intermission_01_36,False,,4,delight,,12,idle,,120,120,1.0,,,,
event_ce004_2_intermission_01_37,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_37,True,,4,delight,,12,idle,,400,400,1.0,,,,
event_ce004_2_intermission_01_38,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_38,True,,4,delight,,12,idle,,400,40,1.0,,,,
event_ce004_2_intermission_01_39,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_39,True,,4,surprise,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_40,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_40,True,,4,surprise,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_41,40056,event_ce004_2_intermission_01,Speech,ein,ein,Locale_SubScenario:event_ce004_2_intermission_01_41,True,,4,surprise,,12,idle,,40,40,1.0,,,,
event_ce004_2_intermission_01_42,40056,event_ce004_2_intermission_01,Speech,ce004_02_s,ce004_02,Locale_SubScenario:event_ce004_2_intermission_01_42,False,,4,surprise,,12,idle,,120,120,1.0,,,,
