id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,fade,set_camera_shake,play_movie
event_exnii1_03_s_1,40070,event_exnii1_03_s,Speech,neon,neon,Locale_SubScenario:event_exnii1_03_s_1,True,rapi,1,idle,anis,3,idle,neon,5,no,ce005_01,15,idle,ce005_02,13,idle,ce005_03,17,idle,RedBeach_1,5,50,1.0,bgm_story_empathize,,,,,,,,,,,
event_exnii1_03_s_2,40070,event_exnii1_03_s,Speech,neon,neon,Locale_SubScenario:event_exnii1_03_s_2,True,,1,idle,,3,idle,,5,no,,15,idle,,13,idle,,17,idle,,50,50,1.0,,,,,,,,,,,,
event_exnii1_03_s_3,40070,event_exnii1_03_s,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_03_s_3,True,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,13,13,1.0,,,,,,,,,,,,
event_exnii1_03_s_4,40070,event_exnii1_03_s,Speech,neon,neon,Locale_SubScenario:event_exnii1_03_s_4,True,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,idle,,5,5,1.0,,,,,,,,,,,,
event_exnii1_03_s_5,40070,event_exnii1_03_s,Speech,ce005_02,ce004_01,Locale_SubScenario:event_exnii1_03_s_5,True,,1,idle,,3,idle,,5,idle,,15,idle,,13,surprise,,17,no,,13,13,1.0,,,,,,,,,,,,
event_exnii1_03_s_6,40070,event_exnii1_03_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_03_s_6,True,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,no,,17,17,1.0,,,,,,,,,,,,
event_exnii1_03_s_7,40070,event_exnii1_03_s,Speech,neon,neon,Locale_SubScenario:event_exnii1_03_s_7,True,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,no,,5,5,1.0,,,,,,,,,,,,
event_exnii1_03_s_8,40070,event_exnii1_03_s,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii1_03_s_8,True,,1,idle,,3,idle,,5,idle,,15,idle,,13,idle,,17,no,,17,17,1.0,,,,,,,,,,,,
event_exnii1_03_s_9,40070,event_exnii1_03_s,Speech,neon,neon,Locale_SubScenario:event_exnii1_03_s_9,False,,1,idle,,3,idle,,5,no,,15,idle,,13,idle,,17,idle,,5,50,0.8,,,,,,,,,,,,
event_exnii1_03_s_10,40070,event_exnii1_03_s,Speech,rapi,rapi,Locale_SubScenario:event_exnii1_03_s_10,True,,1,idle,,3,idle,,5,no,,15,idle,,13,idle,,17,idle,,50,10,1.0,,,,,,,,,,,,
