id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,play_sound,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,fade
event_coinsinrush2_01_e_1,40089,event_coinsinrush2_01_e,Speech,unknown,Locale_MainScenario:event_coinsinrush2_01_e_1,True,mustang,17,surprise,CoinRushMainHall,black,black,1.0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_2,40089,event_coinsinrush2_01_e,Self,,Locale_MainScenario:event_coinsinrush2_01_e_2,False,,17,surprise,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_3,40089,event_coinsinrush2_01_e,Monologue,,Locale_MainScenario:event_coinsinrush2_01_e_3,False,,17,surprise,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_4,40089,event_coinsinrush2_01_e,Monologue,,Locale_MainScenario:event_coinsinrush2_01_e_4,False,,17,surprise,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_5,40089,event_coinsinrush2_01_e,Monologue,,Locale_MainScenario:event_coinsinrush2_01_e_5,False,,17,surprise,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_6,40089,event_coinsinrush2_01_e,Speech,mustang,Locale_MainScenario:event_coinsinrush2_01_e_6,True,,17,delight,,L_170,L_1700,0.5,event_bgm_mir_title,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_7,40089,event_coinsinrush2_01_e,Speech,coinrushguests,Locale_MainScenario:event_coinsinrush2_01_e_7,False,,17,delight,,L_1700,L_1700,1.0,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_8,40089,event_coinsinrush2_01_e,Speech,mustang,Locale_MainScenario:event_coinsinrush2_01_e_8,True,,17,delight,,L_1700,L_170,1.0,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_9,40089,event_coinsinrush2_01_e,Speech,mustang,Locale_MainScenario:event_coinsinrush2_01_e_9,True,,17,delight,,L_170,L_170,1.0,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_10,40089,event_coinsinrush2_01_e,Speech,mustang,Locale_MainScenario:event_coinsinrush2_01_e_10,True,,17,good,,L_170,L_170,1.0,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_11,40089,event_coinsinrush2_01_e,Speech,coinrushguests,Locale_MainScenario:event_coinsinrush2_01_e_11,False,,17,good,,L_170,L_170,1.0,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_12,40089,event_coinsinrush2_01_e,Speech,mustang,Locale_MainScenario:event_coinsinrush2_01_e_12,True,,17,delight,,L_170,L_170,1.0,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_13,40089,event_coinsinrush2_01_e,Speech,coinrushguests,Locale_MainScenario:event_coinsinrush2_01_e_13,False,,17,delight,,L_170,L_170,1.0,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_14,40089,event_coinsinrush2_01_e,Speech,mustang,Locale_MainScenario:event_coinsinrush2_01_e_14,True,,17,delight,,L_170,L_170,1.0,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_15,40089,event_coinsinrush2_01_e,Speech,mustang,Locale_MainScenario:event_coinsinrush2_01_e_15,True,,17,delight,,L_170,L_170,1.0,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_16,40089,event_coinsinrush2_01_e,Speech,mustang,Locale_MainScenario:event_coinsinrush2_01_e_16,True,,17,delight,,L_170,L_170,1.0,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_17,40089,event_coinsinrush2_01_e,Speech,coinrushguests,Locale_MainScenario:event_coinsinrush2_01_e_17,False,,17,delight,,L_170,L_170,1.0,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_18,40089,event_coinsinrush2_01_e,Speech,mustang,Locale_MainScenario:event_coinsinrush2_01_e_18,True,,17,delight,,L_170,L_170,1.0,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_19,40089,event_coinsinrush2_01_e,Speech,mustang,Locale_MainScenario:event_coinsinrush2_01_e_19,True,,17,delight,,L_170,L_170,1.0,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_20,40089,event_coinsinrush2_01_e,Speech,mustang,Locale_MainScenario:event_coinsinrush2_01_e_20,True,,17,delight,,L_170,L_170,1.0,,mustang,sS,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_21,40089,event_coinsinrush2_01_e,Speech,coinrushguests,Locale_MainScenario:event_coinsinrush2_01_e_21,False,,17,delight,,L_170,L_170,1.0,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_22,40089,event_coinsinrush2_01_e,Speech,mustang,Locale_MainScenario:event_coinsinrush2_01_e_22,True,,17,delight,,L_170,L_1700,0.5,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_23,40089,event_coinsinrush2_01_e,Speech,mustang,Locale_MainScenario:event_coinsinrush2_01_e_23,True,,17,delight,,L_1700,L_1700,1.0,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_24,40089,event_coinsinrush2_01_e,Speech,mustang,Locale_MainScenario:event_coinsinrush2_01_e_24,True,,17,delight,,L_1700,L_170,0.5,,mustang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_25,40089,event_coinsinrush2_01_e,Speech,coinrushguests,Locale_MainScenario:event_coinsinrush2_01_e_25,False,,17,delight,,L_170,L_170,1.0,,mustang,,rouge_b,7,surprise,milk_b,5,surprise3,bay_b,3,worry,ade_b,1,surprise,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_26,40089,event_coinsinrush2_01_e,Speech,rouge_b,Locale_MainScenario:event_coinsinrush2_01_e_26,True,,17,delight,,70,70,1.0,none,rouge_b,mustang,,7,surprise,,5,surprise3,,3,worry,,1,surprise,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_27,40089,event_coinsinrush2_01_e,Self,,Locale_MainScenario:event_coinsinrush2_01_e_27,False,,,,,70,70,1.0,,rouge_b,,,7,surprise,,5,surprise3,,3,worry,,1,surprise,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_28,40089,event_coinsinrush2_01_e,Speech,milk_b,Locale_MainScenario:event_coinsinrush2_01_e_28,True,,,,,70,4,1.0,,milk_b,,,7,surprise,,5,surprise3,,3,worry,,1,surprise,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_29,40089,event_coinsinrush2_01_e,Speech,bay_b,Locale_MainScenario:event_coinsinrush2_01_e_29,False,,,,,4,4,1.0,,bay_b,,,7,surprise,,5,surprise3,,3,worry,,1,surprise,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_30,40089,event_coinsinrush2_01_e,Speech,ade_b,Locale_MainScenario:event_coinsinrush2_01_e_30,True,,,,,10,10,1.0,,ade_b,,,7,surprise,,5,surprise3,,3,worry,,1,surprise,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_31,40089,event_coinsinrush2_01_e,Speech,ade_b,Locale_MainScenario:event_coinsinrush2_01_e_31,True,,,,,10,10,1.0,,ade_b,,,7,surprise,,5,surprise3,,3,worry,,1,surprise,,,,,,,,,,,,,,,
event_coinsinrush2_01_e_32,40089,event_coinsinrush2_01_e,Self,,Locale_MainScenario:event_coinsinrush2_01_e_32,False,,,,,10,170,1.0,,ade_b,,,7,surprise,,5,surprise3,,3,worry,,1,surprise,,,,,,,,,,,,,,,
