id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_foolburstday_05_1,130007,event_foolburstday_05,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_05_1,True,mechashifty,1,idle,Hotel,S_100,S_10,1.0,none,,,,,,,,,
event_foolburstday_05_2,130007,event_foolburstday_05,Self,mechashifty,,Locale_SubScenario:event_foolburstday_05_2,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,,
event_foolburstday_05_3,130007,event_foolburstday_05,Self,mechashifty,,Locale_SubScenario:event_foolburstday_05_3,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,,
event_foolburstday_05_4,130007,event_foolburstday_05,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_05_4,True,,1,idle,,S_10,S_10,1.0,bgm_story_tepidappleade,,,,,,,,,
event_foolburstday_05_5,130007,event_foolburstday_05,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_05_5,True,,1,idle,,S_10,S_10,1.0,,,,,,,,,,
event_foolburstday_05_6,130007,event_foolburstday_05,Self,mechashifty,,Locale_SubScenario:event_foolburstday_05_6,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,,
event_foolburstday_05_7,130007,event_foolburstday_05,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_05_7,True,,1,idle,,S_10,S_100,1.0,,,,,,,,,,
event_foolburstday_05_8,130007,event_foolburstday_05,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_05_8,True,,1,idle,,S_100,S_100,1.0,,,,,,,,,,
event_foolburstday_05_9,130007,event_foolburstday_05,Self,mechashifty,,Locale_SubScenario:event_foolburstday_05_9,False,,1,idle,,S_100,S_100,1.0,,,,,,,,,,
event_foolburstday_05_10,130007,event_foolburstday_05,Self,mechashifty,,Locale_SubScenario:event_foolburstday_05_10,False,,1,idle,,S_100,S_100,1.0,,,,,,,,,,
event_foolburstday_05_11,130007,event_foolburstday_05,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_05_11,True,,1,idle,,S_100,S_100,1.0,,,,,,,,,,
event_foolburstday_05_12,130007,event_foolburstday_05,Self,mechashifty,,Locale_SubScenario:event_foolburstday_05_12,False,,1,idle,,S_100,S_100,1.0,,,,,,,,,,
event_foolburstday_05_13,130007,event_foolburstday_05,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_05_13,True,,1,idle,,S_100,S_100,1.0,,,,,,,,,,
event_foolburstday_05_14,130007,event_foolburstday_05,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_05_14,True,,1,idle,,S_100,S_10,0.5,,,,,,,,,,
event_foolburstday_05_15,130007,event_foolburstday_05,Self,mechashifty,,Locale_SubScenario:event_foolburstday_05_15,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,,
event_foolburstday_05_16,130007,event_foolburstday_05,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_05_16,True,,1,idle,,S_10,S_10,1.0,,,,,,,,,,
event_foolburstday_05_17,130007,event_foolburstday_05,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_05_17,True,,1,idle,,S_10,S_10,1.0,,,,,,,,,,
event_foolburstday_05_18,130007,event_foolburstday_05,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_05_18,True,,1,idle,,S_10,S_10,1.0,,,,,,,,,,
event_foolburstday_05_19,130007,event_foolburstday_05,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_05_19,True,,1,idle,,S_10,S_10,1.0,,,,,,,,,,
event_foolburstday_05_20,130007,event_foolburstday_05,Self,mechashifty,,Locale_SubScenario:event_foolburstday_05_20,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,,
event_foolburstday_05_21,130007,event_foolburstday_05,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_05_21,True,,1,idle,,S_10,S_100,0.5,,,,,,,,,,
event_foolburstday_05_22,130007,event_foolburstday_05,Self,mechashifty,,Locale_SubScenario:event_foolburstday_05_22,False,,1,idle,,S_100,S_100,1.0,,,,,,,,,,
event_foolburstday_05_23,130007,event_foolburstday_05,Speech,rumani,rumani,Locale_SubScenario:event_foolburstday_05_23,True,,1,idle,,S_100,L_1300,1.0,,rumani,13,idle,bay,15,idle,clay,17,surprise
