id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake
event_seayouagain2_04_s_1,40025,event_seayouagain2_04_s,Speech,neon_s,neon,Locale_MainScenario:event_seayouagain2_04_s_1,True,helm_s,9,angry,anis_s,7,angry,neon_s,5,angry,yan_s,3,no,rapi_s,1,angry,liter_s,13,no,mary_s,15,surprise,pepper_s,17,angry,EventScene_SeaYouAgain_01_1,75,75,1.0,bgm_emergency,,
event_seayouagain2_04_s_2,40025,event_seayouagain2_04_s,Speech,anis_s,anis,Locale_MainScenario:event_seayouagain2_04_s_2,True,,9,angry,,7,angry,,5,angry,,3,no,,1,angry,,13,no,,15,surprise,,17,angry,,75,75,1.0,,,
event_seayouagain2_04_s_3,40025,event_seayouagain2_04_s,Speech,yan_s,yan,Locale_MainScenario:event_seayouagain2_04_s_3,True,,9,angry,,7,angry,,5,angry,,3,no,,1,angry,,13,no,,15,surprise,,17,angry,,S_30,S_30,1.0,,,
event_seayouagain2_04_s_4,40025,event_seayouagain2_04_s,Speech,anis_s,anis,Locale_MainScenario:event_seayouagain2_04_s_4,True,,9,angry,,7,angry,,5,angry,,3,no,,1,angry,,13,no,,15,surprise,,17,angry,,XS_70,XS_70,1.0,,,
event_seayouagain2_04_s_5,40025,event_seayouagain2_04_s,Speech,anis_s,anis,Locale_MainScenario:event_seayouagain2_04_s_5,True,,9,angry,,7,angry,,5,angry,,3,no,,1,angry,,13,no,,15,surprise,,17,angry,,XS_70,XS_700,0.5,,,
event_seayouagain2_04_s_6,40025,event_seayouagain2_04_s,Speech,neon_s,neon,Locale_MainScenario:event_seayouagain2_04_s_6,True,,9,angry,,7,angry,,5,angry,,3,no,,1,angry,,13,no,,15,surprise,,17,angry,,XS_700,XS_700,1.0,,,
event_seayouagain2_04_s_7,40025,event_seayouagain2_04_s,Speech,helm_s,helm,Locale_MainScenario:event_seayouagain2_04_s_7,True,,9,angry,,7,angry,,5,angry,,3,no,,1,angry,,13,no,,15,surprise,,17,angry,,XS_700,900,1.0,,,
event_seayouagain2_04_s_8,40025,event_seayouagain2_04_s,Speech,helm_s,helm,Locale_MainScenario:event_seayouagain2_04_s_8,True,,9,angry,,7,angry,,5,angry,,3,no,,1,angry,,13,no,,15,surprise,,17,angry,,900,90,1.0,,,
event_seayouagain2_04_s_9,40025,event_seayouagain2_04_s,Narration,,,Locale_MainScenario:event_seayouagain2_04_s_9,False,,9,angry,,7,angry,,5,angry,,3,no,,1,angry,,13,no,,15,surprise,,17,angry,,black,black,1.0,,,
event_seayouagain2_04_s_10,40025,event_seayouagain2_04_s,Narration,,,Locale_MainScenario:event_seayouagain2_04_s_10,False,,9,angry,,7,angry,,5,angry,,3,no,,1,angry,,13,no,,15,surprise,,17,angry,,black,black,1.0,,,
