id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_filter_01,set_filter_02,fade,set_camera_shake,characters/2/hide_char_id,characters/3/hide_char_id,characters/1/hide_char_id
snowfall_episode_emma_07_1,80903,snowfall_episode_emma_07,Self,Self,Locale_SubScenario:snowfall_episode_emma_07_1,False,HotSpringInnIn_n,17,17,1.0,amb_so_inn_in_3,event_bgm_neverland_hugme_night,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_emma_07_2,80903,snowfall_episode_emma_07,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_07_2,False,,17,17,1.0,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_emma_07_3,80903,snowfall_episode_emma_07,Narration,Narration,Locale_SubScenario:snowfall_episode_emma_07_3,False,,17,17,1.0,,,sfx_scn_knock,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_emma_07_4,80903,snowfall_episode_emma_07,Speech,emma,Locale_SubScenario:snowfall_episode_emma_07_4,True,,17,17,1.0,,,,emma,,,,,,,,,,,,,,,,,,,,
snowfall_episode_emma_07_5,80903,snowfall_episode_emma_07,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_07_5,False,,17,17,1.0,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_emma_07_6,80903,snowfall_episode_emma_07,Narration,Narration,Locale_SubScenario:snowfall_episode_emma_07_12,False,,17,1,1.0,,,sfx_scn_slidingdoor,,,,,,,,,,,,,,,,,,,,,
snowfall_episode_emma_07_7,80903,snowfall_episode_emma_07,Monologue,Monologue,Locale_SubScenario:snowfall_episode_emma_07_13,False,,1,1,1.0,,,,,emma,1,idle,,,,,,,,,,,,,,,,,
snowfall_episode_emma_07_8,80903,snowfall_episode_emma_07,Speech,emma,Locale_SubScenario:snowfall_episode_emma_07_14,True,,1,1,1.0,,,,emma,,1,surprise,,,,,,,,,,,,,,,,,
snowfall_episode_emma_07_9,80903,snowfall_episode_emma_07,Speech,emma,Locale_SubScenario:snowfall_episode_emma_07_15,True,,1,1,1.0,,,,emma,,1,special,,,,,,,,,,,,,,,,,
snowfall_episode_emma_07_10,80903,snowfall_episode_emma_07,Self,Self,Locale_SubScenario:snowfall_episode_emma_07_16,False,,1,1,1.0,,,,,,1,special,,,,,,,,,,,,,,,,,
snowfall_episode_emma_07_11,80903,snowfall_episode_emma_07,Speech,emma,Locale_SubScenario:snowfall_episode_emma_07_17,True,,1,1,1.0,,,,emma,,1,special,,,,,,,,,,,,,,,,,
snowfall_episode_emma_07_12,80903,snowfall_episode_emma_07,Self,Self,Locale_SubScenario:snowfall_episode_emma_07_18,False,,1,1,1.0,,,,,,1,special,,,,,,,,,,,,,,,,,
snowfall_episode_emma_07_13,80903,snowfall_episode_emma_07,Speech,emma,Locale_SubScenario:snowfall_episode_emma_07_19,True,,1,1,1.0,,,,emma,,1,shy,,,,,,,,,,,,,,,,,
snowfall_episode_emma_07_14,80903,snowfall_episode_emma_07,Speech,emma,Locale_SubScenario:snowfall_episode_emma_07_20,True,,1,1,1.0,,,,emma,,1,idle,,,,,,,,,,,,,,,,,
snowfall_episode_emma_07_15,80903,snowfall_episode_emma_07,Speech,emma,Locale_SubScenario:snowfall_episode_emma_07_21,True,,1,1,1.0,,,,emma,,1,idle,,,,,,,,,,,,,,,,,
