id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,speaker,fade,set_camera_shake
event_boomsday_02_s_1,40040,event_boomsday_02_s,Narration,Locale_SubScenario:event_boomsday_02_s_1,False,CommanderRoom,black,black,1.0,sfx_scn_8bitexplosionlp,none,,,,,,,,,,
event_boomsday_02_s_2,40040,event_boomsday_02_s,Monologue,Locale_SubScenario:event_boomsday_02_s_2,False,,black,black,1.0,,,,,,,,,,,,
event_boomsday_02_s_3,40040,event_boomsday_02_s,Narration,Locale_SubScenario:event_boomsday_02_s_3,False,,black,black,1.0,sfx_scn_8bitexplosionlp2,,,,,,,,,,,
event_boomsday_02_s_4,40040,event_boomsday_02_s,Monologue,Locale_SubScenario:event_boomsday_02_s_4,False,,9,2,1.7,,bgm_story_heynewbie,elegg,3,idle,exia,1,idle,,,,
event_boomsday_02_s_5,40040,event_boomsday_02_s,Speech,Locale_SubScenario:event_boomsday_02_s_5,True,,2,2,1.0,,,,3,delight,,1,idle,elegg,elegg,,
event_boomsday_02_s_6,40040,event_boomsday_02_s,Speech,Locale_SubScenario:event_boomsday_02_s_6,True,,2,2,1.0,,,,3,delight,,1,idle,exia,exia,,
event_boomsday_02_s_7,40040,event_boomsday_02_s,Self,Locale_SubScenario:event_boomsday_02_s_7,False,,2,2,1.0,,,,3,delight,,1,idle,,,,
event_boomsday_02_s_8,40040,event_boomsday_02_s,Speech,Locale_SubScenario:event_boomsday_02_s_8,True,,2,S_30,0.7,,,,3,delight,,1,idle,elegg,elegg,,
event_boomsday_02_s_9,40040,event_boomsday_02_s,Self,Locale_SubScenario:event_boomsday_02_s_9,False,,S_30,S_30,1.0,,,,3,delight,,1,idle,,,,
event_boomsday_02_s_10,40040,event_boomsday_02_s,Monologue,Locale_SubScenario:event_boomsday_02_s_10,False,,S_10,S_10,1.0,,,,3,idle,,1,idle,,,,
event_boomsday_02_s_11,40040,event_boomsday_02_s,Monologue,Locale_SubScenario:event_boomsday_02_s_11,False,,S_30,S_30,1.0,,,,3,idle,,1,idle,,,,
event_boomsday_02_s_12,40040,event_boomsday_02_s,Monologue,Locale_SubScenario:event_boomsday_02_s_12,False,,S_30,2,1.0,,,,3,idle,,1,idle,,,,
event_boomsday_02_s_13,40040,event_boomsday_02_s,Narration,Locale_SubScenario:event_boomsday_02_s_13,False,,9,90,0.5,sfx_scn_8bitexplosion,,,3,idle,,1,idle,,,,
event_boomsday_02_s_14,40040,event_boomsday_02_s,Monologue,Locale_SubScenario:event_boomsday_02_s_14,False,,90,90,1.0,,,,3,idle,,1,idle,,,,
event_boomsday_02_s_15,40040,event_boomsday_02_s,Self,Locale_SubScenario:event_boomsday_02_s_15,False,,90,2,1.0,,,,3,idle,,1,idle,,,,
event_boomsday_02_s_16,40040,event_boomsday_02_s,Speech,Locale_SubScenario:event_boomsday_02_s_16,True,,2,2,1.0,,,,3,idle,,1,idle,exia,exia,,
event_boomsday_02_s_17,40040,event_boomsday_02_s,Speech,Locale_SubScenario:event_boomsday_02_s_17,True,,2,2,1.0,,,,3,idle,,1,idle,exia,exia,,
event_boomsday_02_s_18,40040,event_boomsday_02_s,Speech,Locale_SubScenario:event_boomsday_02_s_18,True,,2,2,1.0,,,,3,idle,,1,idle,exia,exia,,
event_boomsday_02_s_19,40040,event_boomsday_02_s,Speech,Locale_SubScenario:event_boomsday_02_s_19,True,,2,2,1.0,,,,3,idle,,1,idle,elegg,elegg,,
event_boomsday_02_s_20,40040,event_boomsday_02_s,Monologue,Locale_SubScenario:event_boomsday_02_s_20,False,,2,2,1.0,,,,3,idle,,1,idle,,,,
event_boomsday_02_s_21,40040,event_boomsday_02_s,Monologue,Locale_SubScenario:event_boomsday_02_s_21,False,,2,2,1.0,,,,3,idle,,1,idle,,,,
event_boomsday_02_s_22,40040,event_boomsday_02_s,Monologue,Locale_SubScenario:event_boomsday_02_s_22,False,,2,2,1.0,,,,3,idle,,1,idle,,,,
event_boomsday_02_s_23,40040,event_boomsday_02_s,Speech,Locale_SubScenario:event_boomsday_02_s_23,True,,1,S_10,0.5,,,,3,idle,,1,good,exia,exia,black,
event_boomsday_02_s_24,40040,event_boomsday_02_s,Speech,Locale_SubScenario:event_boomsday_02_s_24,True,,2,2,1.0,,,,3,idle,,1,good,elegg,elegg,,
event_boomsday_02_s_25,40040,event_boomsday_02_s,Speech,Locale_SubScenario:event_boomsday_02_s_25,True,,2,2,1.0,,,,3,delight,,1,good,elegg,elegg,,
event_boomsday_02_s_26,40040,event_boomsday_02_s,Speech,Locale_SubScenario:event_boomsday_02_s_26,True,,2,2,1.0,,,,3,delight,,1,good,exia,exia,,
event_boomsday_02_s_27,40040,event_boomsday_02_s,Speech,Locale_SubScenario:event_boomsday_02_s_27,True,,2,S_30,1.0,,,,3,delight,,1,good,elegg,elegg,,
