id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
re_event_ce02_2_02_s_1,40083,re_event_ce02_2_02_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_2_02_s_1,False,neon,9,idle,anis,7,idle,rapi,5,idle,ce_02_01,3,idle,ce_02_npc_01,1,idle,c1002_02,13,idle,b0006_02,15,idle,6000d_02,17,idle,WasteLand_03,14,14,1.0,event_bgm_ce002_story_3
re_event_ce02_2_02_s_2,40083,re_event_ce02_2_02_s,Speech,b0006_02,b0006_02,Locale_SubScenario:event_ce02_2_02_s_2,False,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,14,14,1.0,
re_event_ce02_2_02_s_3,40083,re_event_ce02_2_02_s,Speech,6000d_02,6000d_02,Locale_SubScenario:event_ce02_2_02_s_3,False,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,14,16,0.7,
re_event_ce02_2_02_s_4,40083,re_event_ce02_2_02_s,Self,,Self,Locale_SubScenario:event_ce02_2_02_s_4,False,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,16,16,1.0,
re_event_ce02_2_02_s_5,40083,re_event_ce02_2_02_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_2_02_s_5,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,16,14,0.7,
re_event_ce02_2_02_s_6,40083,re_event_ce02_2_02_s,Speech,anis,anis,Locale_SubScenario:event_ce02_2_02_s_6,True,,9,idle,,7,worry,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,7,70,0.7,
re_event_ce02_2_02_s_7,40083,re_event_ce02_2_02_s,Speech,anis,anis,Locale_SubScenario:event_ce02_2_02_s_7,True,,9,idle,,7,worry,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,70,70,1.0,
re_event_ce02_2_02_s_8,40083,re_event_ce02_2_02_s,Speech,anis,anis,Locale_SubScenario:event_ce02_2_02_s_8,True,,9,idle,,7,worry,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,70,70,1.0,
re_event_ce02_2_02_s_9,40083,re_event_ce02_2_02_s,Speech,anis,anis,Locale_SubScenario:event_ce02_2_02_s_9,True,,9,idle,,7,worry,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,70,70,1.0,
re_event_ce02_2_02_s_10,40083,re_event_ce02_2_02_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_2_02_s_10,True,,9,idle,,7,worry,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,13,130,1.0,
re_event_ce02_2_02_s_11,40083,re_event_ce02_2_02_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_2_02_s_11,True,,9,idle,,7,worry,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,
re_event_ce02_2_02_s_12,40083,re_event_ce02_2_02_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_2_02_s_12,True,,9,idle,,7,worry,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,
re_event_ce02_2_02_s_13,40083,re_event_ce02_2_02_s,Speech,c1002_02,c1002_02,Locale_SubScenario:event_ce02_2_02_s_13,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,130,130,1.0,
