id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,play_ambient,ambient_volume,set_filter_01,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_lastkingdom2_05_e_1,40046,event_lastkingdom2_05_e,Speech,talkative,talkative,Locale_MainScenario:event_lastkingdom2_05_e_1,True,CrownCastleFrontYard_d,XS_10,XS_100,1.5,event_bgm_lastkingdom_machines,,,,,,,talkative,1,idle,,snowwhite,3,idle,,talos,5,idle,,,,,,marian_q,15,angry,
event_lastkingdom2_05_e_2,40046,event_lastkingdom2_05_e,Speech,kilo_op_c,kilo_op_c,Locale_MainScenario:event_lastkingdom2_05_e_2,True,,53,53,1.0,,,,,,,,,1,idle,,,3,idle,,,5,idle,,kilo_op_c,OP_kilo_center,idle,,,15,angry,
event_lastkingdom2_05_e_3,40046,event_lastkingdom2_05_e,Speech,snowwhite,snowwhite,Locale_MainScenario:event_lastkingdom2_05_e_3,True,,53,53,1.0,,,,,,,,,1,idle,,,3,idle,,,5,idle,,,OP_kilo_center,idle,,,15,angry,
event_lastkingdom2_05_e_4,40046,event_lastkingdom2_05_e,Speech,talkative,talkative,Locale_MainScenario:event_lastkingdom2_05_e_4,True,,XS_10,XS_10,1.0,,,,,,,,,1,idle,,,3,idle,,,5,idle,,,OP_kilo,idle,kilo_op_c,,15,angry,
event_lastkingdom2_05_e_5,40046,event_lastkingdom2_05_e,Speech,talkative,talkative,Locale_MainScenario:event_lastkingdom2_05_e_5,True,,XS_10,XS_100,1.0,,,,,,,,,1,idle,,,3,idle,,,5,idle,,,,,,,15,angry,
event_lastkingdom2_05_e_6,40046,event_lastkingdom2_05_e,Narration,talkative,,Locale_MainScenario:event_lastkingdom2_05_e_6,False,,XS_100,1500,2.0,,,,,,,,,1,idle,,,3,idle,,,5,idle,,,,,,,15,angry,
event_lastkingdom2_05_e_7,40046,event_lastkingdom2_05_e,Narration,talkative,,Locale_MainScenario:event_lastkingdom2_05_e_7,False,,1500,150,1.0,,,,,,,,,1,idle,,,3,idle,,,5,idle,,,,,,,15,angry,
event_lastkingdom2_05_e_8,40046,event_lastkingdom2_05_e,Speech,talkative,talkative,Locale_MainScenario:event_lastkingdom2_05_e_8,True,,150,150,1.0,,,,,,,,,1,idle,,,3,idle,,,5,idle,,,,,,,15,angry,
event_lastkingdom2_05_e_9,40046,event_lastkingdom2_05_e,Speech,talkative,talkative,Locale_MainScenario:event_lastkingdom2_05_e_9,False,,150,XS_10,2.0,,,,,,,,,1,idle,,,3,idle,,,5,idle,,,,,,,15,angry,
event_lastkingdom2_05_e_10,40046,event_lastkingdom2_05_e,Speech,talkative,talkative,Locale_MainScenario:event_lastkingdom2_05_e_10,True,,XS_10,XS_10,1.0,,,,,,,,,1,idle,,,3,idle,,,5,idle,,,,,,,15,angry,marian_q
