id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,speaker,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade
d_contents_dungeon_run_08_1,81701,d_contents_dungeon_run_08,Narration,Locale_SubScenario:d_contents_dungeon_run_08_1,False,DragonCastleIn,black,black,1.0,none,,,,,,,,,,,,,
d_contents_dungeon_run_08_2,81701,d_contents_dungeon_run_08,Narration,Locale_SubScenario:d_contents_dungeon_run_08_2,False,,black,black,1.0,,,,,,,,,,,,,,
d_contents_dungeon_run_08_3,81701,d_contents_dungeon_run_08,Narration,Locale_SubScenario:d_contents_dungeon_run_08_3,False,,black,black,1.0,,,,,,,,,,,,,,
d_contents_dungeon_run_08_4,81701,d_contents_dungeon_run_08,Narration,Locale_SubScenario:d_contents_dungeon_run_08_4,False,,black,black,1.0,,vesti_c,12,idle,guillotine_w_no,2,idle,,,,,,,
d_contents_dungeon_run_08_5,81701,d_contents_dungeon_run_08,Self,Locale_SubScenario:d_contents_dungeon_run_08_5,False,,XS_120,XS_120,1.0,bgm_story_tepidappleade,,12,idle,,2,idle,vesti_c,,,,,,
d_contents_dungeon_run_08_6,81701,d_contents_dungeon_run_08,Self,Locale_SubScenario:d_contents_dungeon_run_08_6,False,,XS_120,XS_120,1.0,,,12,idle,,2,idle,vesti_c,,,,,,
d_contents_dungeon_run_08_7,81701,d_contents_dungeon_run_08,Speech,Locale_SubScenario:d_contents_dungeon_run_08_7,True,,XS_120,XS_120,1.0,,,12,delight,,2,idle,vesti_c,vesti_c,,,,,
d_contents_dungeon_run_08_8,81701,d_contents_dungeon_run_08,Speech,Locale_SubScenario:d_contents_dungeon_run_08_8,True,,XS_120,XS_120,1.0,,,12,delight,,2,idle,vesti_c,vesti_c,,,,,
d_contents_dungeon_run_08_9,81701,d_contents_dungeon_run_08,Speech,Locale_SubScenario:d_contents_dungeon_run_08_9,True,,XS_120,XS_20,1.0,,,12,delight,,2,delight,guillotine_w_no,guillotine_w_no,,,,,
d_contents_dungeon_run_08_10,81701,d_contents_dungeon_run_08,Speech,Locale_SubScenario:d_contents_dungeon_run_08_10,True,,XS_20,XS_20,1.0,,,12,delight,,2,delight,guillotine_w_no,guillotine_w_no,,,,,
d_contents_dungeon_run_08_11,81701,d_contents_dungeon_run_08,Speech,Locale_SubScenario:d_contents_dungeon_run_08_11,True,,XS_20,XS_20,1.0,,,12,delight,,2,delight,guillotine_w_no,guillotine_w_no,,,,,
d_contents_dungeon_run_08_12,81701,d_contents_dungeon_run_08,Speech,Locale_SubScenario:d_contents_dungeon_run_08_12,False,,XS_20,XS_20,1.0,,,12,delight,,2,idle,guillotine_w_no,guillotine_w_no,,,,,
d_contents_dungeon_run_08_13,81701,d_contents_dungeon_run_08,Speech,Locale_SubScenario:d_contents_dungeon_run_08_13,True,,XS_20,XS_20,1.0,,,12,delight,,2,idle,guillotine_w_no,guillotine_w_no,,,,,
d_contents_dungeon_run_08_14,81701,d_contents_dungeon_run_08,Speech,Locale_SubScenario:d_contents_dungeon_run_08_14,True,,XS_20,XS_20,1.0,,,12,delight,,2,angry,guillotine_w_no,guillotine_w_no,,,,,
d_contents_dungeon_run_08_15,81701,d_contents_dungeon_run_08,Speech,Locale_SubScenario:d_contents_dungeon_run_08_15,True,,XS_20,XS_120,1.0,,,12,delight,,2,angry,vesti_c,vesti_c,,,,,
d_contents_dungeon_run_08_16,81701,d_contents_dungeon_run_08,Speech,Locale_SubScenario:d_contents_dungeon_run_08_16,True,,1,1,1.0,,,12,idle,,2,angry,vesti_c,vesti_c,guillotine_w_no,volume_c,2,idle,black
d_contents_dungeon_run_08_17,81701,d_contents_dungeon_run_08,Speech,Locale_SubScenario:d_contents_dungeon_run_08_17,True,,1,1,1.0,,,12,idle,,,,volume_c,volume_c,,,2,idle,
d_contents_dungeon_run_08_18,81701,d_contents_dungeon_run_08,Speech,Locale_SubScenario:d_contents_dungeon_run_08_18,True,,1,1,1.0,,,12,idle,,,,volume_c,volume_c,,,2,idle,
