id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,fade,characters/0/hide_char_id,characters/3/hide_char_id
event_lifeagain_05_s_1,40060,event_lifeagain_05_s,Narration,Narration,Locale_SubScenario:event_lifeagain_05_s_1,False,nadia,3,angry,SimulationRoom,black,black,1.0,none,,,,,,,,,,,,,,,
event_lifeagain_05_s_2,40060,event_lifeagain_05_s,Narration,Narration,Locale_SubScenario:event_lifeagain_05_s_2,False,,3,angry,,17,17,1.0,bgm_story_breakaway,sfx_scn_autodooropen,,,,,,,,,,,,,,
event_lifeagain_05_s_3,40060,event_lifeagain_05_s,Self,Self,Locale_SubScenario:event_lifeagain_05_s_3,False,,3,angry,,17,3,1.5,,,,,,,,,,,,,,,,
event_lifeagain_05_s_4,40060,event_lifeagain_05_s,Speech,nadia,Locale_SubScenario:event_lifeagain_05_s_4,False,,3,angry,,3,3,1.0,,,nadia,,,,,,,,,,,,,
event_lifeagain_05_s_5,40060,event_lifeagain_05_s,Self,Self,Locale_SubScenario:event_lifeagain_05_s_5,False,,3,angry,,3,3,1.0,,,nadia,,,,,,,,,,,,,
event_lifeagain_05_s_6,40060,event_lifeagain_05_s,Speech,nadia,Locale_SubScenario:event_lifeagain_05_s_6,True,,3,angry,,3,3,1.0,,,nadia,,,,,,,,,,,,,
event_lifeagain_05_s_7,40060,event_lifeagain_05_s,Monologue,Monologue,Locale_SubScenario:event_lifeagain_05_s_7,False,,3,angry,,3,3,1.0,,,nadia,,,,,,,,,,,,,
event_lifeagain_05_s_8,40060,event_lifeagain_05_s,Narration,Narration,Locale_SubScenario:event_lifeagain_05_s_8,False,,3,angry,,3,8,1.0,,,nadia,,,,,,,,,,,,,
event_lifeagain_05_s_9,40060,event_lifeagain_05_s,Speech,folkwang,Locale_SubScenario:event_lifeagain_05_s_9,True,,3,angry,,8,8,1.0,,,folkwang,folkwang,9,idle,epinel,7,idle,,,,,,,
event_lifeagain_05_s_10,40060,event_lifeagain_05_s,Speech,folkwang,Locale_SubScenario:event_lifeagain_05_s_10,True,,3,angry,,8,8,1.0,,,folkwang,,9,pain,,7,idle,,,,,,,
