id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_claymore_01_s_1,40050,event_claymore_01_s,Narration,Locale_SubScenario:event_claymore_01_s_1,False,Hospital,black,black,1.0,none,,,,,clay,5,shy,bay,3,idle,,pepper,7,idle,
event_claymore_01_s_2,40050,event_claymore_01_s,Narration,Locale_SubScenario:event_claymore_01_s_2,False,,black,black,1.0,,sfx_scn_autodooropen,,,,,5,shy,,3,idle,,,7,idle,
event_claymore_01_s_3,40050,event_claymore_01_s,Speech,Locale_SubScenario:event_claymore_01_s_3,True,,5,50,0.5,bgm_intotheswarm,,clay,clay,,,5,shy,,3,idle,,,7,idle,
event_claymore_01_s_4,40050,event_claymore_01_s,Speech,Locale_SubScenario:event_claymore_01_s_4,True,,50,50,1.0,,,clay,clay,,,5,shy,,3,idle,,,7,idle,
event_claymore_01_s_5,40050,event_claymore_01_s,Speech,Locale_SubScenario:event_claymore_01_s_5,True,,50,50,1.0,,,clay,clay,,,5,shy,,3,idle,,,7,idle,
event_claymore_01_s_6,40050,event_claymore_01_s,Speech,Locale_SubScenario:event_claymore_01_s_6,True,,50,50,1.0,,,clay,clay,,,5,shy,,3,idle,,,7,idle,
event_claymore_01_s_7,40050,event_claymore_01_s,Speech,Locale_SubScenario:event_claymore_01_s_7,True,,50,50,1.0,,,clay,clay,,,5,shy,,3,idle,,,7,idle,
event_claymore_01_s_8,40050,event_claymore_01_s,Speech,Locale_SubScenario:event_claymore_01_s_8,True,,50,50,1.0,,,clay,clay,,,5,shy,,3,idle,,,7,surprise,
event_claymore_01_s_9,40050,event_claymore_01_s,Speech,Locale_SubScenario:event_claymore_01_s_9,True,,50,6,1.0,,,pepper,pepper,,,5,shy,,3,idle,,,7,surprise,
event_claymore_01_s_10,40050,event_claymore_01_s,Speech,Locale_SubScenario:event_claymore_01_s_10,True,,6,6,1.0,,,pepper,pepper,,,5,shy,,3,idle,,,7,surprise,
