id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,jump_target,characters/5/hide_char_id,characters/6/hide_char_id,characters/1/hide_char_id,characters/3/hide_char_id,characters/7/hide_char_id,set_camera_shake,set_filter_01,fade,characters/4/hide_char_id
event_neverland1_02_e_1,40034,event_neverland1_02_e,Narration,Locale_MainScenario:event_neverland1_02_e_1,False,CommanderRoom,1,1,1.0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_2,40034,event_neverland1_02_e,Monologue,Locale_MainScenario:event_neverland1_02_e_2,False,,1,1,1.0,event_bgm_neverland_schedulecheck_day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_3,40034,event_neverland1_02_e,Monologue,Locale_MainScenario:event_neverland1_02_e_3,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_4,40034,event_neverland1_02_e,Self,Locale_MainScenario:event_neverland1_02_e_4,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_5,40034,event_neverland1_02_e,Narration,Locale_MainScenario:event_neverland1_02_e_5,False,,1,1,1.0,,m_event_neverland1_02_e,sfx_scn_phonevibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_6,40034,event_neverland1_02_e,Self,Locale_MainScenario:event_neverland1_02_e_6,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_7,40034,event_neverland1_02_e,Narration,Locale_MainScenario:event_neverland1_02_e_7,False,,1,12,1.0,,,sfx_scn_autodooropen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_8,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_8,True,,12,12,1.0,,,,signal,signal,signal,13,idle,delta,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_9,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_9,True,,12,12,1.0,,,,delta,delta,,13,idle,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_10,40034,event_neverland1_02_e,Monologue,Locale_MainScenario:event_neverland1_02_e_10,False,,12,16,1.0,,,sfx_scn_autodooropen,,,,13,idle,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_11,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_11,True,,16,16,1.0,,,,emma,emma,,13,idle,,1,idle,emma,15,delight,eunhwa,17,idle,vesti,19,idle,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_12,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_12,True,,16,14,1.0,,,,signal,signal,,13,delight,,1,idle,,15,delight,,17,idle,,19,idle,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_13,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_13,True,,14,14,1.0,,,,emma,emma,,13,delight,,1,idle,,15,idle,,17,idle,,19,idle,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_14,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_14,True,,14,14,1.0,,,,signal,signal,,13,shy,,1,idle,,15,idle,,17,idle,,19,idle,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_15,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_15,False,,18,18,1.0,,,,eunhwa,eunhwa,,13,shy,,1,idle,,15,idle,,17,idle,,19,idle,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_16,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_16,True,,18,18,1.0,,,,vesti,vesti,,13,shy,,1,idle,,15,idle,,17,idle,,19,idle,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_17,40034,event_neverland1_02_e,Monologue,Locale_MainScenario:event_neverland1_02_e_17,False,,18,4,1.0,,,sfx_scn_autodooropen,,,,13,idle,,1,idle,,15,idle,,17,idle,,19,idle,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_02_e_18,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_18,True,,4,4,1.0,,,,belorta,belorta,,13,idle,,1,idle,,15,idle,,17,idle,,19,idle,mica,3,idle,belorta,5,idle,,,,,,,,,,,,,,,,
event_neverland1_02_e_19,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_19,True,,150,150,1.0,,,,emma,emma,,13,idle,,1,idle,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,,,,,,,,,,,,,,,
event_neverland1_02_e_20,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_20,True,,150,150,1.0,,,,emma,emma,,13,idle,,1,idle,,15,delight,,17,idle,,19,idle,,3,idle,,5,idle,,,,,,,,,,,,,,,,
event_neverland1_02_e_21,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_21,True,,4,4,1.0,,,,mica,mica,,13,idle,,1,idle,,15,delight,,17,idle,,19,idle,,3,idle,,5,idle,,,,,,,,,,,,,,,,
event_neverland1_02_e_22,40034,event_neverland1_02_e,Self,Locale_MainScenario:event_neverland1_02_e_22,False,,4,4,1.0,,,,,,,13,idle,,1,idle,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,,,,,,,,,,,,,,,
event_neverland1_02_e_23,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_23,True,,4,4,1.0,,,,belorta,belorta,,13,idle,,1,idle,,15,idle,,17,idle,,19,idle,,3,idle,,5,delight,,,,,,,,,,,,,,,,
event_neverland1_02_e_24,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_24,True,,15,15,1.0,,,,emma,emma,,13,idle,,1,idle,,15,delight,,17,idle,,19,idle,,3,idle,,5,delight,,,,,,,,,,,,,,,,
event_neverland1_02_e_25,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_25,True,,15,18,1.0,,,,vesti,vesti,,13,idle,,1,idle,,15,delight,,17,idle,,19,delight,,3,idle,,5,delight,,,,,,,,,,,,,,,,
event_neverland1_02_e_26,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_26,True,,18,18,1.0,,,,eunhwa,eunhwa,,13,idle,,1,idle,,15,idle,,17,angry,,19,delight,,3,idle,,5,idle,,,,,,,,,,,,,,,,
event_neverland1_02_e_27,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_27,True,,18,18,1.0,,,,vesti,vesti,,13,idle,,1,idle,,15,idle,,17,angry,,19,shy,,3,idle,,5,idle,,,,,,,,,,,,,,,,
event_neverland1_02_e_28,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_28,True,,18,12,1.0,,,,signal,signal,,13,idle,,1,idle,,15,idle,,17,angry,,19,shy,,3,idle,,5,idle,,,,,,,,,,,,,,,,
event_neverland1_02_e_29,40034,event_neverland1_02_e,Self,Locale_MainScenario:event_neverland1_02_e_29,False,,12,12,1.0,,,,,,,13,idle,,1,idle,,15,idle,,17,idle,,19,shy,,3,idle,,5,idle,,,,,,,,,,,,,,,,
event_neverland1_02_e_30,40034,event_neverland1_02_e,Narration,Locale_MainScenario:event_neverland1_02_e_30,False,,12,8,1.0,,,sfx_scn_autodooropen,,,,13,idle,,1,idle,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,,,,,,,,,,,,,,,
event_neverland1_02_e_31,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_31,True,,8,8,1.0,,,,blanc,blanc,,13,idle,,1,idle,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,blanc,7,idle,noir,9,surprise,,,,,,,,,,
event_neverland1_02_e_32,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_32,True,,8,8,1.0,,,,noir,noir,,13,idle,,1,idle,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,surprise,,,,,,,,,,
event_neverland1_02_e_33,40034,event_neverland1_02_e,Self,Locale_MainScenario:event_neverland1_02_e_33,False,,8,8,1.0,,,,noir,,,13,idle,,1,idle,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,surprise,,,,,,,,,,
event_neverland1_02_e_34,40034,event_neverland1_02_e,Choice,Locale_MainScenario:event_neverland1_02_e_34,False,,8,8,1.0,,,,noir,,,13,idle,,1,idle,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,surprise,event_neverland1_02_e_36,,,,,,,,,
event_neverland1_02_e_35,40034,event_neverland1_02_e,Choice,Locale_MainScenario:event_neverland1_02_e_35,False,,8,8,1.0,,,,noir,,,13,idle,,1,idle,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,surprise,event_neverland1_02_e_37,,,,,,,,,
event_neverland1_02_e_36,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_36,True,,8,8,1.0,,,,blanc,blanc,,13,idle,,1,idle,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,delight,,9,idle,event_neverland1_02_e_38,,,,,,,,,
event_neverland1_02_e_37,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_37,True,,8,8,1.0,,,,noir,noir,,13,idle,,1,idle,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,delight,,9,idle,,,,,,,,,,
event_neverland1_02_e_38,40034,event_neverland1_02_e,Speech,Locale_MainScenario:event_neverland1_02_e_38,True,,8,L_70,1.0,,,,blanc,blanc,,13,idle,,1,idle,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,,,,,,,,,
event_neverland1_02_e_39,40034,event_neverland1_02_e,Self,Locale_MainScenario:event_neverland1_02_e_39,False,,L_70,L_70,1.0,,,,,,,13,idle,,1,idle,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,,,,,,,,,
