id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_cherryblossom_01_e_1,40011,event_cherryblossom_01_e,Monologue,Locale_SubScenario:event_cherryblossom_01_e_1,False,CherryBlossom,1,1,1.0,bgm_story_orangepop,,,,sakura,1,idle,memberofseimeikai,7,idle,,,,,,,,
event_cherryblossom_01_e_2,40011,event_cherryblossom_01_e,Monologue,Locale_SubScenario:event_cherryblossom_01_e_2,False,,1,3,1.0,,,,,,1,idle,,7,idle,,,,,,,,
event_cherryblossom_01_e_3,40011,event_cherryblossom_01_e,Monologue,Locale_SubScenario:event_cherryblossom_01_e_3,False,,3,7,1.0,,,,,,1,idle,,7,"expression_0,idle",,,,,,,,
event_cherryblossom_01_e_4,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_4,False,,7,L_70,1.0,,memberofseimeikai,memberofseimeikai,,,1,idle,,7,idle,,,,,,,,
event_cherryblossom_01_e_5,40011,event_cherryblossom_01_e,Self,Locale_SubScenario:event_cherryblossom_01_e_5,False,,L_70,L_70,1.0,,,,,,1,idle,,7,idle,,,,,,,,
event_cherryblossom_01_e_6,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_6,True,,1,10,1.0,,sakura,sakura,,,1,idle,,7,idle,,,,,,,,
event_cherryblossom_01_e_7,40011,event_cherryblossom_01_e,Self,Locale_SubScenario:event_cherryblossom_01_e_7,False,,10,10,1.0,,sakura,,,,1,idle,,7,idle,,,,,,,,
event_cherryblossom_01_e_8,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_8,True,,10,10,1.0,,sakura,sakura,,,1,surprise,,7,idle,,,,,,,,
event_cherryblossom_01_e_9,40011,event_cherryblossom_01_e,Self,Locale_SubScenario:event_cherryblossom_01_e_9,False,,10,10,1.0,,sakura,,,,1,surprise,,7,idle,,,,,,,,
event_cherryblossom_01_e_10,40011,event_cherryblossom_01_e,Monologue,Locale_SubScenario:event_cherryblossom_01_e_10,False,,L_70,L_700,1.0,,,,,,1,surprise,,7,idle,,,,,,,,
event_cherryblossom_01_e_11,40011,event_cherryblossom_01_e,Monologue,Locale_SubScenario:event_cherryblossom_01_e_11,False,,L_700,L_700,1.0,,,,,,1,surprise,,7,idle,,,,,,,,
event_cherryblossom_01_e_12,40011,event_cherryblossom_01_e,Self,Locale_SubScenario:event_cherryblossom_01_e_12,False,,10,10,1.0,,,,,,1,surprise,,7,idle,,,,,,,,
event_cherryblossom_01_e_13,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_13,False,,10,1,1.0,,sakura,sakura,,,1,idle,,7,idle,,,,,,,,
event_cherryblossom_01_e_14,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_14,True,,1,1,1.0,,sakura,sakura,,,1,idle,,7,idle,,,,,,,,
event_cherryblossom_01_e_15,40011,event_cherryblossom_01_e,Self,Locale_SubScenario:event_cherryblossom_01_e_15,False,,1,1,1.0,,,,,,1,idle,,7,idle,,,,,,,,
event_cherryblossom_01_e_16,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_16,True,,1,1,1.0,,sakura,sakura,,,1,delight,,7,idle,,,,,,,,
event_cherryblossom_01_e_17,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_17,True,,1,10,1.0,,sakura,sakura,,,1,delight,,7,idle,,,,,,,,
event_cherryblossom_01_e_18,40011,event_cherryblossom_01_e,Self,Locale_SubScenario:event_cherryblossom_01_e_18,False,,10,10,1.0,,sakura,,,,1,delight,,7,idle,,,,,,,,
event_cherryblossom_01_e_19,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_19,False,,10,10,1.0,,,unknown,,,1,delight,,7,idle,mihara,17,idle,,yuni_c,19,surprise,
event_cherryblossom_01_e_20,40011,event_cherryblossom_01_e,Self,Locale_SubScenario:event_cherryblossom_01_e_20,False,,10,10,1.0,,,,,,1,delight,,7,idle,,17,idle,,,19,surprise,
event_cherryblossom_01_e_21,40011,event_cherryblossom_01_e,Monologue,Locale_SubScenario:event_cherryblossom_01_e_21,False,,10,18,1.0,,,,,,1,idle,,7,idle,,17,idle,,,19,surprise,
event_cherryblossom_01_e_22,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_22,True,,18,18,1.0,,mihara,mihara,,,1,idle,,7,idle,,17,surprise,,,19,surprise,
event_cherryblossom_01_e_23,40011,event_cherryblossom_01_e,Monologue,Locale_SubScenario:event_cherryblossom_01_e_23,False,,18,18,1.0,,,,,,1,idle,,7,idle,,17,surprise,,,19,surprise,
event_cherryblossom_01_e_24,40011,event_cherryblossom_01_e,Choice,Locale_SubScenario:event_cherryblossom_01_e_24,False,,18,18,1.0,,,,event_cherryblossom_01_e_26,,1,idle,,7,idle,,17,surprise,,,19,surprise,
event_cherryblossom_01_e_25,40011,event_cherryblossom_01_e,Choice,Locale_SubScenario:event_cherryblossom_01_e_25,False,,18,18,1.0,,,,event_cherryblossom_01_e_35,,1,idle,,7,idle,,17,surprise,,,19,surprise,
event_cherryblossom_01_e_26,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_26,False,,L_70,L_700,0.7,,memberofseimeikai,memberofseimeikai,,,1,idle,,7,"expression_0,idle",,17,idle,,,19,surprise,
event_cherryblossom_01_e_27,40011,event_cherryblossom_01_e,Monologue,Locale_SubScenario:event_cherryblossom_01_e_27,False,,L_700,L_700,1.0,,,,,,1,idle,,7,idle,,17,idle,,,19,surprise,
event_cherryblossom_01_e_28,40011,event_cherryblossom_01_e,Self,Locale_SubScenario:event_cherryblossom_01_e_28,False,,L_700,L_700,1.0,,,,,,1,idle,,7,idle,,17,idle,,,19,surprise,
event_cherryblossom_01_e_29,40011,event_cherryblossom_01_e,Monologue,Locale_SubScenario:event_cherryblossom_01_e_29,False,,L_700,L_700,1.0,,,,,,1,idle,,7,idle,,17,idle,,,19,surprise,
event_cherryblossom_01_e_30,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_30,True,,18,18,1.0,,yuni_c,yuni,,,1,idle,,7,idle,,17,idle,,,19,idle,
event_cherryblossom_01_e_31,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_31,True,,18,18,1.0,,mihara,mihara,,,1,idle,,7,idle,,17,idle,,,19,idle,
event_cherryblossom_01_e_32,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_32,True,,18,18,1.0,,yuni_c,yuni,,,1,idle,,7,idle,,17,idle,,,19,shy,
event_cherryblossom_01_e_33,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_33,True,,18,18,1.0,,yuni_c,yuni,,,1,idle,,7,idle,,17,idle,,,19,shy,
event_cherryblossom_01_e_34,40011,event_cherryblossom_01_e,Monologue,Locale_SubScenario:event_cherryblossom_01_e_34,False,,18,14,1.0,,,,event_cherryblossom_01_e_48,,1,idle,,7,idle,,13,idle,,,15,idle,
event_cherryblossom_01_e_35,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_35,True,,18,18,1.0,,yuni_c,yuni,,,1,idle,,7,idle,,17,surprise,,,19,surprise,
event_cherryblossom_01_e_36,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_36,True,,18,18,1.0,,mihara,mihara,,,1,idle,,7,idle,,17,surprise,,,19,surprise,
event_cherryblossom_01_e_37,40011,event_cherryblossom_01_e,Speech,Locale_SubScenario:event_cherryblossom_01_e_37,True,,18,18,1.0,,mihara,mihara,,,1,idle,,7,idle,,17,idle,,,19,surprise,
