id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_maidinvalentine_06_s_1,40007,event_maidinvalentine_06_s,Monologue,Monologue,Locale_SubScenario:event_maidinvalentine_06_s_1,False,Cafe,2,2,1.0,bgm_story_mustang,,,,,,,ade,3,worried,soda,1,sad,cocoa,13,idle
event_maidinvalentine_06_s_2,40007,event_maidinvalentine_06_s,Monologue,Monologue,Locale_SubScenario:event_maidinvalentine_06_s_2,False,,2,6,2.0,,,,mustang,6,angry,,,3,worried,,1,sad,,13,idle
event_maidinvalentine_06_s_3,40007,event_maidinvalentine_06_s,Speech,mustang,Locale_SubScenario:event_maidinvalentine_06_s_3,False,,6,6,1.0,,mustang,,,6,angry,,,3,worried,,1,sad,,13,idle
event_maidinvalentine_06_s_4,40007,event_maidinvalentine_06_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_06_s_4,False,,6,3,2.0,,ade,,,6,angry,,,3,worried,,1,sad,,13,idle
event_maidinvalentine_06_s_5,40007,event_maidinvalentine_06_s,Speech,soda,Locale_SubScenario:event_maidinvalentine_06_s_5,False,,3,1,1.5,,soda,,,6,angry,,,3,worried,,1,sad,,13,idle
event_maidinvalentine_06_s_6,40007,event_maidinvalentine_06_s,Speech,cocoa,Locale_SubScenario:event_maidinvalentine_06_s_6,False,,1,13,1.5,,cocoa,,,6,angry,,,3,worried,,1,sad,,13,idle
event_maidinvalentine_06_s_7,40007,event_maidinvalentine_06_s,Self,Self,Locale_SubScenario:event_maidinvalentine_06_s_7,False,,13,13,2.0,,,,,6,angry,,,3,worried,,1,sad,,13,idle
event_maidinvalentine_06_s_8,40007,event_maidinvalentine_06_s,Speech,mustang,Locale_SubScenario:event_maidinvalentine_06_s_8,True,,6,6,1.0,,mustang,,,6,angry,,,3,worried,,1,sad,,13,idle
event_maidinvalentine_06_s_9,40007,event_maidinvalentine_06_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_06_s_9,True,,6,6,1.0,,ade,,,6,angry,,,3,idle,,1,sad,,13,idle
event_maidinvalentine_06_s_10,40007,event_maidinvalentine_06_s,Speech,mustang,Locale_SubScenario:event_maidinvalentine_06_s_10,True,,6,6,1.0,,mustang,,,6,angry,,,3,idle,,1,idle,,13,idle
event_maidinvalentine_06_s_11,40007,event_maidinvalentine_06_s,Speech,mustang,Locale_SubScenario:event_maidinvalentine_06_s_11,True,,6,6,1.0,,mustang,,,6,angry,,,3,idle,,1,idle,,13,idle
event_maidinvalentine_06_s_12,40007,event_maidinvalentine_06_s,Speech,mustang,Locale_SubScenario:event_maidinvalentine_06_s_12,True,,6,6,2.0,,mustang,,,6,think,,,3,idle,,1,idle,,13,idle
event_maidinvalentine_06_s_13,40007,event_maidinvalentine_06_s,Speech,mustang,Locale_SubScenario:event_maidinvalentine_06_s_13,False,,6,L_60,0.3,,mustang,,,6,surprise,,,3,idle,,1,idle,,13,idle
event_maidinvalentine_06_s_14,40007,event_maidinvalentine_06_s,Speech,mustang,Locale_SubScenario:event_maidinvalentine_06_s_14,True,,L_60,L_60,1.0,,mustang,,,6,surprise,,,3,idle,,1,idle,,13,idle
event_maidinvalentine_06_s_15,40007,event_maidinvalentine_06_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_06_s_15,True,,L_60,30,0.7,,ade,,,6,surprise,,,3,shy,,1,idle,,13,idle
event_maidinvalentine_06_s_16,40007,event_maidinvalentine_06_s,Speech,mustang,Locale_SubScenario:event_maidinvalentine_06_s_16,True,,L_60,L_60,1.0,,mustang,Low_2,,6,shy,,,3,shy,,1,idle,,13,idle
event_maidinvalentine_06_s_17,40007,event_maidinvalentine_06_s,Self,Self,Locale_SubScenario:event_maidinvalentine_06_s_17,False,,L_60,L_60,1.0,,,,,6,shy,,,3,shy,,1,idle,,13,idle
event_maidinvalentine_06_s_18,40007,event_maidinvalentine_06_s,Speech,mustang,Locale_SubScenario:event_maidinvalentine_06_s_18,True,,L_60,L_60,0.3,,mustang,,,6,delight,,,3,shy,,1,idle,,13,idle
event_maidinvalentine_06_s_19,40007,event_maidinvalentine_06_s,Speech,mustang,Locale_SubScenario:event_maidinvalentine_06_s_19,True,,L_60,L_60,1.0,,mustang,,,6,delight,,,3,shy,,1,idle,,13,idle
event_maidinvalentine_06_s_20,40007,event_maidinvalentine_06_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_06_s_20,True,,L_60,30,2.0,,ade,,,6,delight,,,3,shy,,1,idle,,13,idle
event_maidinvalentine_06_s_21,40007,event_maidinvalentine_06_s,Speech,mustang,Locale_SubScenario:event_maidinvalentine_06_s_21,True,,L_60,L_60,1.0,,mustang,,,6,delight,,,3,shy,,1,idle,,13,idle
event_maidinvalentine_06_s_22,40007,event_maidinvalentine_06_s,Speech,mustang,Locale_SubScenario:event_maidinvalentine_06_s_22,True,,L_60,L_60,1.0,,mustang,,,6,delight,,,3,shy,,1,idle,,13,idle
event_maidinvalentine_06_s_23,40007,event_maidinvalentine_06_s,Speech,mustang,Locale_SubScenario:event_maidinvalentine_06_s_23,True,,L_60,6,2.0,,mustang,,,6,good,,,3,shy,,1,idle,,13,idle
event_maidinvalentine_06_s_24,40007,event_maidinvalentine_06_s,Speech,mustang,Locale_SubScenario:event_maidinvalentine_06_s_24,True,,6,6,1.0,,mustang,,,6,good,,,3,shy,,1,idle,,13,idle
event_maidinvalentine_06_s_25,40007,event_maidinvalentine_06_s,Monologue,Monologue,Locale_SubScenario:event_maidinvalentine_06_s_25,False,,6,6,1.0,none,,,,6,good,mustang,,3,shy,,1,idle,,13,idle
event_maidinvalentine_06_s_26,40007,event_maidinvalentine_06_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_06_s_26,True,,6,2,2.0,,ade,,,,,,,3,shy,,1,idle,,13,idle
event_maidinvalentine_06_s_27,40007,event_maidinvalentine_06_s,Speech,soda,Locale_SubScenario:event_maidinvalentine_06_s_27,True,,2,2,1.0,bgm_story_impression,soda,,,,,,,3,idle,,1,think,,13,idle
event_maidinvalentine_06_s_28,40007,event_maidinvalentine_06_s,Speech,cocoa,Locale_SubScenario:event_maidinvalentine_06_s_28,True,,2,12,1.0,,cocoa,,,,,,,3,idle,,1,think,,13,delight
event_maidinvalentine_06_s_29,40007,event_maidinvalentine_06_s,Self,Self,Locale_SubScenario:event_maidinvalentine_06_s_29,False,,12,12,1.0,,,,,,,,,3,idle,,1,think,,13,delight
event_maidinvalentine_06_s_30,40007,event_maidinvalentine_06_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_06_s_30,True,,30,30,1.0,,ade,,,,,,,3,delight,,1,idle,,13,idle
event_maidinvalentine_06_s_31,40007,event_maidinvalentine_06_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_06_s_31,True,,30,30,1.0,,ade,,,,,,,3,delight,,1,idle,,13,idle
event_maidinvalentine_06_s_32,40007,event_maidinvalentine_06_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_06_s_32,True,,30,30,1.0,,ade,,,,,,,3,idle,,1,idle,,13,idle
event_maidinvalentine_06_s_33,40007,event_maidinvalentine_06_s,Self,Self,Locale_SubScenario:event_maidinvalentine_06_s_33,False,,30,30,1.0,,,,,,,,,3,idle,,1,idle,,13,idle
event_maidinvalentine_06_s_34,40007,event_maidinvalentine_06_s,Speech,ade,Locale_SubScenario:event_maidinvalentine_06_s_34,True,,30,30,1.0,,ade,,,,,,,3,shy,,1,idle,,13,idle
