id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_foolburstday_06_1,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_1,True,FlowerGarden,S_100,S_100,1.0,bgm_story_tepidappleade,Low_2,mechashifty,1,angry
event_foolburstday_06_2,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_2,True,,S_100,S_100,1.0,,Low_2,,1,angry
event_foolburstday_06_3,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_3,False,,S_100,S_10,0.5,,,,1,special
event_foolburstday_06_4,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_4,False,,S_10,S_10,1.0,,,,1,special
event_foolburstday_06_5,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_5,False,,S_10,1,1.0,,,,1,special
event_foolburstday_06_6,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_6,True,,1,1,1.0,,,,1,"expression_0,angry"
event_foolburstday_06_7,130007,event_foolburstday_06,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_06_7,False,,1,1,1.0,,,,1,angry
event_foolburstday_06_8,130007,event_foolburstday_06,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_06_8,False,,1,1,1.0,,,,1,angry
event_foolburstday_06_9,130007,event_foolburstday_06,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_06_9,False,,1,1,1.0,,,,1,angry
event_foolburstday_06_10,130007,event_foolburstday_06,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_06_10,False,,1,1,1.0,,,,1,angry
event_foolburstday_06_11,130007,event_foolburstday_06,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_06_11,False,,1,1,1.0,,,,1,angry
event_foolburstday_06_12,130007,event_foolburstday_06,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_06_12,False,,1,1,1.0,,,,1,angry
event_foolburstday_06_13,130007,event_foolburstday_06,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_06_13,False,,1,1,1.0,,,,1,angry
event_foolburstday_06_14,130007,event_foolburstday_06,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_06_14,False,,1,1,1.0,,,,1,angry
event_foolburstday_06_15,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_15,True,,1,S_10,1.0,,,,1,idle
event_foolburstday_06_16,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_16,True,,S_10,S_10,1.0,,,,1,idle
event_foolburstday_06_17,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_17,True,,S_10,S_10,1.0,,,,1,idle
event_foolburstday_06_18,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_18,False,,S_10,S_10,1.0,,,,1,special
event_foolburstday_06_19,130007,event_foolburstday_06,Self,mechashifty,,Locale_SubScenario:event_foolburstday_06_19,False,,S_10,S_10,1.0,,,,1,special
event_foolburstday_06_20,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_20,False,,S_10,S_10,1.0,,,,1,special
event_foolburstday_06_21,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_21,False,,S_10,S_10,1.0,,,,1,special
event_foolburstday_06_22,130007,event_foolburstday_06,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_06_22,False,,S_10,S_10,1.0,,,,1,special
event_foolburstday_06_23,130007,event_foolburstday_06,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_06_23,False,,S_10,S_10,1.0,,,,1,special
event_foolburstday_06_24,130007,event_foolburstday_06,Self,mechashifty,,Locale_SubScenario:event_foolburstday_06_24,False,,S_10,S_10,1.0,,,,1,special
event_foolburstday_06_25,130007,event_foolburstday_06,Self,mechashifty,,Locale_SubScenario:event_foolburstday_06_25,False,,S_10,S_10,1.0,,,,1,special
event_foolburstday_06_26,130007,event_foolburstday_06,Self,mechashifty,,Locale_SubScenario:event_foolburstday_06_26,False,,S_10,S_10,1.0,,,,1,special
event_foolburstday_06_27,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_27,False,,S_10,S_100,1.0,,,,1,special
event_foolburstday_06_28,130007,event_foolburstday_06,Self,mechashifty,,Locale_SubScenario:event_foolburstday_06_28,False,,S_100,S_100,1.0,,,,1,special
event_foolburstday_06_29,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_29,True,,S_100,S_100,1.0,,,,1,idle
event_foolburstday_06_30,130007,event_foolburstday_06,Self,mechashifty,,Locale_SubScenario:event_foolburstday_06_30,False,,S_100,S_100,1.0,,,,1,idle
event_foolburstday_06_31,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_31,True,,S_100,S_100,1.0,,,,1,idle
event_foolburstday_06_32,130007,event_foolburstday_06,Self,mechashifty,,Locale_SubScenario:event_foolburstday_06_32,False,,S_100,S_100,1.0,,,,1,idle
event_foolburstday_06_33,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_33,True,,S_100,S_100,1.0,,,,1,idle
event_foolburstday_06_34,130007,event_foolburstday_06,Self,mechashifty,,Locale_SubScenario:event_foolburstday_06_34,False,,S_100,S_100,1.0,,,,1,idle
event_foolburstday_06_35,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_35,True,,S_100,S_100,1.0,,,,1,idle
event_foolburstday_06_36,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_36,True,,S_100,S_10,1.0,,,,1,idle
event_foolburstday_06_37,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_37,True,,S_10,S_10,1.0,,,,1,idle
event_foolburstday_06_38,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_38,True,,S_10,S_10,1.0,,,,1,idle
event_foolburstday_06_39,130007,event_foolburstday_06,Self,mechashifty,,Locale_SubScenario:event_foolburstday_06_39,False,,S_10,S_10,1.0,,,,1,idle
event_foolburstday_06_40,130007,event_foolburstday_06,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_06_40,False,,S_10,S_10,1.0,,,,1,idle
event_foolburstday_06_41,130007,event_foolburstday_06,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_06_41,False,,S_10,S_10,1.0,,,,1,idle
event_foolburstday_06_42,130007,event_foolburstday_06,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_06_42,False,,S_10,S_10,1.0,,,,1,idle
event_foolburstday_06_43,130007,event_foolburstday_06,Self,mechashifty,,Locale_SubScenario:event_foolburstday_06_43,False,,S_10,S_10,1.0,,,,1,idle
event_foolburstday_06_44,130007,event_foolburstday_06,Self,mechashifty,,Locale_SubScenario:event_foolburstday_06_44,False,,S_10,S_10,1.0,,,,1,idle
event_foolburstday_06_45,130007,event_foolburstday_06,Self,mechashifty,,Locale_SubScenario:event_foolburstday_06_45,False,,S_10,S_10,1.0,,,,1,idle
event_foolburstday_06_46,130007,event_foolburstday_06,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_06_46,False,,S_10,S_10,1.0,,,,1,idle
event_foolburstday_06_47,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_47,True,,S_10,S_10,1.0,,,,1,idle
event_foolburstday_06_48,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_48,True,,S_10,S_10,1.0,,,,1,idle
event_foolburstday_06_49,130007,event_foolburstday_06,Monologue,mechashifty,,Locale_SubScenario:event_foolburstday_06_49,False,,S_10,1,1.0,,,,1,idle
event_foolburstday_06_50,130007,event_foolburstday_06,Self,mechashifty,,Locale_SubScenario:event_foolburstday_06_50,False,,1,1,1.0,,,,1,idle
event_foolburstday_06_51,130007,event_foolburstday_06,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_06_51,True,,1,1,1.0,,,,1,idle
