id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target
event_brandnewyear_04_s_1,40005,event_brandnewyear_04_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_s_1,True,helm_p,1,idle,sugar_p,13,idle,julia_p,15,idle,Restaurant,1315,1315,1.0,bgm_story_orangepop,
event_brandnewyear_04_s_2,40005,event_brandnewyear_04_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_s_2,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,
event_brandnewyear_04_s_3,40005,event_brandnewyear_04_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_s_3,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,
event_brandnewyear_04_s_4,40005,event_brandnewyear_04_s,Speech,julia_p,julia,Locale_SubScenario:event_brandnewyear_04_s_4,True,,1,idle,,13,idle,,15,delight,,1315,1315,1.0,,
event_brandnewyear_04_s_5,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_5,True,,1,angry,,13,idle,,15,delight,,1315,1,1.0,,
event_brandnewyear_04_s_6,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_6,True,,1,angry,,13,idle,,15,idle,,1,1,1.0,,
event_brandnewyear_04_s_7,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_7,True,,1,angry,,13,idle,,15,idle,,1,1,1.0,,
event_brandnewyear_04_s_8,40005,event_brandnewyear_04_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_s_8,True,,1,angry,,13,angry,,15,idle,,1,113,1.0,,
event_brandnewyear_04_s_9,40005,event_brandnewyear_04_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_s_9,True,,1,angry,,13,angry,,15,idle,,113,113,1.0,,
event_brandnewyear_04_s_10,40005,event_brandnewyear_04_s,Self,,,Locale_SubScenario:event_brandnewyear_04_s_10,False,,1,angry,,13,idle,,15,idle,,113,1,1.0,,
event_brandnewyear_04_s_11,40005,event_brandnewyear_04_s,Choice,,,Locale_SubScenario:event_brandnewyear_04_s_11,False,,1,angry,,13,idle,,15,idle,,1,1,1.0,,event_brandnewyear_04_s_13
event_brandnewyear_04_s_12,40005,event_brandnewyear_04_s,Choice,,,Locale_SubScenario:event_brandnewyear_04_s_12,False,,1,angry,,13,idle,,15,idle,,1,1,1.0,,event_brandnewyear_04_s_13
event_brandnewyear_04_s_13,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_13,True,,1,idle,,13,idle,,15,idle,,1,S_10,1.0,,
event_brandnewyear_04_s_14,40005,event_brandnewyear_04_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_s_14,True,,1,idle,,13,idle,,15,idle,,S_10,S_130,1.0,,
event_brandnewyear_04_s_15,40005,event_brandnewyear_04_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_s_15,True,,1,idle,,13,idle,,15,idle,,S_130,S_130,1.0,,
event_brandnewyear_04_s_16,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_16,False,,1,idle,,13,idle,,15,idle,,S_130,S_10,1.0,,
event_brandnewyear_04_s_17,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_17,True,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,
event_brandnewyear_04_s_18,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_18,True,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,
event_brandnewyear_04_s_19,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_19,True,,1,idle,,13,idle,,15,idle,,S_10,1,1.0,,
event_brandnewyear_04_s_20,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_20,True,,1,idle,,13,idle,,15,idle,,1,1,1.0,,
event_brandnewyear_04_s_21,40005,event_brandnewyear_04_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_s_21,True,,1,idle,,13,idle,,15,idle,,1,13,1.0,,
event_brandnewyear_04_s_22,40005,event_brandnewyear_04_s,Speech,julia_p,julia,Locale_SubScenario:event_brandnewyear_04_s_22,True,,1,idle,,13,idle,,15,idle,,13,1315,1.0,,
event_brandnewyear_04_s_23,40005,event_brandnewyear_04_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_s_23,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,
event_brandnewyear_04_s_24,40005,event_brandnewyear_04_s,Speech,julia_p,julia,Locale_SubScenario:event_brandnewyear_04_s_24,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,
event_brandnewyear_04_s_25,40005,event_brandnewyear_04_s,Speech,julia_p,julia,Locale_SubScenario:event_brandnewyear_04_s_25,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,
event_brandnewyear_04_s_26,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_26,True,,1,idle,,13,idle,,15,idle,,1315,1,1.0,,
event_brandnewyear_04_s_27,40005,event_brandnewyear_04_s,Self,,,Locale_SubScenario:event_brandnewyear_04_s_27,False,,1,idle,,13,idle,,15,idle,,1,1,1.0,,
event_brandnewyear_04_s_28,40005,event_brandnewyear_04_s,Self,,,Locale_SubScenario:event_brandnewyear_04_s_28,False,,1,idle,,13,idle,,15,idle,,1,1,1.0,,
event_brandnewyear_04_s_29,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_29,False,,1,surprise,,13,idle,,15,idle,,1,S_10,1.0,,
event_brandnewyear_04_s_30,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_30,True,,1,shy,,13,idle,,15,idle,,S_10,S_10,1.0,,
event_brandnewyear_04_s_31,40005,event_brandnewyear_04_s,Self,,,Locale_SubScenario:event_brandnewyear_04_s_31,False,,1,shy,,13,idle,,15,idle,,S_10,S_10,1.0,,
event_brandnewyear_04_s_32,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_32,True,,1,no,,13,idle,,15,idle,,S_10,1,1.0,,
event_brandnewyear_04_s_33,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_33,True,,1,no,,13,idle,,15,idle,,1,1,1.0,,
event_brandnewyear_04_s_34,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_34,True,,1,delight,,13,idle,,15,idle,,1,1,1.0,,
event_brandnewyear_04_s_35,40005,event_brandnewyear_04_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_s_35,True,,1,idle,,13,delight,,15,idle,,1,113,1.0,,
event_brandnewyear_04_s_36,40005,event_brandnewyear_04_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_s_36,True,,1,idle,,13,delight,,15,idle,,113,113,1.0,,
event_brandnewyear_04_s_37,40005,event_brandnewyear_04_s,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_s_37,True,,1,idle,,13,idle,,15,idle,,113,113,1.0,,
event_brandnewyear_04_s_38,40005,event_brandnewyear_04_s,Self,,,Locale_SubScenario:event_brandnewyear_04_s_38,False,,1,idle,,13,idle,,15,idle,,113,113,1.0,,
event_brandnewyear_04_s_39,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_39,True,,1,idle,,13,idle,,15,idle,,113,1,1.0,,
event_brandnewyear_04_s_40,40005,event_brandnewyear_04_s,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_s_40,True,,1,idle,,13,idle,,15,idle,,1,S_10,1.0,,
event_brandnewyear_04_s_41,40005,event_brandnewyear_04_s,Self,,,Locale_SubScenario:event_brandnewyear_04_s_41,False,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,
