id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_sound
snowfall_myroom_day11_e_1,80903,snowfall_myroom_day11_e,Monologue,Locale_SubScenario:snowfall_myroom_day11_e_1,False,Opacity_60,1,1,1.0,none,
snowfall_myroom_day11_e_2,80903,snowfall_myroom_day11_e,Monologue,Locale_SubScenario:snowfall_myroom_day11_e_2,False,,1,1,1.0,,
snowfall_myroom_day11_e_3,80903,snowfall_myroom_day11_e,Monologue,Locale_SubScenario:snowfall_myroom_day11_e_3,False,,1,1,1.0,,
snowfall_myroom_day11_e_4,80903,snowfall_myroom_day11_e,Monologue,Locale_SubScenario:snowfall_myroom_day11_e_4,False,,1,1,1.0,,
snowfall_myroom_day11_e_5,80903,snowfall_myroom_day11_e,Narration,Locale_SubScenario:snowfall_myroom_day11_e_5,False,,1,10,0.6,,sfx_scn_doorshake
snowfall_myroom_day11_e_6,80903,snowfall_myroom_day11_e,Monologue,Locale_SubScenario:snowfall_myroom_day11_e_6,False,,10,10,1.0,,
snowfall_myroom_day11_e_7,80903,snowfall_myroom_day11_e,Self,Locale_SubScenario:snowfall_myroom_day11_e_7,False,,10,10,1.0,,
snowfall_myroom_day11_e_8,80903,snowfall_myroom_day11_e,Monologue,Locale_SubScenario:snowfall_myroom_day11_e_8,False,,10,10,1.0,,
snowfall_myroom_day11_e_9,80903,snowfall_myroom_day11_e,Monologue,Locale_SubScenario:snowfall_myroom_day11_e_9,False,,10,10,1.0,,
snowfall_myroom_day11_e_10,80903,snowfall_myroom_day11_e,Monologue,Locale_SubScenario:snowfall_myroom_day11_e_10,False,,10,1,1.0,,
snowfall_myroom_day11_e_11,80903,snowfall_myroom_day11_e,Monologue,Locale_SubScenario:snowfall_myroom_day11_e_11,False,,1,1,1.0,,
snowfall_myroom_day11_e_12,80903,snowfall_myroom_day11_e,Monologue,Locale_SubScenario:snowfall_myroom_day11_e_12,False,,1,1,1.0,,
snowfall_myroom_day11_e_13,80903,snowfall_myroom_day11_e,Narration,Locale_SubScenario:snowfall_myroom_day11_e_13,False,,1,1,1.0,,sfx_scn_emptywind
snowfall_myroom_day11_e_14,80903,snowfall_myroom_day11_e,Monologue,Locale_SubScenario:snowfall_myroom_day11_e_14,False,,1,10,0.6,,
snowfall_myroom_day11_e_15,80903,snowfall_myroom_day11_e,Self,Locale_SubScenario:snowfall_myroom_day11_e_15,False,,10,10,1.0,,
snowfall_myroom_day11_e_16,80903,snowfall_myroom_day11_e,Monologue,Locale_SubScenario:snowfall_myroom_day11_e_16,False,,10,10,1.0,,
snowfall_myroom_day11_e_17,80903,snowfall_myroom_day11_e,Monologue,Locale_SubScenario:snowfall_myroom_day11_e_17,False,,10,1,1.0,,
snowfall_myroom_day11_e_18,80903,snowfall_myroom_day11_e,Monologue,Locale_SubScenario:snowfall_myroom_day11_e_18,False,,1,1,1.0,,
snowfall_myroom_day11_e_19,80903,snowfall_myroom_day11_e,Monologue,Locale_SubScenario:snowfall_myroom_day11_e_19,False,,1,1,1.0,,
