id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id
snowfall_global_04_default_1,80903,snowfall_global_04,Narration,Locale_SubScenario:snowfall_global_00_1,False,none,black,black,1.0,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_04_default_2,80903,snowfall_global_04,Choice,Locale_SubScenario:snowfall_global_00_2,False,,black,black,1.0,,,snowfall_global_04_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_04_default_3,80903,snowfall_global_04,Choice,Locale_SubScenario:snowfall_global_00_3,False,,black,black,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_04_1,80903,snowfall_global_04,Monologue,Locale_SubScenario:snowfall_global_04_1,False,WaterFall_n,5,1,1.0,amb_so_waterfall_3,event_bgm_neverland_intermissionjam_night,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_04_2,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_2,True,,1,XS_10,1.0,,,,,,belorta,belorta,belorta,1,delight,blanc_c,3,idle,noir_c,5,idle,mica_w,13,idle,emma,15,idle,ludmilla_w,17,idle,,,,,,,
snowfall_global_04_3,80903,snowfall_global_04,Narration,Locale_SubScenario:snowfall_global_04_3,False,,XS_10,XS_10,1.0,,,,,,,,,1,delight,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,sfx_scn_fireworkexplode,,,,,,
snowfall_global_04_4,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_4,True,,4,4,1.0,,,,,,blanc_c,blanc_c,,1,delight,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_5,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_5,True,,4,4,1.0,,,,,,noir_c,noir_c,,1,delight,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_6,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_6,True,,16,16,1.0,,,,,,emma,emma,,1,delight,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_7,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_7,True,,16,16,1.0,,,,,,ludmilla_w,ludmilla_w,,1,delight,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_8,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_8,True,,12,12,1.0,,,,,,belorta,belorta,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_9,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_9,True,,12,12,1.0,,,,,,mica_w,mica_w,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_10,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_10,True,,12,12,1.0,,,,,,ludmilla_w,ludmilla_w,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_11,80903,snowfall_global_04,Monologue,Locale_SubScenario:snowfall_global_04_11,False,,12,12,1.0,,,,,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_12,80903,snowfall_global_04,Self,Locale_SubScenario:snowfall_global_04_12,False,,12,12,1.0,,,,,,,,,1,idle,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_13,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_13,True,,12,12,1.0,,,,,,belorta,belorta,,1,delight,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_14,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_14,True,,12,12,1.0,,,,,,belorta,belorta,,1,delight,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_15,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_15,True,,12,12,1.0,,,,,,mica_w,mica_w,,1,delight,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_16,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_16,True,,4,4,1.0,,,,,,blanc_c,blanc_c,,1,delight,,3,delight,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_17,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_17,True,,4,4,1.0,,,,,,noir_c,noir_c,,1,delight,,3,delight,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_18,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_18,True,,16,16,1.0,,,,,,emma,emma,,1,delight,,3,delight,,5,idle,,13,idle,,15,delight,,17,idle,,,,,,,
snowfall_global_04_19,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_19,True,,16,16,1.0,,,,,,ludmilla_w,ludmilla_w,,1,delight,,3,delight,,5,idle,,13,idle,,15,delight,,17,idle,,,,,,,
snowfall_global_04_20,80903,snowfall_global_04,Self,Locale_SubScenario:snowfall_global_04_20,False,,16,16,1.0,,,,,,,,,1,delight,,3,delight,,5,idle,,13,idle,,15,delight,,17,idle,,,,,,,
snowfall_global_04_21,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_21,True,,S_130,S_130,1.0,,,,,,mica_w,mica_w,,1,delight,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_22,80903,snowfall_global_04,Speech,Locale_SubScenario:snowfall_global_04_22,True,,S_130,S_130,1.0,,,,,,mica_w,mica_w,,1,delight,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
snowfall_global_04_23,80903,snowfall_global_04,Self,Locale_SubScenario:snowfall_global_04_23,False,,S_130,S_130,1.0,,,,,,,,,1,delight,,3,idle,,5,idle,,13,idle,,15,idle,,17,idle,,,,,,,
