id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/1/hide_char_id,characters/7/hide_char_id,set_camera_shake,set_filter_02,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/0/hide_char_id,play_sound
event_oldtales2_02_s_1,40062,event_oldtales2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_oldtales2_02_s_1,True,cinderella,5,smile_blue,redhood,3,idle,dorothy,1,think ,hongryeon_o,13,idle,snowwhite_o,15,idle,rapunzel_o,17,idle,liliweiss,7,idle,commander,9,idle,land_d,53,53,1.0,event_bgm_oldtales_mirror,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_2,40062,event_oldtales2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_oldtales2_02_s_2,True,,5,smile_blue,,3,think,,1,think ,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,53,53,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_3,40062,event_oldtales2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_oldtales2_02_s_3,True,,5,smile_blue,,3,think,,1,think ,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,53,53,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_4,40062,event_oldtales2_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_oldtales2_02_s_4,True,,5,smile_blue,,3,think,,1,think ,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,53,31,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_5,40062,event_oldtales2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_oldtales2_02_s_5,True,,5,smile_blue,,3,shy,,1,think ,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,31,31,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_6,40062,event_oldtales2_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_oldtales2_02_s_6,True,,5,smile_blue,,3,smile,,1,surprise,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,31,31,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_7,40062,event_oldtales2_02_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_oldtales2_02_s_7,True,,5,smile_blue,,3,smile,,1,surprise,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,31,113,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_8,40062,event_oldtales2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_oldtales2_02_s_8,True,,5,smile_blue,,3,idle,,1,surprise,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,300,300,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_9,40062,event_oldtales2_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_oldtales2_02_s_9,True,,5,smile_blue,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,300,100,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_10,40062,event_oldtales2_02_s,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_oldtales2_02_s_10,True,,5,smile_blue,,3,idle,,1,idle,,13,sad,,15,idle,,17,idle,,7,idle,,9,idle,,100,1300,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_11,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_11,True,,5,smile_blue,,3,idle,,1,idle,,13,sad,,15,idle,,17,idle,,7,idle,,9,idle,,S_500,S_500,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_12,40062,event_oldtales2_02_s,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_oldtales2_02_s_12,True,,5,smile_blue,,3,idle,,1,idle,,13,sad,,15,shy,,17,idle,,7,idle,,9,idle,,S_1500,S_1500,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_13,40062,event_oldtales2_02_s,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_oldtales2_02_s_13,True,,5,smile_blue,,3,idle,,1,idle,,13,idle,,15,shy,,17,idle,,7,idle,,9,idle,,S_1500,S_150,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_14,40062,event_oldtales2_02_s,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_oldtales2_02_s_14,True,,5,smile_blue,,3,idle,,1,idle,,13,idle,,15,shy,,17,pain_02,,7,idle,,9,idle,,S_150,170,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_15,40062,event_oldtales2_02_s,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_oldtales2_02_s_15,True,,5,smile_blue,,3,idle,,1,idle,,13,idle,,15,shy,,17,pain_02,,7,idle,,9,idle,,170,170,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_16,40062,event_oldtales2_02_s,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_oldtales2_02_s_16,True,,5,smile_blue,,3,idle,,1,idle,,13,idle,,15,no,,17,pain_02,,7,idle,,9,idle,,170,1517,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_17,40062,event_oldtales2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_oldtales2_02_s_17,True,,5,smile_blue,,3,idle,,1,idle,,13,idle,,15,no,,17,pain_02,,7,delight,,9,idle,,700,70,1.0,,Vignetting,redhood,,,,,,,,,,
event_oldtales2_02_s_18,40062,event_oldtales2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_oldtales2_02_s_18,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,no,,17,idle,,7,delight,,9,idle,,70,70,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_19,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_19,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,delight,,9,idle,,70,75,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_20,40062,event_oldtales2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_oldtales2_02_s_20,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,75,75,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_21,40062,event_oldtales2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_oldtales2_02_s_21,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,75,75,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_22,40062,event_oldtales2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_oldtales2_02_s_22,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,75,75,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_23,40062,event_oldtales2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_oldtales2_02_s_23,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,75,75,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_24,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_24,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,75,75,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_25,40062,event_oldtales2_02_s,Speech,commander,commander,Locale_MainScenario:event_oldtales2_02_s_25,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,75,97,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_26,40062,event_oldtales2_02_s,Speech,commander,commander,Locale_MainScenario:event_oldtales2_02_s_26,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,97,97,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_27,40062,event_oldtales2_02_s,Speech,commander,commander,Locale_MainScenario:event_oldtales2_02_s_27,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,97,97,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_28,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_28,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,97,75,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_29,40062,event_oldtales2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_oldtales2_02_s_29,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,75,75,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_30,40062,event_oldtales2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_oldtales2_02_s_30,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,75,75,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_31,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_31,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,75,75,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_32,40062,event_oldtales2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_oldtales2_02_s_32,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,75,75,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_33,40062,event_oldtales2_02_s,Speech,commander,commander,Locale_MainScenario:event_oldtales2_02_s_33,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,L_90,L_900,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_34,40062,event_oldtales2_02_s,Speech,commander,commander,Locale_MainScenario:event_oldtales2_02_s_34,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,L_900,L_900,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_35,40062,event_oldtales2_02_s,Speech,commander,commander,Locale_MainScenario:event_oldtales2_02_s_35,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,L_900,L_900,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_36,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_36,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,S_500,S_50,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_37,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_37,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,S_50,S_50,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_38,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_38,True,,5,smile_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,S_50,S_500,0.5,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_39,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_39,True,,5,delight_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,S_500,S_500,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_40,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_40,True,,5,delight_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,9,idle,,S_500,S_50,1.0,,Vignetting,,commander,,,,,,,,,
event_oldtales2_02_s_41,40062,event_oldtales2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_oldtales2_02_s_41,True,,5,delight_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,surprise,,,,,S_50,75,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_42,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_42,True,,5,idle_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,surprise,,,,,75,75,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_43,40062,event_oldtales2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_oldtales2_02_s_43,True,,5,idle_blue,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,idle,,,,,75,75,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_02_s_44,40062,event_oldtales2_02_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_oldtales2_02_s_44,True,,5,special,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,void,,,,,75,75,1.0,,Vignetting,,,Low_2,Red,,,,,,,
event_oldtales2_02_s_45,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_45,True,,5,sad,,,,,1,idle,,13,idle,,15,idle,,17,idle,,7,void,,,,ArkCleanIndoor,S_500,S_50,0.5,none,,,,,,dorothy,hongryeon_o,snowwhite_o,rapunzel_o,liliweiss,,
event_oldtales2_02_s_46,40062,event_oldtales2_02_s,Speech,abe,abe,Locale_MainScenario:event_oldtales2_02_s_46,True,,5,sad,abe,3,worry,,,,,,,,,,,,,,,,,,,,S_50,53,1.0,,,,,,,,,,,,,
event_oldtales2_02_s_47,40062,event_oldtales2_02_s,Speech,abe,abe,Locale_MainScenario:event_oldtales2_02_s_47,True,,5,sad,,3,delight,,,,,,,,,,,,,,,,,,,,53,53,1.0,,,,,,,,,,,,,
event_oldtales2_02_s_48,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_48,True,,5,pain,,3,delight,,,,,,,,,,,,,,,,,,,,53,53,1.0,,,,,,,,,,,,,
event_oldtales2_02_s_49,40062,event_oldtales2_02_s,Speech,abe,abe,Locale_MainScenario:event_oldtales2_02_s_49,True,,5,pain,,3,think,,,,,,,,,,,,,,,,,,,,53,53,1.0,,,,,,,,,,,,,
event_oldtales2_02_s_50,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_50,True,,5,pain,,3,think,,,,,,,,,,,,,,,,,,,,53,53,1.0,,,,,,,,,,,,,
event_oldtales2_02_s_51,40062,event_oldtales2_02_s,Speech,abe,abe,Locale_MainScenario:event_oldtales2_02_s_51,True,,5,pain,,3,think,,,,,,,,,,,,,,,,,,,,53,53,1.0,,,,,,,,,,,,,
event_oldtales2_02_s_52,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_52,True,,5,pain,,3,think,,,,,,,,,,,,,,,,,,,,53,53,1.0,,,,,,,,,,,,,
event_oldtales2_02_s_53,40062,event_oldtales2_02_s,Speech,abe,abe,Locale_MainScenario:event_oldtales2_02_s_53,True,,5,pain,,3,worry,,,,,,,,,,,,,,,,,,,,53,53,1.0,,,,,,,,,,,,,
event_oldtales2_02_s_54,40062,event_oldtales2_02_s,Speech,abe,abe,Locale_MainScenario:event_oldtales2_02_s_54,True,,5,pain,,3,worry,,,,,,,,,,,,,,,,,,,,53,53,1.0,,,,,,,,,,,,,
event_oldtales2_02_s_55,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_55,False,,5,pain,,3,worry,,,,,,,,,,,,,,,,,,,,53,S_50,1.0,,,,,,,,,,,,,
event_oldtales2_02_s_56,40062,event_oldtales2_02_s,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_02_s_56,True,,5,pain,,3,worry,,,,,,,,,,,,,,,,,,,,S_50,S_50,1.0,,,,,,,,,,,,,
event_oldtales2_02_s_57,40062,event_oldtales2_02_s,Speech,abe,abe,Locale_MainScenario:event_oldtales2_02_s_57,True,,5,pain,,3,worry,,,,,,,,,,,,,,,,,,,,S_50,30,1.0,,,,,,,,,,,,,
event_oldtales2_02_s_58,40062,event_oldtales2_02_s,Speech,abe,abe,Locale_MainScenario:event_oldtales2_02_s_58,True,,5,pain,,3,worry,,,,,,,,,,,,,,,,,,,,30,300,1.0,event_bgm_oldtales_firstpage,,,,,,,,,,,,
event_oldtales2_02_s_59,40062,event_oldtales2_02_s,Narration,abe,,Locale_MainScenario:event_oldtales2_02_s_59,False,,5,pain,,3,worry,,,,,,,,,,,,,,,,,,,EventScene_oldtales_13_1,black,black,1.0,,,abe,,,,,,,,,cinderella,
event_oldtales2_02_s_60,40062,event_oldtales2_02_s,Narration,abe,,Locale_MainScenario:event_oldtales2_02_s_60,False,,,,,,,,,,,,,,,,,,,,,,,,,,monstersoup_01,monstersoup_02,1.0,,,,,,,,,,,,,
