id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_absolute2_03_s_1,40086,event_absolute2_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_03_s_1,True,RuinTechIndoor,1300,130,1.0,bgm_story_crisis,,,eunhwa_t,1,idle,,emma_t,13,worry
event_absolute2_03_s_2,40086,event_absolute2_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_03_s_2,True,,130,130,1.0,,,,,1,idle,,,13,worry
event_absolute2_03_s_3,40086,event_absolute2_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_03_s_3,True,,130,130,1.0,,,,,1,idle,,,13,worry
event_absolute2_03_s_4,40086,event_absolute2_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_03_s_4,True,,130,130,1.0,,,,,1,idle,,,13,worry
event_absolute2_03_s_5,40086,event_absolute2_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_03_s_5,True,,130,113,1.0,,,,,1,idle,,,13,worry
event_absolute2_03_s_6,40086,event_absolute2_03_s,Narration,eunhwa_t,,Locale_MainScenario:event_absolute2_03_s_6,False,,113,113,1.0,,,,,1,idle,,,13,worry
event_absolute2_03_s_7,40086,event_absolute2_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_03_s_7,True,,113,113,1.0,,,,,1,idle,,,13,worry
event_absolute2_03_s_8,40086,event_absolute2_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_03_s_8,True,,113,113,1.0,,,,,1,idle,,,13,worry
event_absolute2_03_s_9,40086,event_absolute2_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_03_s_9,True,,113,113,1.0,,,,,1,idle,,,13,worry
event_absolute2_03_s_10,40086,event_absolute2_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_03_s_10,True,,130,1300,0.7,,,,,1,idle,,,13,angry
event_absolute2_03_s_11,40086,event_absolute2_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_03_s_11,True,,1300,100,1.0,,,,,1,idle,,,13,angry
event_absolute2_03_s_12,40086,event_absolute2_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_03_s_12,True,,100,100,1.0,,,,,1,idle,,,13,angry
event_absolute2_03_s_13,40086,event_absolute2_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_03_s_13,True,,100,100,1.0,,,,,1,idle,,,13,angry
event_absolute2_03_s_14,40086,event_absolute2_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_03_s_14,True,,100,10,1.0,,,,,1,idle,,,13,angry
event_absolute2_03_s_15,40086,event_absolute2_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_03_s_15,True,,10,113,1.0,,,,,1,idle,,,13,angry
event_absolute2_03_s_16,40086,event_absolute2_03_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:event_absolute2_03_s_16,True,,113,113,1.0,,,,,1,idle,,,13,angry
event_absolute2_03_s_17,40086,event_absolute2_03_s,Narration,emma_t,,Locale_MainScenario:event_absolute2_03_s_17,False,,113,113,1.0,,,,,1,idle,eunhwa_t,,13,angry
event_absolute2_03_s_18,40086,event_absolute2_03_s,Speech,emma_t,emma_t,Locale_MainScenario:event_absolute2_03_s_18,True,,113,113,1.0,,,,,,,,,13,angry
