id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
snowfall_speech_npc_day19_09_1,80903,snowfall_speech_npc_day19_09,Speech,vesti,vesti,Locale_SubScenario:snowfall_speech_npc_day19_09_1,True,vesti,1,sad,HotSpringInnIn_n,1,XS_10,1.0,amb_so_inn_in_3,event_bgm_neverland_hugme_night,,,
snowfall_speech_npc_day19_09_2,80903,snowfall_speech_npc_day19_09,Speech,vesti,vesti,Locale_SubScenario:snowfall_speech_npc_day19_09_2,True,,1,sad,,XS_10,XS_10,1.0,,,,,
snowfall_speech_npc_day19_09_3,80903,snowfall_speech_npc_day19_09,Speech,vesti,vesti,Locale_SubScenario:snowfall_speech_npc_day19_09_3,True,,1,sad,,XS_10,XS_10,1.0,,,,,
snowfall_speech_npc_day19_09_4,80903,snowfall_speech_npc_day19_09,Speech,vesti,vesti,Locale_SubScenario:snowfall_speech_npc_day19_09_4,True,,1,sad,,XS_10,XS_10,1.0,,,,,
snowfall_speech_npc_day19_09_5,80903,snowfall_speech_npc_day19_09,Speech,eunhwa,eunhwa,Locale_SubScenario:snowfall_speech_npc_day19_09_5,True,,1,sad,,black,black,1.0,,,eunhwa,3,idle
snowfall_speech_npc_day19_09_6,80903,snowfall_speech_npc_day19_09,Speech,vesti,vesti,Locale_SubScenario:snowfall_speech_npc_day19_09_6,True,,1,idle,,XS_10,2,1.0,,,,3,idle
snowfall_speech_npc_day19_09_7,80903,snowfall_speech_npc_day19_09,Speech,vesti,vesti,Locale_SubScenario:snowfall_speech_npc_day19_09_7,True,,1,idle,,2,2,1.0,,,,3,idle
snowfall_speech_npc_day19_09_8,80903,snowfall_speech_npc_day19_09,Speech,vesti,vesti,Locale_SubScenario:snowfall_speech_npc_day19_09_8,True,,1,idle,,2,2,1.0,,,,3,idle
snowfall_speech_npc_day19_09_9,80903,snowfall_speech_npc_day19_09,Speech,eunhwa,eunhwa,Locale_SubScenario:snowfall_speech_npc_day19_09_9,True,,1,idle,,2,2,1.0,,,,3,angry
snowfall_speech_npc_day19_09_10,80903,snowfall_speech_npc_day19_09,Speech,eunhwa,eunhwa,Locale_SubScenario:snowfall_speech_npc_day19_09_10,True,,1,idle,,2,2,1.0,,,,3,angry
snowfall_speech_npc_day19_09_11,80903,snowfall_speech_npc_day19_09,Narration,,,Locale_SubScenario:snowfall_speech_npc_day19_09_11,False,,1,idle,,black,black,1.0,,,,3,angry
