id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_doutsiders_02_e_1,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_1,True,OuterRim,120,120,1.0,bgm_recognition_underworld,,viper,12,delight,jackal,14,idle,fatman,2,idle,,joseph,4,surprise
event_doutsiders_02_e_2,40006,event_doutsiders_02_e,Speech,fatman,fatman,Locale_SubScenario:event_doutsiders_02_e_2,True,,120,1,0.3,,,,12,delight,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_3,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_3,True,,1,1,1.0,,,,12,idle,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_4,40006,event_doutsiders_02_e,Speech,fatman,fatman,Locale_SubScenario:event_doutsiders_02_e_4,True,,1,3,1.0,,,,12,idle,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_5,40006,event_doutsiders_02_e,Speech,fatman,fatman,Locale_SubScenario:event_doutsiders_02_e_5,True,,3,3,1.0,,,,12,idle,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_6,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_6,True,,3,1,0.5,,,,12,good,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_7,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_7,True,,1,120,2.0,,,,12,good,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_8,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_8,True,,120,120,1.0,,,,12,angry,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_9,40006,event_doutsiders_02_e,Speech,fatman,fatman,Locale_SubScenario:event_doutsiders_02_e_9,True,,120,120,1.0,,,,12,angry,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_10,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_10,True,,120,120,1.0,,,,12,angry,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_11,40006,event_doutsiders_02_e,Speech,jackal,jackal,Locale_SubScenario:event_doutsiders_02_e_11,True,,S_140,S_140,1.0,,,,12,angry,,14,shy_01,,2,idle,,,4,surprise
event_doutsiders_02_e_12,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_12,True,,S_140,120,0.5,,,,12,angry,,14,shy_01,,2,idle,,,4,surprise
event_doutsiders_02_e_13,40006,event_doutsiders_02_e,Speech,fatman,fatman,Locale_SubScenario:event_doutsiders_02_e_13,True,,1,1,1.0,,,,12,angry,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_14,40006,event_doutsiders_02_e,Speech,fatman,fatman,Locale_SubScenario:event_doutsiders_02_e_14,True,,1,1,1.0,,,,12,angry,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_15,40006,event_doutsiders_02_e,Speech,fatman,fatman,Locale_SubScenario:event_doutsiders_02_e_15,True,,1,20,0.3,,,,12,angry,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_16,40006,event_doutsiders_02_e,Self,,Self,Locale_SubScenario:event_doutsiders_02_e_16,False,,20,20,1.0,,,,12,angry,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_17,40006,event_doutsiders_02_e,Speech,fatman,fatman,Locale_SubScenario:event_doutsiders_02_e_17,True,,20,3,2.0,,,,12,angry,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_18,40006,event_doutsiders_02_e,Speech,fatman,fatman,Locale_SubScenario:event_doutsiders_02_e_18,True,,3,3,1.0,,,,12,angry,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_19,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_19,True,,3,1,1.0,,,,12,good,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_20,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_20,True,,1,1,1.0,,,,12,good,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_21,40006,event_doutsiders_02_e,Monologue,,Monologue,Locale_SubScenario:event_doutsiders_02_e_21,False,,black,black,1.0,,,,12,good,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_22,40006,event_doutsiders_02_e,Monologue,,Monologue,Locale_SubScenario:event_doutsiders_02_e_22,False,,black,black,1.0,,,,12,good,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_23,40006,event_doutsiders_02_e,Speech,fatman,fatman,Locale_SubScenario:event_doutsiders_02_e_23,False,,2,20,0.3,,,,12,good,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_24,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_24,True,,20,120,1.5,,,,12,angry,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_25,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_25,True,,120,120,1.0,,,,12,angry,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_26,40006,event_doutsiders_02_e,Speech,fatman,fatman,Locale_SubScenario:event_doutsiders_02_e_26,False,,120,20,2.0,,,,12,angry,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_27,40006,event_doutsiders_02_e,Speech,fatman,fatman,Locale_SubScenario:event_doutsiders_02_e_27,True,,20,20,1.0,,,,12,angry,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_28,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_28,True,,120,120,1.0,,,,12,good,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_29,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_29,True,,120,13,1.0,,,,12,delight,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_30,40006,event_doutsiders_02_e,Speech,jackal,jackal,Locale_SubScenario:event_doutsiders_02_e_30,True,,13,S_140,0.3,,,,12,delight,,14,shy_02,,2,idle,,,4,surprise
event_doutsiders_02_e_31,40006,event_doutsiders_02_e,Speech,jackal,jackal,Locale_SubScenario:event_doutsiders_02_e_31,True,,S_140,S_140,1.0,,,,12,idle,,14,shy_01,,2,idle,,,4,surprise
event_doutsiders_02_e_32,40006,event_doutsiders_02_e,Speech,jackal,jackal,Locale_SubScenario:event_doutsiders_02_e_32,True,,S_140,S_140,1.0,,,,12,idle,,14,no,,2,idle,,,4,surprise
event_doutsiders_02_e_33,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_33,True,,S_140,120,1.0,,,,12,delight,,14,no,,2,idle,,,4,surprise
event_doutsiders_02_e_34,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_34,True,,120,1200,2.5,,,,12,good,,14,no,,2,idle,,,4,surprise
event_doutsiders_02_e_35,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_35,True,,1200,1200,1.0,,,,12,good,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_36,40006,event_doutsiders_02_e,Speech,fatman,fatman,Locale_SubScenario:event_doutsiders_02_e_36,True,,1200,20,0.3,,,,12,good,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_37,40006,event_doutsiders_02_e,Speech,fatman,fatman,Locale_SubScenario:event_doutsiders_02_e_37,True,,20,20,1.0,,,,12,good,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_38,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_38,True,,20,1,1.0,,,,12,idle,,14,idle,,2,idle,,,4,surprise
event_doutsiders_02_e_39,40006,event_doutsiders_02_e,Speech,viper,viper,Locale_SubScenario:event_doutsiders_02_e_39,True,,1,1,1.0,,,,12,idle,,14,idle,,2,idle,,,4,surprise
