id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
event_freezeacpu_01_e_1,40030,event_freezeacpu_01_e,Narration,Narration,Locale_SubScenario:event_freezeacpu_01_e_1,False,Police,black,black,1.0,sfx_scn_autodooropen,none,,,,,,,,,,,,,,,,,,,
event_freezeacpu_01_e_2,40030,event_freezeacpu_01_e,Speech,miranda,Locale_SubScenario:event_freezeacpu_01_e_2,True,,S_80,S_80,1.0,,bgm_story_orangepop,miranda,miranda,8,idle,quiry,6,delight,,,,,,,,,,,,
event_freezeacpu_01_e_3,40030,event_freezeacpu_01_e,Speech,miranda,Locale_SubScenario:event_freezeacpu_01_e_3,True,,S_80,S_80,1.0,,,miranda,,8,idle,,6,delight,,,,,,,,,,,,
event_freezeacpu_01_e_4,40030,event_freezeacpu_01_e,Speech,quiry,Locale_SubScenario:event_freezeacpu_01_e_4,True,,S_60,S_60,1.0,,,quiry,,8,idle,,6,delight,,,,,,,,,,,,
event_freezeacpu_01_e_5,40030,event_freezeacpu_01_e,Speech,quiry,Locale_SubScenario:event_freezeacpu_01_e_5,True,,S_60,S_60,1.0,,,quiry,,8,idle,,6,delight,,,,,,,,,,,,
event_freezeacpu_01_e_6,40030,event_freezeacpu_01_e,Speech,quiry,Locale_SubScenario:event_freezeacpu_01_e_6,True,,S_60,S_60,1.0,,,quiry,,8,idle,,6,idle,,,,,,,,,,,,
event_freezeacpu_01_e_7,40030,event_freezeacpu_01_e,Self,Self,Locale_SubScenario:event_freezeacpu_01_e_7,False,,S_60,S_60,1.0,,,,,8,idle,,6,idle,,,,,,,,,,,,
event_freezeacpu_01_e_8,40030,event_freezeacpu_01_e,Speech,poli,Locale_SubScenario:event_freezeacpu_01_e_8,True,,S_60,S_60,1.0,,,poli,,8,idle,,6,idle,poli,14,idle,,,,,,,,,
event_freezeacpu_01_e_9,40030,event_freezeacpu_01_e,Speech,poli,Locale_SubScenario:event_freezeacpu_01_e_9,True,,S_60,S_60,1.0,,,poli,,8,idle,,6,idle,,14,idle,,,,,,,,,
event_freezeacpu_01_e_10,40030,event_freezeacpu_01_e,Speech,quiry,Locale_SubScenario:event_freezeacpu_01_e_10,True,,S_60,S_60,1.0,,,quiry,,8,idle,,6,delight,,14,idle,,,,,,,,,
event_freezeacpu_01_e_11,40030,event_freezeacpu_01_e,Speech,quiry,Locale_SubScenario:event_freezeacpu_01_e_11,True,,S_60,S_60,1.0,,,quiry,,8,idle,,6,delight,,14,idle,,,,,,,,,
event_freezeacpu_01_e_12,40030,event_freezeacpu_01_e,Speech,quiry,Locale_SubScenario:event_freezeacpu_01_e_12,True,,S_60,S_60,1.0,,,quiry,,8,idle,,6,delight,,14,idle,,,,,,,,,
event_freezeacpu_01_e_13,40030,event_freezeacpu_01_e,Speech,anis,Locale_SubScenario:event_freezeacpu_01_e_13,False,,S_60,5,1.0,,,anis,,8,idle,,6,delight,,14,idle,anis,4,no,,,,,,
event_freezeacpu_01_e_14,40030,event_freezeacpu_01_e,Speech,anis,Locale_SubScenario:event_freezeacpu_01_e_14,True,,5,5,1.0,,,anis,,8,idle,,6,delight,,14,idle,,4,no,,,,,,
event_freezeacpu_01_e_15,40030,event_freezeacpu_01_e,Speech,anis,Locale_SubScenario:event_freezeacpu_01_e_15,True,,5,5,1.0,,,anis,,8,idle,,6,delight,,14,idle,,4,no,,,,,,
event_freezeacpu_01_e_16,40030,event_freezeacpu_01_e,Speech,quiry,Locale_SubScenario:event_freezeacpu_01_e_16,True,,5,6,1.0,,,quiry,,8,idle,,6,special,,14,idle,,4,no,,,,,,
event_freezeacpu_01_e_17,40030,event_freezeacpu_01_e,Speech,neon,Locale_SubScenario:event_freezeacpu_01_e_17,True,,6,6,1.0,,,neon,,8,idle,,6,special,,14,idle,,4,no,neon,2,worry,,,
event_freezeacpu_01_e_18,40030,event_freezeacpu_01_e,Speech,quiry,Locale_SubScenario:event_freezeacpu_01_e_18,True,,6,S_60,0.6,,,quiry,,8,idle,,6,surprise,,14,idle,,4,no,,2,worry,,,
event_freezeacpu_01_e_19,40030,event_freezeacpu_01_e,Speech,quiry,Locale_SubScenario:event_freezeacpu_01_e_19,True,,S_60,S_60,1.0,,,quiry,,8,idle,,6,surprise,,14,idle,,4,no,,2,worry,,,
event_freezeacpu_01_e_20,40030,event_freezeacpu_01_e,Speech,anis,Locale_SubScenario:event_freezeacpu_01_e_20,True,,S_60,S_60,1.0,,,anis,,8,idle,,6,surprise,,14,idle,,4,delight,,2,idle,,,
event_freezeacpu_01_e_21,40030,event_freezeacpu_01_e,Speech,quiry,Locale_SubScenario:event_freezeacpu_01_e_21,True,,S_60,S_60,1.0,,,quiry,,8,idle,,6,idle,,14,idle,,4,delight,,2,idle,,,
event_freezeacpu_01_e_22,40030,event_freezeacpu_01_e,Speech,quiry,Locale_SubScenario:event_freezeacpu_01_e_22,True,,S_60,S_60,1.0,,,quiry,,8,idle,,6,idle,,14,idle,,4,delight,,2,idle,,,
event_freezeacpu_01_e_23,40030,event_freezeacpu_01_e,Speech,quiry,Locale_SubScenario:event_freezeacpu_01_e_23,True,,S_60,S_60,1.0,,,quiry,,8,idle,,6,idle,,14,idle,,4,delight,,2,idle,,,
event_freezeacpu_01_e_24,40030,event_freezeacpu_01_e,Speech,anis,Locale_SubScenario:event_freezeacpu_01_e_24,True,,S_60,3,1.0,,,anis,,8,idle,,6,idle,,14,idle,,4,idle,,2,idle,,,
event_freezeacpu_01_e_25,40030,event_freezeacpu_01_e,Speech,anis,Locale_SubScenario:event_freezeacpu_01_e_25,True,,3,3,1.0,,,anis,,8,idle,,6,idle,,14,idle,,4,idle,,2,idle,,,
event_freezeacpu_01_e_26,40030,event_freezeacpu_01_e,Speech,neon,Locale_SubScenario:event_freezeacpu_01_e_26,True,,3,3,1.0,,,neon,,8,idle,,6,idle,,14,idle,,4,idle,,2,delight,,,
event_freezeacpu_01_e_27,40030,event_freezeacpu_01_e,Speech,quiry,Locale_SubScenario:event_freezeacpu_01_e_27,False,,3,S_60,0.6,,,quiry,,8,idle,,6,idle,,14,idle,,4,idle,,2,delight,,,
event_freezeacpu_01_e_28,40030,event_freezeacpu_01_e,Speech,quiry,Locale_SubScenario:event_freezeacpu_01_e_28,True,,S_60,S_60,1.0,,,quiry,,8,idle,,6,delight,,14,idle,,4,idle,,2,idle,,,
event_freezeacpu_01_e_29,40030,event_freezeacpu_01_e,Speech,poli,Locale_SubScenario:event_freezeacpu_01_e_29,True,,S_60,S_60,1.0,,,poli,,8,idle,,6,delight,,14,idle,,4,idle,,2,idle,,,
