id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,fade
event_perfectmaid_05_e_1,40039,event_perfectmaid_05_e,Monologue,ade,Locale_SubScenario:event_perfectmaid_05_e_1,False,privaty_m,1,idle,ade,13,idle,MaidCafe,12,12,1.0,bgm_story_cosmos,,,,,,,,,,,,,,,,,
event_perfectmaid_05_e_2,40039,event_perfectmaid_05_e,Monologue,ade,Locale_SubScenario:event_perfectmaid_05_e_2,False,,1,idle,,13,idle,,12,10,1.0,,,,,,,,,,,,,,,,,,
event_perfectmaid_05_e_3,40039,event_perfectmaid_05_e,Monologue,ade,Locale_SubScenario:event_perfectmaid_05_e_3,False,,1,idle,,13,idle,,10,130,1.0,,,,,,,,,,,,,,,,,,
event_perfectmaid_05_e_4,40039,event_perfectmaid_05_e,Speech,ade,Locale_SubScenario:event_perfectmaid_05_e_4,True,,1,idle,,13,shy,,130,130,1.0,,ade,,,,,,,,,,,,,,,,
event_perfectmaid_05_e_5,40039,event_perfectmaid_05_e,Speech,privaty_m,Locale_SubScenario:event_perfectmaid_05_e_5,True,,1,idle,,13,shy,,130,12,1.0,,privaty_m,,,,,,,,,,,,,,,,
event_perfectmaid_05_e_6,40039,event_perfectmaid_05_e,Speech,ade,Locale_SubScenario:event_perfectmaid_05_e_6,True,,1,idle,,13,shy,,12,12,1.0,,ade,,,,,,,,,,,,,,,,
event_perfectmaid_05_e_7,40039,event_perfectmaid_05_e,Speech,privaty_m,Locale_SubScenario:event_perfectmaid_05_e_7,True,,1,sad2,,13,shy,,12,12,1.0,,privaty_m,,,,,,,,,,,,,,,,
event_perfectmaid_05_e_8,40039,event_perfectmaid_05_e,Speech,ade,Locale_SubScenario:event_perfectmaid_05_e_8,True,,1,sad2,,13,shy,,12,12,1.0,,ade,,,,,,,,,,,,,,,,
event_perfectmaid_05_e_9,40039,event_perfectmaid_05_e,Speech,ade,Locale_SubScenario:event_perfectmaid_05_e_9,True,,1,sad2,,13,idle,,12,12,1.0,,ade,,,,,,,,,,,,,,,,
event_perfectmaid_05_e_10,40039,event_perfectmaid_05_e,Speech,privaty_m,Locale_SubScenario:event_perfectmaid_05_e_10,True,,1,surprise,,13,idle,,12,12,1.0,,privaty_m,,,,,,,,,,,,,,,,
event_perfectmaid_05_e_11,40039,event_perfectmaid_05_e,Speech,ade,Locale_SubScenario:event_perfectmaid_05_e_11,True,,1,surprise,,13,idle,,12,12,1.0,,ade,,,,,,,,,,,,,,,,
