id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,play_sound,fade,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_camera_shake
event_1yearalready_03_1,130003,event_1yearalready_03,Speech,diesel,diesel,Locale_SubScenario:event_1yearalready_03_1,True,brid,7,idle,soline,5,idle,diesel,3,idle,Station,4,4,1.0,bgm_story_backtonormal,,,,,,,,,,,,,,,,
event_1yearalready_03_2,130003,event_1yearalready_03,Speech,diesel,diesel,Locale_SubScenario:event_1yearalready_03_2,True,,7,idle,,5,idle,,3,idle,,4,4,1.0,,,,,,,,,,,,,,,,,
event_1yearalready_03_3,130003,event_1yearalready_03,Speech,soline,soline,Locale_SubScenario:event_1yearalready_03_3,True,,7,idle,,5,idle,,3,idle,,4,4,1.0,,,,,,,,,,,,,,,,,
event_1yearalready_03_4,130003,event_1yearalready_03,Speech,soline,soline,Locale_SubScenario:event_1yearalready_03_4,True,,7,idle,,5,idle,,3,idle,,4,4,1.0,,,,,,,,,,,,,,,,,
event_1yearalready_03_5,130003,event_1yearalready_03,Choice,,,Locale_SubScenario:event_1yearalready_03_5,False,,7,idle,,5,idle,,3,idle,,4,4,1.0,,event_1yearalready_03_7,,,,,,,,,,,,,,,
event_1yearalready_03_6,130003,event_1yearalready_03,Choice,,,Locale_SubScenario:event_1yearalready_03_6,False,,7,idle,,5,idle,,3,idle,,4,4,1.0,,event_1yearalready_03_9,,,,,,,,,,,,,,,
event_1yearalready_03_7,130003,event_1yearalready_03,Speech,brid,brid,Locale_SubScenario:event_1yearalready_03_7,True,,7,angry,,5,idle,,3,idle,,L_70,L_70,1.0,,,,,,,,,,,,,,,,,
event_1yearalready_03_8,130003,event_1yearalready_03,Speech,brid,brid,Locale_SubScenario:event_1yearalready_03_8,True,,7,angry,,5,idle,,3,idle,,L_70,L_70,1.0,,event_1yearalready_03_10,,,,,,,,,,,,,,,
event_1yearalready_03_9,130003,event_1yearalready_03,Speech,brid,brid,Locale_SubScenario:event_1yearalready_03_9,True,,7,idle,,5,idle,,3,idle,,L_70,L_70,1.0,,event_1yearalready_03_10,,,,,,,,,,,,,,,
event_1yearalready_03_10,130003,event_1yearalready_03,Speech,liter,liter,Locale_SubScenario:event_1yearalready_03_10,True,,7,idle,,5,idle,,3,idle,,12,12,1.0,,,centi,1,idle,liter,13,idle,,,,,,,,,
event_1yearalready_03_11,130003,event_1yearalready_03,Speech,centi,centi,Locale_SubScenario:event_1yearalready_03_11,True,,7,idle,,5,idle,,3,idle,,12,12,1.0,,,,1,idle,,13,idle,,,,,,,,,
event_1yearalready_03_12,130003,event_1yearalready_03,Speech,diesel,diesel,Locale_SubScenario:event_1yearalready_03_12,True,,7,idle,,5,idle,,3,idle,,30,30,1.0,,,,1,idle,,13,idle,,,,,,,,,
event_1yearalready_03_13,130003,event_1yearalready_03,Speech,liter,liter,Locale_SubScenario:event_1yearalready_03_13,True,,7,idle,,5,idle,,3,idle,,12,12,1.0,,,,1,idle,,13,idle,,,,,,,,,
event_1yearalready_03_14,130003,event_1yearalready_03,Speech,centi,centi,Locale_SubScenario:event_1yearalready_03_14,True,,7,idle,,5,idle,,3,idle,,12,12,1.0,,,,1,idle,,13,idle,,,,,,,,,
event_1yearalready_03_15,130003,event_1yearalready_03,Speech,centi,centi,Locale_SubScenario:event_1yearalready_03_15,True,,7,idle,,5,idle,,3,idle,,12,12,1.0,,,,1,idle,,13,idle,,,,,,,,,
event_1yearalready_03_16,130003,event_1yearalready_03,Speech,volt,volt,Locale_SubScenario:event_1yearalready_03_16,False,,7,idle,,5,idle,,3,idle,,12,12,1.0,,,,1,idle,,13,idle,sfx_scn_dogbark,,,,,,,,
event_1yearalready_03_17,130003,event_1yearalready_03,Speech,liter,liter,Locale_SubScenario:event_1yearalready_03_17,True,,7,idle,,5,idle,,3,idle,,12,XS_130,1.0,,,,1,idle,,13,delight,,,,,,,,,
event_1yearalready_03_18,130003,event_1yearalready_03,Speech,diesel,diesel,Locale_SubScenario:event_1yearalready_03_18,True,,7,idle,,5,idle,,3,idle,,30,30,1.0,,,,1,idle,,13,delight,,,,,,,,,
event_1yearalready_03_19,130003,event_1yearalready_03,Self,,,Locale_SubScenario:event_1yearalready_03_19,False,,7,idle,,5,idle,,3,idle,,30,30,1.0,,,,1,idle,,13,idle,,,,,,,,,
event_1yearalready_03_20,130003,event_1yearalready_03,Speech,diesel,diesel,Locale_SubScenario:event_1yearalready_03_20,True,,7,idle,,5,idle,,3,delight,,30,30,1.0,,,,1,idle,,13,idle,,,,,,,,,
event_1yearalready_03_21,130003,event_1yearalready_03,Speech,diesel,diesel,Locale_SubScenario:event_1yearalready_03_21,True,,7,idle,,5,idle,,3,delight,,30,30,1.0,,,,1,idle,,13,idle,,,,,,,,,
event_1yearalready_03_22,130003,event_1yearalready_03,Self,,,Locale_SubScenario:event_1yearalready_03_22,False,,7,idle,,5,idle,,3,delight,,30,30,1.0,,,,1,idle,,13,idle,,,,,,,,,
event_1yearalready_03_23,130003,event_1yearalready_03,Speech,diesel,diesel,Locale_SubScenario:event_1yearalready_03_23,True,,7,idle,,5,idle,,3,idle,,30,30,1.0,,,,1,idle,,13,idle,,,,,,,,,
event_1yearalready_03_24,130003,event_1yearalready_03,Speech,diesel,diesel,Locale_SubScenario:event_1yearalready_03_24,True,,7,idle,,5,idle,,3,idle,,30,30,1.0,,,,1,idle,,13,idle,,,,,,,,,
