id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,conversation_id,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_dirtybackyard_04_s_1,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_1,True,Backstreet_n,50,50,1.0,none,,,,,,moran,5,idle,,,,,,,
event_dirtybackyard_04_s_2,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_2,True,,50,50,1.0,bgm_blurredvision,,,,,,,5,idle,,,,,,,
event_dirtybackyard_04_s_3,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_3,True,,50,6,1.0,,Low_2,,,,,,5,idle,ourterrimman_02,7,idle,,,,
event_dirtybackyard_04_s_4,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_4,True,,6,6,1.0,,,,,,,,5,idle,,7,idle,,,,
event_dirtybackyard_04_s_5,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_5,True,,6,6,1.0,,,,,,,,5,think,,7,idle,,,,
event_dirtybackyard_04_s_6,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_6,True,,6,6,1.0,,Low_2,,,,,,5,think,,7,idle,,,,
event_dirtybackyard_04_s_7,40038,event_dirtybackyard_04_s,Speech,ourterrimman_02,ourterrimman_02,Locale_SubScenario:event_dirtybackyard_04_s_7,True,,6,6,1.0,,,,,,,,5,think,,7,idle,,,,
event_dirtybackyard_04_s_8,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_8,False,,6,6,1.0,,,,,,,,5,think,,7,idle,,,,
event_dirtybackyard_04_s_9,40038,event_dirtybackyard_04_s,Narration,,,Locale_SubScenario:event_dirtybackyard_04_s_9,False,,6,6,1.0,,,sfx_scn_rustle,,,,,5,think,,7,idle,,,,
event_dirtybackyard_04_s_10,40038,event_dirtybackyard_04_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_04_s_10,True,,6,6,1.0,,,,,,,,5,think,,7,idle,,,,
event_dirtybackyard_04_s_11,40038,event_dirtybackyard_04_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_04_s_11,False,,black,black,1.0,,,,,,,,5,think,,7,idle,,,,
