id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_arcanearchive_01_s_1,40077,event_arcanearchive_01_s,Narration,phantom,Locale_SubScenario:event_arcanearchive_01_s_1,False,phantom,2,surprise_02,CommanderRoom,black,black,1.0,sfx_scn_autodooropen,bgm_inark,,,,,
event_arcanearchive_01_s_2,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_2,True,,2,surprise_02,,2,L_20,1.3,,,phantom,,,,
event_arcanearchive_01_s_3,40077,event_arcanearchive_01_s,Choice,phantom,Locale_SubScenario:event_arcanearchive_01_s_3,False,,2,surprise_02,,L_20,L_20,1.0,,,,event_arcanearchive_01_s_7,,,
event_arcanearchive_01_s_4,40077,event_arcanearchive_01_s,Choice,phantom,Locale_SubScenario:event_arcanearchive_01_s_4,False,,2,surprise_02,,L_20,L_20,1.0,,,,event_arcanearchive_01_s_5,,,
event_arcanearchive_01_s_5,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_5,True,,2,surprise_02,,L_20,L_20,1.0,,,phantom,,,,
event_arcanearchive_01_s_6,40077,event_arcanearchive_01_s,Self,phantom,Locale_SubScenario:event_arcanearchive_01_s_6,False,,2,surprise_02,,L_20,L_20,1.0,,,,event_arcanearchive_01_s_7,,,
event_arcanearchive_01_s_7,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_7,True,,2,surprise_02,,L_20,L_20,1.0,,,phantom,,,,
event_arcanearchive_01_s_8,40077,event_arcanearchive_01_s,Monologue,phantom,Locale_SubScenario:event_arcanearchive_01_s_8,False,,2,surprise_02,,L_20,1,1.3,,,,,arcana,12,idle
event_arcanearchive_01_s_9,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_9,True,,2,no_02,,1,1,1.0,,,phantom,,,12,idle
event_arcanearchive_01_s_10,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_10,True,,2,no_02,,1,1,1.0,,,phantom,,,12,idle
event_arcanearchive_01_s_11,40077,event_arcanearchive_01_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_01_s_11,True,,2,no_02,,1,L_120,1.3,,,arcana,,,12,delight
event_arcanearchive_01_s_12,40077,event_arcanearchive_01_s,Self,arcana,Locale_SubScenario:event_arcanearchive_01_s_12,False,,2,no_02,,L_120,L_120,1.0,,,,,,12,delight
event_arcanearchive_01_s_13,40077,event_arcanearchive_01_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_01_s_13,False,,2,no_02,,L_120,L_120,1.0,,,arcana,,,12,think
event_arcanearchive_01_s_14,40077,event_arcanearchive_01_s,Self,arcana,Locale_SubScenario:event_arcanearchive_01_s_14,False,,2,no_02,,L_120,L_120,1.0,,,,,,12,think
event_arcanearchive_01_s_15,40077,event_arcanearchive_01_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_01_s_15,False,,2,no_02,,L_120,L_120,1.0,,,arcana,,,12,think
event_arcanearchive_01_s_16,40077,event_arcanearchive_01_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_01_s_16,True,,2,no_02,,L_120,L_120,1.3,,,arcana,,,12,surprise
event_arcanearchive_01_s_17,40077,event_arcanearchive_01_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_01_s_17,True,,2,no_02,,L_120,L_120,1.0,,,arcana,,,12,idle
event_arcanearchive_01_s_18,40077,event_arcanearchive_01_s,Self,arcana,Locale_SubScenario:event_arcanearchive_01_s_18,False,,2,no_02,,L_120,L_120,1.0,,,,,,12,idle
event_arcanearchive_01_s_19,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_19,True,,2,sad_02,,L_120,L_20,1.3,,,phantom,,,12,idle
event_arcanearchive_01_s_20,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_20,True,,2,sad_02,,L_20,L_20,1.0,,,phantom,,,12,idle
event_arcanearchive_01_s_21,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_21,True,,2,sad_02,,L_20,L_20,1.0,,,phantom,,,12,idle
event_arcanearchive_01_s_22,40077,event_arcanearchive_01_s,Self,phantom,Locale_SubScenario:event_arcanearchive_01_s_22,False,,2,sad_02,,L_20,L_20,1.0,,,,,,12,idle
event_arcanearchive_01_s_23,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_23,True,,2,no_02,,L_20,L_20,1.0,,,phantom,,,12,idle
event_arcanearchive_01_s_24,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_24,True,,2,no_02,,L_20,L_20,1.0,,,phantom,,,12,idle
event_arcanearchive_01_s_25,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_25,True,,2,no_02,,L_20,L_20,1.0,,,phantom,,,12,idle
event_arcanearchive_01_s_26,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_26,True,,2,no_02,,L_20,L_20,1.0,,,phantom,,,12,idle
event_arcanearchive_01_s_27,40077,event_arcanearchive_01_s,Choice,phantom,Locale_SubScenario:event_arcanearchive_01_s_27,False,,2,no_02,,L_20,L_20,1.0,,,,event_arcanearchive_01_s_29,,12,idle
event_arcanearchive_01_s_28,40077,event_arcanearchive_01_s,Choice,phantom,Locale_SubScenario:event_arcanearchive_01_s_28,False,,2,no_02,,L_20,L_20,1.0,,,,event_arcanearchive_01_s_29,,12,idle
event_arcanearchive_01_s_29,40077,event_arcanearchive_01_s,Speech,arcana,Locale_SubScenario:event_arcanearchive_01_s_29,True,,2,no_02,,L_20,1,1.3,,,arcana,,,12,think
event_arcanearchive_01_s_30,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_30,True,,2,no_02,,1,1,1.0,,,phantom,,,12,think
event_arcanearchive_01_s_31,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_31,True,,2,no_02,,1,1,1.0,,,phantom,,,12,think
event_arcanearchive_01_s_32,40077,event_arcanearchive_01_s,Self,phantom,Locale_SubScenario:event_arcanearchive_01_s_32,False,,2,no_02,,1,1,1.0,,,,,,12,think
event_arcanearchive_01_s_33,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_33,True,,2,sad_02,,1,1,1.0,,,phantom,,,12,think
event_arcanearchive_01_s_34,40077,event_arcanearchive_01_s,Self,phantom,Locale_SubScenario:event_arcanearchive_01_s_34,False,,2,sad_02,,1,1,1.0,,,,,,12,think
event_arcanearchive_01_s_35,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_35,True,,2,no_02,,1,1,1.0,,,phantom,,,12,think
event_arcanearchive_01_s_36,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_36,True,,2,no_02,,1,1,1.0,,,phantom,,,12,think
event_arcanearchive_01_s_37,40077,event_arcanearchive_01_s,Self,phantom,Locale_SubScenario:event_arcanearchive_01_s_37,False,,2,no_02,,1,1,1.0,,,,,,12,think
event_arcanearchive_01_s_38,40077,event_arcanearchive_01_s,Speech,phantom,Locale_SubScenario:event_arcanearchive_01_s_38,True,,2,no_02,,1,1,1.0,,,phantom,,,12,think
