id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_camera_shake,play_sound,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id
event_alonesurvivor_06_e_1,40033,event_alonesurvivor_06_e,Narration,Narration,Locale_SubScenario:event_alonesurvivor_06_e_1,False,tove,1,surprise,IceLand_05,17,170,0.3,none,,,,,,,,,,,,,,,
event_alonesurvivor_06_e_2,40033,event_alonesurvivor_06_e,Monologue,Monologue,Locale_SubScenario:event_alonesurvivor_06_e_2,False,,1,surprise,,170,170,1.0,bgm_story_armageddon,,,,,,,,,,,,,,,
event_alonesurvivor_06_e_3,40033,event_alonesurvivor_06_e,Self,Self,Locale_SubScenario:event_alonesurvivor_06_e_3,False,,1,surprise,,170,17,1.0,,,,,,,,,,,,,,,,
event_alonesurvivor_06_e_4,40033,event_alonesurvivor_06_e,Self,Self,Locale_SubScenario:event_alonesurvivor_06_e_4,False,,1,surprise,,17,1,0.7,,,,,,,,,,,,,,,,
event_alonesurvivor_06_e_5,40033,event_alonesurvivor_06_e,Speech,tove,Locale_SubScenario:event_alonesurvivor_06_e_5,True,,1,surprise,,1,1,1.0,,tove,,,,,,,,,,,,,,
event_alonesurvivor_06_e_6,40033,event_alonesurvivor_06_e,Speech,tove,Locale_SubScenario:event_alonesurvivor_06_e_6,True,,1,surprise,,1,1,1.0,,tove,,,,,,,,,,,,,,
event_alonesurvivor_06_e_7,40033,event_alonesurvivor_06_e,Self,Self,Locale_SubScenario:event_alonesurvivor_06_e_7,False,,1,surprise,,1,1,1.0,,,,,,,,,,,,,,,,
event_alonesurvivor_06_e_8,40033,event_alonesurvivor_06_e,Self,Self,Locale_SubScenario:event_alonesurvivor_06_e_8,False,,1,surprise,,1,1,1.0,,,,,,,,,,,,,,,,
event_alonesurvivor_06_e_9,40033,event_alonesurvivor_06_e,Speech,tove,Locale_SubScenario:event_alonesurvivor_06_e_9,True,,1,idle,,1,S_10,1.0,,tove,,,,,,,,,,,,,,
event_alonesurvivor_06_e_10,40033,event_alonesurvivor_06_e,Speech,tove,Locale_SubScenario:event_alonesurvivor_06_e_10,True,,1,delight,,S_10,S_10,1.0,,tove,,,,,,,,,,,,,,
event_alonesurvivor_06_e_11,40033,event_alonesurvivor_06_e,Speech,tove,Locale_SubScenario:event_alonesurvivor_06_e_11,True,,1,delight,,S_10,S_10,1.0,,tove,,,,,,,,,,,,,,
event_alonesurvivor_06_e_12,40033,event_alonesurvivor_06_e,Self,Self,Locale_SubScenario:event_alonesurvivor_06_e_12,False,,1,delight,,S_10,S_10,1.0,none,,,,,,,,,,,,,,,
event_alonesurvivor_06_e_13,40033,event_alonesurvivor_06_e,Monologue,Monologue,Locale_SubScenario:event_alonesurvivor_06_e_13,False,,1,delight,,S_10,17,1.0,,,,,,,,,,,,,,,,
event_alonesurvivor_06_e_14,40033,event_alonesurvivor_06_e,Monologue,Monologue,Locale_SubScenario:event_alonesurvivor_06_e_14,False,,1,idle,,17,170,0.3,bgm_story_impression,,Low_2,,,,,,,,,,,,,
event_alonesurvivor_06_e_15,40033,event_alonesurvivor_06_e,Monologue,Monologue,Locale_SubScenario:event_alonesurvivor_06_e_15,False,,1,idle,,170,170,1.0,,,,,,,,,,,,,,,,
event_alonesurvivor_06_e_16,40033,event_alonesurvivor_06_e,Monologue,Monologue,Locale_SubScenario:event_alonesurvivor_06_e_16,False,,1,idle,,170,170,1.0,,,,sfx_scn_slide,,,,,,,,,,,,
event_alonesurvivor_06_e_17,40033,event_alonesurvivor_06_e,Monologue,Monologue,Locale_SubScenario:event_alonesurvivor_06_e_17,False,,1,idle,,black,black,1.0,,,,,,,,,,,,,,,,
event_alonesurvivor_06_e_18,40033,event_alonesurvivor_06_e,Monologue,Monologue,Locale_SubScenario:event_alonesurvivor_06_e_18,False,,1,idle,,black,black,1.0,,,,,,,,,,,,,,,,
event_alonesurvivor_06_e_19,40033,event_alonesurvivor_06_e,Self,Self,Locale_SubScenario:event_alonesurvivor_06_e_19,False,,1,idle,,4,4,1.0,,,,,white,,,,,,,,,,,
event_alonesurvivor_06_e_20,40033,event_alonesurvivor_06_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_06_e_20,True,,1,idle,,4,30,1.0,,ludmilla,,,,ludmilla,3,idle,alice,5,idle,neve,7,idle,,
event_alonesurvivor_06_e_21,40033,event_alonesurvivor_06_e,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_06_e_21,True,,1,idle,,30,30,1.0,,ludmilla,,,,,3,idle,,5,idle,,7,sad,,
event_alonesurvivor_06_e_22,40033,event_alonesurvivor_06_e,Speech,neve,Locale_SubScenario:event_alonesurvivor_06_e_22,True,,1,idle,,6,6,1.0,,neve,,,,,3,idle,,5,delight,,7,sad,,
event_alonesurvivor_06_e_23,40033,event_alonesurvivor_06_e,Speech,neve,Locale_SubScenario:event_alonesurvivor_06_e_23,True,,1,idle,,6,6,1.0,,neve,,,,,3,idle,,5,delight,,7,idle,,
