id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_filter_01,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/4/hide_char_id,play_sound,characters/6/hide_char_id,characters/5/hide_char_id
event_ce003_2_02_s_1,40042,event_ce003_2_02_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_02_s_1,True,ce_003_01,1,idle,ce_003_02,13,idle,ce_003_03,15,idle,Restaurant,130,130,1.0,event_bgm_ce003_minimain,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_2,40042,event_ce003_2_02_s,Self,ce_003_02,,Locale_SubScenario:event_ce003_2_02_s_2,False,,1,idle,,13,idle,,15,idle,,130,130,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_3,40042,event_ce003_2_02_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_s_3,True,,1,idle,,13,idle,,15,idle,,130,S_10,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_4,40042,event_ce003_2_02_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_s_4,True,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_5,40042,event_ce003_2_02_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_s_5,True,,1,idle,,13,idle,,15,idle,,S_10,S_100,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_6,40042,event_ce003_2_02_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_s_6,True,,1,idle,,13,idle,,15,idle,,S_100,S_100,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_7,40042,event_ce003_2_02_s,Self,ce_003_01,,Locale_SubScenario:event_ce003_2_02_s_7,False,,1,idle,,13,idle,,15,idle,,S_100,S_100,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_8,40042,event_ce003_2_02_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_s_8,True,,1,smile,,13,idle,,15,idle,,S_100,S_10,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_9,40042,event_ce003_2_02_s,Self,ce_003_01,,Locale_SubScenario:event_ce003_2_02_s_9,False,,1,smile,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_10,40042,event_ce003_2_02_s,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_2_02_s_10,True,,1,smile,,13,idle,,15,idle,,150,150,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_11,40042,event_ce003_2_02_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_s_11,True,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_12,40042,event_ce003_2_02_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_s_12,True,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_13,40042,event_ce003_2_02_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_s_13,True,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_14,40042,event_ce003_2_02_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_s_14,True,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_15,40042,event_ce003_2_02_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_s_15,True,,1,idle,,13,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_16,40042,event_ce003_2_02_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_02_s_16,True,,1,idle,,13,surprise,,15,idle,,S_10,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_17,40042,event_ce003_2_02_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_02_s_17,True,,1,idle,,13,surprise,,15,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_18,40042,event_ce003_2_02_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_s_18,True,,1,worry,,13,surprise,,15,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_19,40042,event_ce003_2_02_s,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_02_s_19,True,,1,worry,,13,idle,,15,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_20,40042,event_ce003_2_02_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_s_20,True,,1,worry,,13,idle,,15,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce003_2_02_s_21,40042,event_ce003_2_02_s,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_s_21,True,,1,worry,,13,idle,,15,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,
