id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_filter_01,set_filter_02,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade,characters/2/hide_char_id,characters/3/hide_char_id
event_unbreakablesphere2_06_s_1,40076,event_unbreakablesphere2_06_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_06_s_1,True,mihara_b,1,idle,yuni_n,3,idle,SilentBeach,100,10,1.0,event_bgm_ubsphere_wardress,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_2,40076,event_unbreakablesphere2_06_s,Narration,mihara_b,,Locale_MainScenario:event_unbreakablesphere2_06_s_2,False,,1,idle,,3,idle,,10,10,1.0,,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_3,40076,event_unbreakablesphere2_06_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_06_s_3,True,,1,idle,,3,idle,,10,10,1.0,,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_4,40076,event_unbreakablesphere2_06_s,Narration,mihara_b,,Locale_MainScenario:event_unbreakablesphere2_06_s_4,False,,1,idle,,3,idle,,black,black,1.0,,sfx_scn_armbroken,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_5,40076,event_unbreakablesphere2_06_s,Narration,mihara_b,,Locale_MainScenario:event_unbreakablesphere2_06_s_5,False,,1,idle,,3,idle,,black,black,1.0,,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_6,40076,event_unbreakablesphere2_06_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_06_s_6,True,,1,sad_01,,3,idle,,10,31,1.0,,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_7,40076,event_unbreakablesphere2_06_s,Speech,yuni_n,yuni_n,Locale_MainScenario:event_unbreakablesphere2_06_s_7,True,,1,sad_01,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_8,40076,event_unbreakablesphere2_06_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_06_s_8,True,,1,sad_01,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_9,40076,event_unbreakablesphere2_06_s,Speech,yuni_n,yuni_n,Locale_MainScenario:event_unbreakablesphere2_06_s_9,True,,1,sad_01,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_10,40076,event_unbreakablesphere2_06_s,Narration,yuni_n,,Locale_MainScenario:event_unbreakablesphere2_06_s_10,False,,1,sad_01,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_11,40076,event_unbreakablesphere2_06_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_06_s_11,True,,1,sad_01,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_12,40076,event_unbreakablesphere2_06_s,Speech,yuni_n,yuni_n,Locale_MainScenario:event_unbreakablesphere2_06_s_12,True,,1,sad_01,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_13,40076,event_unbreakablesphere2_06_s,Narration,yuni_n,,Locale_MainScenario:event_unbreakablesphere2_06_s_13,False,,1,sad_01,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_14,40076,event_unbreakablesphere2_06_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_06_s_14,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_15,40076,event_unbreakablesphere2_06_s,Speech,yuni_n,yuni_n,Locale_MainScenario:event_unbreakablesphere2_06_s_15,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_16,40076,event_unbreakablesphere2_06_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_06_s_16,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_17,40076,event_unbreakablesphere2_06_s,Speech,mihara_b,mihara_b,Locale_MainScenario:event_unbreakablesphere2_06_s_17,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,
event_unbreakablesphere2_06_s_18,40076,event_unbreakablesphere2_06_s,Speech,yuni_n,yuni_n,Locale_MainScenario:event_unbreakablesphere2_06_s_18,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,,,,,,,
