id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_goldenship_03_s_1,40023,event_goldenship_03_s,Monologue,Locale_SubScenario:event_goldenship_03_s_1,False,Desert_01,black,black,1.0,bgm_inark,,,,,mast,1,surprise,frima_s,13,idle,anchor,3,idle
event_goldenship_03_s_2,40023,event_goldenship_03_s,Monologue,Locale_SubScenario:event_goldenship_03_s_2,False,,black,black,1.0,,,,,,,1,surprise,,13,idle,,3,idle
event_goldenship_03_s_3,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_3,True,,XS_30,XS_30,1.0,,anchor,anchor,,,,1,surprise,,13,idle,,3,sad
event_goldenship_03_s_4,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_4,True,,XS_30,XS_30,1.0,,anchor,anchor,,,,1,surprise,,13,idle,,3,sad
event_goldenship_03_s_5,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_5,True,,130,130,1.0,,frima_s,frima,,,,1,surprise,,13,no,,3,sad
event_goldenship_03_s_6,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_6,True,,S_10,S_10,1.0,,mast,mast,,,,1,surprise,,13,no,,3,sad
event_goldenship_03_s_7,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_7,True,,S_10,S_10,1.0,,mast,mast,,,,1,surprise,,13,no,,3,idle
event_goldenship_03_s_8,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_8,True,,S_10,S_10,1.0,,mast,mast,,,,1,delight,,13,no,,3,idle
event_goldenship_03_s_9,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_9,True,,S_10,S_10,1.0,,mast,mast,,,,1,delight,,13,no,,3,idle
event_goldenship_03_s_10,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_10,True,,S_10,XS_30,1.0,,anchor,anchor,,,,1,delight,,13,no,,3,idle
event_goldenship_03_s_11,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_11,True,,XS_30,XS_30,1.0,,anchor,anchor,,,,1,delight,,13,no,,3,idle
event_goldenship_03_s_12,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_12,True,,XS_30,XS_30,1.0,,frima_s,frima,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_13,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_13,True,,XS_30,XS_30,1.0,,anchor,anchor,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_14,40023,event_goldenship_03_s,Monologue,Locale_SubScenario:event_goldenship_03_s_14,False,,black,black,1.0,,,,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_15,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_15,True,,XS_30,XS_30,1.0,,anchor,anchor,,,,1,delight,,13,idle,,3,surprise
event_goldenship_03_s_16,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_16,True,,XS_30,XS_30,1.0,,mast,mast,,,,1,delight,,13,idle,,3,surprise
event_goldenship_03_s_17,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_17,True,,XS_30,XS_300,1.0,,anchor,anchor,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_18,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_18,True,,XS_300,XS_300,1.0,,anchor,anchor,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_19,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_19,True,,XS_300,XS_300,1.0,,anchor,anchor,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_20,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_20,True,,S_100,S_100,1.0,,mast,mast,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_21,40023,event_goldenship_03_s,Monologue,Locale_SubScenario:event_goldenship_03_s_21,False,Desert_03,black,black,1.0,,,,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_22,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_22,True,,XS_300,XS_300,1.0,,anchor,anchor,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_23,40023,event_goldenship_03_s,Monologue,Locale_SubScenario:event_goldenship_03_s_23,False,,XS_300,31,1.0,,,,sfx_scn_digup,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_24,40023,event_goldenship_03_s,Narration,Locale_SubScenario:event_goldenship_03_s_24,False,,31,31,1.0,none,,,sfx_scn_metalpartsassemble,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_25,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_25,True,,31,31,1.0,,mast,mast,,,,1,delight2,,13,idle,,3,idle
event_goldenship_03_s_26,40023,event_goldenship_03_s,Monologue,Locale_SubScenario:event_goldenship_03_s_26,False,,31,31,1.0,,,,,,,1,delight2,,13,idle,,3,idle
event_goldenship_03_s_27,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_27,True,,31,31,1.0,,mast,mast,,,,1,delight2,,13,idle,,3,idle
event_goldenship_03_s_28,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_28,True,,31,31,1.0,,anchor,anchor,,,,1,delight2,,13,idle,,3,idle
event_goldenship_03_s_29,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_29,True,,31,31,1.0,bgm_story_whosdumber,anchor,anchor,,,,1,delight2,,13,idle,,3,idle
event_goldenship_03_s_30,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_30,True,,31,31,1.0,,mast,mast,,,,1,sad2,,13,idle,,3,idle
event_goldenship_03_s_31,40023,event_goldenship_03_s,Self,Locale_SubScenario:event_goldenship_03_s_31,False,,31,31,1.0,,,,,,,1,sad2,,13,idle,,3,idle
event_goldenship_03_s_32,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_32,True,,31,XS_30,1.0,,anchor,anchor,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_33,40023,event_goldenship_03_s,Monologue,Locale_SubScenario:event_goldenship_03_s_33,False,,black,black,1.0,,,,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_34,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_34,True,,black,black,1.0,,anchor,anchor,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_35,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_35,False,,XS_30,XS_30,1.0,,anchor,anchor,,,,1,delight,,13,idle,,3,surprise
event_goldenship_03_s_36,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_36,True,,XS_30,XS_300,1.0,,anchor,anchor,,,,1,delight,,13,idle,,3,surprise
event_goldenship_03_s_37,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_37,True,,XS_300,XS_300,1.0,,mast,mast,,,,1,delight,,13,idle,,3,surprise
event_goldenship_03_s_38,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_38,True,,XS_300,XS_300,1.0,,anchor,anchor,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_39,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_39,True,,XS_300,XS_300,1.0,,anchor,anchor,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_40,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_40,True,,S_100,S_100,1.0,,mast,mast,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_41,40023,event_goldenship_03_s,Monologue,Locale_SubScenario:event_goldenship_03_s_41,False,,black,black,1.0,,,,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_42,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_42,True,,XS_300,XS_300,1.0,,anchor,anchor,,,,1,delight,,13,idle,,3,idle
event_goldenship_03_s_43,40023,event_goldenship_03_s,Speech,Locale_SubScenario:event_goldenship_03_s_43,True,,XS_300,S_100,1.0,,mast,mast,,,,1,delight,,13,idle,,3,idle
