id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_brandnewyear_04_e_1,40005,event_brandnewyear_04_e,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_e_1,False,IceLand_01,13,13,1.0,none,,,,helm_p,1,idle,sugar_p,13,surprise,,julia_p,3,idle
event_brandnewyear_04_e_2,40005,event_brandnewyear_04_e,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_e_2,False,,13,13,1.0,,,,,,1,idle,,13,surprise,,,3,idle
event_brandnewyear_04_e_3,40005,event_brandnewyear_04_e,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_e_3,True,,13,S_130,0.5,,,,,,1,idle,,13,surprise,,,3,idle
event_brandnewyear_04_e_4,40005,event_brandnewyear_04_e,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_e_4,True,,S_130,S_130,1.0,,,,,,1,idle,,13,surprise,,,3,idle
event_brandnewyear_04_e_5,40005,event_brandnewyear_04_e,Speech,sugar_p,sugar,Locale_SubScenario:event_brandnewyear_04_e_5,True,,S_130,S_1300,0.5,,,,,,1,idle,,13,surprise,,,3,idle
event_brandnewyear_04_e_6,40005,event_brandnewyear_04_e,Narration,,,Locale_SubScenario:event_brandnewyear_04_e_6,False,,S_1300,S_1300,1.0,,sfx_scn_bikeengine,,,,1,idle,,13,surprise,sugar_p,,3,idle
event_brandnewyear_04_e_7,40005,event_brandnewyear_04_e,Speech,helm_p,helm,Locale_SubScenario:event_brandnewyear_04_e_7,True,,S_1300,31,1.0,bgm_inark,,,,,1,idle,,,,,,3,idle
event_brandnewyear_04_e_8,40005,event_brandnewyear_04_e,Speech,julia_p,julia,Locale_SubScenario:event_brandnewyear_04_e_8,True,,31,31,1.0,,,,,,1,idle,,,,,,3,idle
event_brandnewyear_04_e_9,40005,event_brandnewyear_04_e,Monologue,,,Locale_SubScenario:event_brandnewyear_04_e_9,False,,black,black,1.0,,,,,,1,idle,,,,,,3,idle
event_brandnewyear_04_e_10,40005,event_brandnewyear_04_e,Monologue,,,Locale_SubScenario:event_brandnewyear_04_e_10,False,,black,black,1.0,,,,,,1,idle,,,,,,3,idle
