id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,conversation_id,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_overthehorizon_04_s_1,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_1,False,CommanderRoom,black,black,1.0,none,,,,,,rapi,1,idle,,anis,13,worry,,neon,15,idle,
event_overthehorizon_04_s_2,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_2,False,,500,500,1.0,,,,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_3,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_3,False,,500,500,1.0,bgm_story_breakaway,,,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_4,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_4,False,,500,500,1.0,,,,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_5,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_5,False,,500,50,1.0,,,,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_6,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_6,True,,50,10,2.0,,rapi,rapi,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_7,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_7,True,,10,130,1.0,,anis,anis,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_8,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_8,True,,130,130,1.0,,anis,anis,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_9,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_9,True,,130,130,1.0,,anis,anis,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_10,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_10,True,,130,1315,1.0,,neon,neon,,,,,1,idle,,,13,worry,,,15,worry,
event_overthehorizon_04_s_11,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_11,True,,1315,1315,1.0,,neon,neon,,,,,1,idle,,,13,worry,,,15,worry,
event_overthehorizon_04_s_12,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_12,True,,1315,1315,1.0,,anis,anis,,,,,1,idle,,,13,no,,,15,worry,
event_overthehorizon_04_s_13,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_13,True,,1315,1,1.5,,rapi,rapi,,,,,1,idle,,,13,no,,,15,worry,
event_overthehorizon_04_s_14,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_14,False,,1,10,1.0,,rapi,,,,,,1,idle,,,13,no,,,15,worry,
event_overthehorizon_04_s_15,40081,event_overthehorizon_04_s,Narration,Locale_SubScenario:event_overthehorizon_04_s_15,False,,10,10,1.0,,rapi,,sfx_scn_phonevibration,,,,1,idle,,,13,no,,,15,worry,
event_overthehorizon_04_s_16,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_16,False,,10,10,1.0,,rapi,,,,,,1,idle,,,13,no,,,15,worry,
event_overthehorizon_04_s_17,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_17,False,,10,10,1.0,,rapi,,,m_event_overthehorizon_04_s_01,,,1,idle,,,13,worry,,,15,worry,
event_overthehorizon_04_s_18,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_18,False,,10,100,0.5,,rapi,,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_19,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_19,False,,100,100,1.0,,rapi,,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_20,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_20,False,,100,100,1.0,,rapi,,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_21,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_21,True,,100,10,1.0,,rapi,rapi,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_22,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_22,True,,10,130,1.0,,anis,anis,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_23,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_23,True,,130,S_150,1.0,,neon,neon,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_24,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_24,False,,S_150,S_150,1.0,,neon,,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_25,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_25,False,,S_150,S_150,1.0,,neon,,,,,,1,idle,,,13,worry,,,15,idle,
event_overthehorizon_04_s_26,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_26,True,,S_150,S_150,1.0,,neon,neon,,,,,1,worry,,,13,worry,,,15,idle,
event_overthehorizon_04_s_27,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_27,True,,S_150,130,1.0,,anis,anis,,,,,1,worry,,,13,worry,,,15,idle,
event_overthehorizon_04_s_28,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_28,True,,130,10,1.0,,rapi,rapi,,,,,1,worry,,,13,worry,,,15,idle,
event_overthehorizon_04_s_29,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_29,False,,10,10,1.0,none,rapi,,,,,,1,worry,,,13,worry,,,15,idle,
event_overthehorizon_04_s_30,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_30,True,FastFood,300,30,1.0,,manstaff,manstaff,,,black,,1,worry,rapi,manstaff,3,worry,anis,,15,idle,neon
event_overthehorizon_04_s_31,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_31,True,,30,30,1.0,,manstaff,manstaff,,,,,,,,,3,idle,,,,,
event_overthehorizon_04_s_32,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_32,False,,30,30,1.0,,manstaff,,,,,,,,,,3,idle,,,,,
event_overthehorizon_04_s_33,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_33,False,,30,30,1.0,bgm_story_tepidappleade,manstaff,,,,,,,,,,3,idle,,,,,
event_overthehorizon_04_s_34,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_34,False,,30,30,1.0,,manstaff,,,,,,,,,,3,idle,,,,,
event_overthehorizon_04_s_35,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_35,False,,30,30,1.0,,manstaff,,,,,,,,,,3,idle,,,,,
event_overthehorizon_04_s_36,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_36,False,,30,30,1.0,,manstaff,,,,,,,,,,3,idle,,,,,
event_overthehorizon_04_s_37,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_37,False,,30,30,1.0,,manstaff,,,,,,,,,,3,idle,,,,,
event_overthehorizon_04_s_38,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_38,False,,30,30,1.0,,manstaff,,,,,,,,,,3,idle,,,,,
event_overthehorizon_04_s_39,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_39,True,,30,300,1.0,,manstaff,manstaff,,,,,,,,,3,idle,,,,,
event_overthehorizon_04_s_40,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_40,False,,300,300,1.0,,manstaff,,,,,,,,,,3,idle,,,,,
event_overthehorizon_04_s_41,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_41,True,,300,300,1.0,,manstaff,manstaff,,,,,,,,,3,idle,,,,,
event_overthehorizon_04_s_42,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_42,False,,300,300,1.0,,manstaff,,,,,,,,,,3,idle,,,,,
event_overthehorizon_04_s_43,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_43,True,,300,300,1.0,,manstaff,manstaff,,,,,,,,,3,idle,,,,,
event_overthehorizon_04_s_44,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_44,False,,300,100,1.0,,manstaff,,,,black,,,,,,3,idle,manstaff,,,,
event_overthehorizon_04_s_45,40081,event_overthehorizon_04_s,Narration,Locale_SubScenario:event_overthehorizon_04_s_45,False,,100,100,1.0,,manstaff,,sfx_scn_buggerbite,,,,,,,,,,,,,,
event_overthehorizon_04_s_46,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_46,False,,100,100,1.0,,manstaff,,,,,,,,,,,,,,,,
event_overthehorizon_04_s_47,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_47,False,,100,100,1.0,,manstaff,,,,,,,,,,,,,,,,
event_overthehorizon_04_s_48,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_48,False,,100,100,1.0,,manstaff,,,,,,,,,,,,,,,,
event_overthehorizon_04_s_49,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_49,False,,100,100,1.0,none,manstaff,,,,,,,,,,,,,,,,
event_overthehorizon_04_s_50,40081,event_overthehorizon_04_s,Narration,Locale_SubScenario:event_overthehorizon_04_s_50,False,,100,100,1.0,,manstaff,,,,,,,,,,,,,,,,
event_overthehorizon_04_s_51,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_51,False,,100,100,1.0,,manstaff,,,,,,,,,,,,,,,,
event_overthehorizon_04_s_52,40081,event_overthehorizon_04_s,Narration,Locale_SubScenario:event_overthehorizon_04_s_52,False,,black,black,1.0,,manstaff,,sfx_scn_toyshopbell,,,,,,,,,,,,,,
event_overthehorizon_04_s_53,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_53,True,,100,100,1.0,bgm_story_cottoncandy,sora,sora,,,,sora,1,idle,,,,,,,,,
event_overthehorizon_04_s_54,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_54,False,,100,100,1.0,,sora,,,,,,1,idle,,,,,,,,,
event_overthehorizon_04_s_55,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_55,False,,100,10,1.0,,sora,,,,,,1,idle,,,,,,,,,
event_overthehorizon_04_s_56,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_56,True,,10,31,1.0,,manstaff,manstaff,,,,,1,idle,,manstaff,3,idle,,,,,
event_overthehorizon_04_s_57,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_57,True,,31,31,1.0,,manstaff,manstaff,,,,,1,idle,,,3,idle,,,,,
event_overthehorizon_04_s_58,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_58,True,,31,31,1.0,,sora,sora,,,,,1,idle,,,3,idle,,,,,
event_overthehorizon_04_s_59,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_59,False,,31,31,1.0,,sora,,,,,,1,idle2,,,3,idle,,,,,
event_overthehorizon_04_s_60,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_60,False,,31,31,1.0,,sora,sora,,,,,1,idle2,,,3,idle,,,,,
event_overthehorizon_04_s_61,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_61,True,,31,31,1.0,,manstaff,manstaff,,,,,1,idle2,,,3,idle,,,,,
event_overthehorizon_04_s_62,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_62,True,,31,31,1.0,,sora,sora,,,,,1,idle,,,3,idle,,,,,
event_overthehorizon_04_s_63,40081,event_overthehorizon_04_s,Monologue,Locale_SubScenario:event_overthehorizon_04_s_63,False,,31,31,1.0,,sora,,,,,,1,idle,,,3,idle,,,,,
event_overthehorizon_04_s_64,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_64,True,,31,31,1.0,,sora,sora,,,,,1,idle,,,3,idle,,,,,
event_overthehorizon_04_s_65,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_65,True,,31,31,1.0,,sora,sora,,,,,1,idle,,,3,idle,,,,,
event_overthehorizon_04_s_66,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_66,True,,31,31,1.0,,manstaff,manstaff,,,,,1,idle,,,3,idle,,,,,
event_overthehorizon_04_s_67,40081,event_overthehorizon_04_s,Speech,Locale_SubScenario:event_overthehorizon_04_s_67,True,,31,31,1.0,,sora,sora,,,,,1,idle,,,3,idle,,,,,
event_overthehorizon_04_s_68,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_68,False,,31,1,1.0,,sora,,,,,,1,idle,,,3,idle,manstaff,,,,
event_overthehorizon_04_s_69,40081,event_overthehorizon_04_s,Narration,Locale_SubScenario:event_overthehorizon_04_s_69,False,,1,10,1.0,,sora,,sfx_scn_phonevibration,,,,1,idle,,,,,,,,,
event_overthehorizon_04_s_70,40081,event_overthehorizon_04_s,Self,Locale_SubScenario:event_overthehorizon_04_s_70,False,,10,10,0.5,,sora,,,m_event_overthehorizon_04_s_02,,,1,idle,,,,,,,,,
