id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
event_lifeagain_06_s_1,40060,event_lifeagain_06_s,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_1,True,nadia,3,sad,Gym,3,XS_30,1.0,none,,,,,
event_lifeagain_06_s_2,40060,event_lifeagain_06_s,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_2,True,,3,sad,,XS_30,XS_30,1.0,bgm_frostpillar,,,,,
event_lifeagain_06_s_3,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_3,False,,3,sad,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_4,40060,event_lifeagain_06_s,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_4,True,,3,sad,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_5,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_5,False,,3,sad,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_6,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_6,False,,3,sad,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_7,40060,event_lifeagain_06_s,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_7,True,,3,angry,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_8,40060,event_lifeagain_06_s,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_8,True,,3,angry,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_9,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_9,False,,3,angry,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_10,40060,event_lifeagain_06_s,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_10,False,,3,sad,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_11,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_11,False,,3,sad,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_12,40060,event_lifeagain_06_s,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_12,False,,3,sad,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_13,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_13,False,,3,sad,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_14,40060,event_lifeagain_06_s,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_14,False,,3,sad,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_15,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_15,False,,3,sad,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_16,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_16,False,,3,sad,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_17,40060,event_lifeagain_06_s,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_17,True,,3,angry,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_18,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_18,False,,3,angry,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_19,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_19,False,,3,angry,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_20,40060,event_lifeagain_06_s,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_20,True,,3,sad,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_21,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_21,False,,3,sad,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_22,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_22,False,,3,sad,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_23,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_23,False,,3,sad,,XS_30,XS_30,1.0,,,,,,
event_lifeagain_06_s_24,40060,event_lifeagain_06_s,Monologue,,Monologue,Locale_SubScenario:event_lifeagain_06_s_24,False,,3,sad,,XS_30,3,1.0,,,,,,
event_lifeagain_06_s_25,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_25,False,,3,sad,,3,3,1.0,,,,,,
event_lifeagain_06_s_26,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_26,False,,3,sad,,3,3,1.0,,,,,,
event_lifeagain_06_s_27,40060,event_lifeagain_06_s,Monologue,,Monologue,Locale_SubScenario:event_lifeagain_06_s_27,False,,3,sad,Park,black,black,1.0,,nadia,rumani,5,think,black
event_lifeagain_06_s_28,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_28,False,,,,,5,5,1.0,,,,5,think,
event_lifeagain_06_s_29,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_29,True,,,,,5,L_50,1.0,,,,5,idle,
event_lifeagain_06_s_30,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_30,True,,,,,L_50,L_50,1.0,,,,5,idle,
event_lifeagain_06_s_31,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_31,False,,,,,L_50,L_50,1.0,,,,5,idle,
event_lifeagain_06_s_32,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_32,True,,,,,L_50,L_50,1.0,,,,5,idle,
event_lifeagain_06_s_33,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_33,True,,,,,L_50,L_50,1.0,,,,5,idle,
event_lifeagain_06_s_34,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_34,True,,,,,L_50,L_50,1.0,,,,5,idle,
event_lifeagain_06_s_35,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_35,True,,,,,L_50,L_50,1.0,,,,5,idle,
event_lifeagain_06_s_36,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_36,True,,,,,L_50,L_50,1.0,,,,5,idle,
event_lifeagain_06_s_37,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_37,True,,,,,L_50,L_50,1.0,,,,5,idle,
event_lifeagain_06_s_38,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_38,True,,,,,L_50,L_50,1.0,,,,5,think,
event_lifeagain_06_s_39,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_39,True,,,,,L_50,L_50,1.0,,,,5,think,
event_lifeagain_06_s_40,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_40,False,,,,,L_50,L_50,1.0,,,,5,think,
event_lifeagain_06_s_41,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_41,True,,,,,L_50,L_50,1.0,,,,5,think,
event_lifeagain_06_s_42,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_42,True,,,,,L_50,L_500,1.0,,,,5,idle,
event_lifeagain_06_s_43,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_43,True,,,,,L_500,L_500,1.0,,,,5,idle,
event_lifeagain_06_s_44,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_44,True,,,,,L_500,L_500,1.0,,,,5,idle,
event_lifeagain_06_s_45,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_45,True,,,,,L_500,L_500,1.0,,,,5,idle,
event_lifeagain_06_s_46,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_46,False,,,,,L_500,L_500,1.0,,,,5,idle,
event_lifeagain_06_s_47,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_47,True,,,,,L_500,L_50,1.0,,,,5,think,
event_lifeagain_06_s_48,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_48,True,,,,,L_50,L_50,1.0,,,,5,think,
event_lifeagain_06_s_49,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_49,True,,,,,L_50,L_50,1.0,,,,5,think,
event_lifeagain_06_s_50,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_50,True,,,,,L_50,L_50,1.0,,,,5,think,
event_lifeagain_06_s_51,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_51,False,,,,,L_50,L_50,1.0,,,,5,think,
event_lifeagain_06_s_52,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_52,True,,,,,L_50,L_50,1.0,,,,5,think,
event_lifeagain_06_s_53,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_53,False,,,,,L_50,L_50,1.0,,,,5,think,
event_lifeagain_06_s_54,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_54,True,,,,,L_50,L_50,1.0,,,,5,think,
event_lifeagain_06_s_55,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_55,True,,,,,L_50,L_50,1.0,,,,5,idle,
event_lifeagain_06_s_56,40060,event_lifeagain_06_s,Self,,Self,Locale_SubScenario:event_lifeagain_06_s_56,False,,,,,L_50,L_50,1.0,,,,5,idle,
event_lifeagain_06_s_57,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_57,False,nadia,3,sad,Gym,4,4,1.0,,,,5,think,black
event_lifeagain_06_s_58,40060,event_lifeagain_06_s,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_58,False,,3,sad,,4,4,1.0,,,,5,think,
event_lifeagain_06_s_59,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_59,False,,3,sad,,4,4,1.0,,,,5,think,
event_lifeagain_06_s_60,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_60,True,,3,sad,,4,4,1.0,,,,5,think,
event_lifeagain_06_s_61,40060,event_lifeagain_06_s,Speech,rumani,rumani,Locale_SubScenario:event_lifeagain_06_s_61,True,,3,sad,,4,4,1.0,,,,5,think,
event_lifeagain_06_s_62,40060,event_lifeagain_06_s,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_62,True,,3,sad,,4,4,1.0,,,,5,think,
event_lifeagain_06_s_63,40060,event_lifeagain_06_s,Speech,nadia,nadia,Locale_SubScenario:event_lifeagain_06_s_63,True,,3,sad,,4,4,1.0,,,,5,think,
