id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_camera_shake,characters/0/hide_char_id,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_colorless_04_e_1,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_1,False,WasteLand_02_n,130,130,1.0,sfx_scn_1shot,bgm_story_trauma,,,,,,,,,,,
event_colorless_04_e_2,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_2,False,,130,130,1.0,,,,,,,,,,,,,
event_colorless_04_e_3,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_3,False,,130,130,1.0,sfx_scn_rapturehowl,,,,,,,,,,,,
event_colorless_04_e_4,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_4,False,,130,130,1.0,,,,,,,,,,,,,
event_colorless_04_e_5,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_5,False,,130,130,1.0,,,tercera,,,,,,,,,,
event_colorless_04_e_6,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_6,False,,130,130,1.0,,,karhi,,,,,,,,,,
event_colorless_04_e_7,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_7,True,,130,130,1.0,,,zwei,zwei,zwei,13,angry,,,,,,
event_colorless_04_e_8,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_8,False,,130,130,1.0,sfx_scn_fireblindly,,,zwei,,13,angry,,,,,,
event_colorless_04_e_9,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_9,False,,130,130,1.0,,,,zwei,,13,angry,,,,,,
event_colorless_04_e_10,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_10,False,,130,130,1.0,,,karhi,zwei,,13,surprise,,,,,,
event_colorless_04_e_11,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_11,False,,130,130,1.0,,,,zwei,,13,surprise,,,,,,
event_colorless_04_e_12,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_12,False,,130,130,1.0,sfx_scn_explosions,,,zwei,,13,surprise,Low_2,,,,,
event_colorless_04_e_13,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_13,False,,130,130,1.0,,,,zwei,,13,surprise,,,,,,
event_colorless_04_e_14,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_14,True,,130,130,1.0,,,zwei,zwei,,13,surprise,,,,,,
event_colorless_04_e_15,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_15,False,,130,130,1.0,,,,zwei,,13,surprise,,,,,,
event_colorless_04_e_16,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_16,False,,130,130,1.0,,,zwei,zwei,,13,surprise,,,,,,
event_colorless_04_e_17,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_17,True,,130,130,1.0,,,zwei,zwei,,13,surprise,,,,,,
event_colorless_04_e_18,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_18,False,,130,130,1.0,,,,zwei,,13,surprise,,,,,,
event_colorless_04_e_19,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_19,False,,130,130,1.0,,,,zwei,,13,surprise,,,,,,
event_colorless_04_e_20,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_20,False,,black,black,1.0,sfx_scn_bodypushhard,,,zwei,,13,surprise,,,,,,
event_colorless_04_e_21,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_21,False,,black,black,1.0,,,zwei,zwei,,13,surprise,,,,,,
event_colorless_04_e_22,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_22,False,,black,black,1.0,sfx_scn_explosionnear,,,zwei,,13,pain,Low_2,,,,,
event_colorless_04_e_23,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_23,False,,black,black,1.0,,,,zwei,,13,pain,,zwei,,,,
event_colorless_04_e_24,40054,event_colorless_04_e,Narration,Locale_SubScenario:event_colorless_04_e_24,False,,100,100,1.0,,,,zwei,,,,,,Blur_Middle,,,
event_colorless_04_e_25,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_25,True,,100,100,1.0,,,ein,ein,,,,,,Blur_Middle,ein,1,idle
event_colorless_04_e_26,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_26,True,,100,100,1.0,,,ein,ein,,,,,,Blur_Low,,1,idle
event_colorless_04_e_27,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_27,True,,100,100,1.0,,,ein,ein,,,,,,Blur_Low,,1,idle
event_colorless_04_e_28,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_28,True,,100,12,1.0,,,zwei,zwei,zwei,13,pain,,,,,1,idle
event_colorless_04_e_29,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_29,True,,12,12,1.0,,,ein,ein,,13,pain,,,,,1,idle
event_colorless_04_e_30,40054,event_colorless_04_e,Speech,Locale_SubScenario:event_colorless_04_e_30,True,,12,12,1.0,,,zwei,zwei,,13,pain,,,,,1,idle
