id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/6/hide_char_id,play_sound,set_camera_shake,characters/0/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/7/hide_char_id,characters/5/hide_char_id,jump_target,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/9/hide_char_id,conversation_id,characters/1/hide_char_id,characters/8/hide_char_id
event_neverland1_03_e_1,40034,event_neverland1_03_e,Speech,blanc_c,blanc_c,Locale_MainScenario:event_neverland1_03_e_1,True,ludmilla_w,1,idle,blanc_c,3,think,noir_c,5,idle,mica_w,13,idle,BigHotSpring_d,4,4,1.0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_03_e_2,40034,event_neverland1_03_e,Speech,noir_c,noir_c,Locale_MainScenario:event_neverland1_03_e_2,True,,1,idle,,3,think,,5,idle,,13,idle,,4,4,1.0,event_bgm_neverland_hugme_day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_03_e_3,40034,event_neverland1_03_e,Speech,mica_w,mica_w,Locale_MainScenario:event_neverland1_03_e_3,True,,1,idle,,3,think,,5,idle,,13,idle,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_03_e_4,40034,event_neverland1_03_e,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland1_03_e_4,True,,1,idle,,3,idle,,5,idle,,13,idle,,12,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_03_e_5,40034,event_neverland1_03_e,Narration,,,Locale_MainScenario:event_neverland1_03_e_5,False,,1,idle,,3,idle,,5,idle,,13,idle,,black,black,0.5,,signal,19,idle,delta,17,idle,mica_w,sfx_scn_bombbeep,Low_2,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_03_e_6,40034,event_neverland1_03_e,Speech,signal,signal,Locale_MainScenario:event_neverland1_03_e_6,True,,1,idle,,3,idle,,5,idle,,,,,19,XS_190,1.0,,,19,idle,,17,idle,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_03_e_7,40034,event_neverland1_03_e,Speech,signal,signal,Locale_MainScenario:event_neverland1_03_e_7,True,,1,idle,,3,idle,,5,idle,,,,,XS_190,XS_190,1.0,,,19,idle,,17,idle,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_03_e_8,40034,event_neverland1_03_e,Speech,delta,delta,Locale_MainScenario:event_neverland1_03_e_8,True,,1,idle,,3,idle,,5,idle,,,,,XS_190,18,1.0,,,19,idle,,17,idle,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_03_e_9,40034,event_neverland1_03_e,Speech,signal,signal,Locale_MainScenario:event_neverland1_03_e_9,True,,1,idle,,3,idle,,5,idle,,,,,18,18,1.0,,,19,idle,,17,idle,,,,,,,,,,,,,,,,,,,,,,,,,,
event_neverland1_03_e_10,40034,event_neverland1_03_e,Monologue,,,Locale_MainScenario:event_neverland1_03_e_10,False,,1,idle,,3,idle,,5,idle,,,,,black,black,1.0,,,19,idle,,17,idle,,,,,,,,,,,,,,,,,,,,,,,,,,
