id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,play_sound,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_camera_shake
event_boomtheghost1_04_s_1,40084,event_boomtheghost1_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost1_04_s_1,True,elegg_s,1,no,centi_s,13,surprise,tove_s,15,surprise,CruiseShipPool_n,S_10,S_10,1.0,bgm_story_littlehauntedwaltz,Blur_High,Vignetting,,,,,,,,,,,,,
event_boomtheghost1_04_s_2,40084,event_boomtheghost1_04_s,Speech,centi_s,centi_s,Locale_MainScenario:event_boomtheghost1_04_s_2,True,,1,no,,13,surprise,,15,surprise,,S_10,L_130,1.0,,Blur_High,Vignetting,,,,,,,,,,,,,
event_boomtheghost1_04_s_3,40084,event_boomtheghost1_04_s,Speech,tove_s,tove_s,Locale_MainScenario:event_boomtheghost1_04_s_3,True,,1,no,,13,surprise,,15,surprise,,L_130,S_150,1.0,,Blur_High,Vignetting,,,,,,,,,,,,,
event_boomtheghost1_04_s_4,40084,event_boomtheghost1_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost1_04_s_4,True,,1,no,,13,surprise,,15,surprise,,S_10,S_100,0.5,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_5,40084,event_boomtheghost1_04_s,Speech,centi_s,centi_s,Locale_MainScenario:event_boomtheghost1_04_s_5,True,,1,no,,13,surprise,,15,surprise,,L_130,L_1300,0.5,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_6,40084,event_boomtheghost1_04_s,Speech,tove_s,tove_s,Locale_MainScenario:event_boomtheghost1_04_s_6,True,,1,no,,13,surprise,,15,surprise,,S_150,S_1500,0.5,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_7,40084,event_boomtheghost1_04_s,Speech,tove_s,tove_s,Locale_MainScenario:event_boomtheghost1_04_s_7,True,,1,no,,13,surprise,,15,special,,S_1500,S_1500,1.0,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_8,40084,event_boomtheghost1_04_s,Speech,centi_s,centi_s,Locale_MainScenario:event_boomtheghost1_04_s_8,True,,1,no,,13,surprise,,15,special,,S_1500,L_1300,1.0,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_9,40084,event_boomtheghost1_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost1_04_s_9,True,,1,no,,13,surprise,,15,special,,L_1300,S_100,1.0,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_10,40084,event_boomtheghost1_04_s,Self,elegg_s,,Locale_MainScenario:event_boomtheghost1_04_s_10,False,,1,no,,13,surprise,,15,special,,S_100,S_100,1.0,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_11,40084,event_boomtheghost1_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost1_04_s_11,True,,1,surprise,,13,surprise,,15,special,,S_100,S_10,1.0,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_12,40084,event_boomtheghost1_04_s,Self,elegg_s,,Locale_MainScenario:event_boomtheghost1_04_s_12,False,,1,surprise,,13,surprise,,15,special,,S_10,S_10,1.0,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_13,40084,event_boomtheghost1_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost1_04_s_13,True,,1,surprise,,13,surprise,,15,special,,S_10,S_10,1.0,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_14,40084,event_boomtheghost1_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost1_04_s_14,True,,1,surprise,,13,surprise,,15,special,,S_10,S_10,1.0,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_15,40084,event_boomtheghost1_04_s,Self,elegg_s,,Locale_MainScenario:event_boomtheghost1_04_s_15,False,,1,surprise,,13,idle,,15,special,,S_10,S_10,1.0,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_16,40084,event_boomtheghost1_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost1_04_s_16,True,,1,surprise,,13,idle,,15,special,,S_10,S_100,1.0,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_17,40084,event_boomtheghost1_04_s,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost1_04_s_17,True,,1,surprise,,13,idle,,15,special,,S_100,S_100,1.0,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_18,40084,event_boomtheghost1_04_s,Speech,centi_s,centi_s,Locale_MainScenario:event_boomtheghost1_04_s_18,True,,1,surprise,,13,idle,,15,idle,,S_100,L_1300,1.0,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_19,40084,event_boomtheghost1_04_s,Speech,tove_s,tove_s,Locale_MainScenario:event_boomtheghost1_04_s_19,True,,1,surprise,,13,idle,,15,idle,,L_1300,S_1500,1.0,,,,,,,,,,,,,,,,
event_boomtheghost1_04_s_20,40084,event_boomtheghost1_04_s,Self,tove_s,,Locale_MainScenario:event_boomtheghost1_04_s_20,False,,1,idle,,13,idle,,15,idle,,S_1500,S_1500,1.0,,,,,,,,,,,,,,,,
