id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,set_filter_01
event_oldtales1_02_e_1,40061,event_oldtales1_02_e,Narration,cinderella,Locale_MainScenario:event_oldtales1_02_e_1,False,cinderella,1,idle_blue,Office,1,1,1.0,sfx_scn_refrigeratoropen,event_bgm_oldtales_beyond,,,,,,,
event_oldtales1_02_e_2,40061,event_oldtales1_02_e,Speech,cinderella,Locale_MainScenario:event_oldtales1_02_e_2,True,,1,idle_blue,,1,S_10,1.0,,,cinderella,,,,,,
event_oldtales1_02_e_3,40061,event_oldtales1_02_e,Narration,cinderella,Locale_MainScenario:event_oldtales1_02_e_3,False,,1,idle_blue,,S_10,S_10,1.0,sfx_scn_metalknock,,,,,,,,
event_oldtales1_02_e_4,40061,event_oldtales1_02_e,Narration,cinderella,Locale_MainScenario:event_oldtales1_02_e_4,False,,1,idle_blue,,S_10,1,1.0,,,,,,,,,
event_oldtales1_02_e_5,40061,event_oldtales1_02_e,Narration,cinderella,Locale_MainScenario:event_oldtales1_02_e_5,False,,1,idle_blue,,1,12,1.0,,,,redshoes,13,idle,,,
event_oldtales1_02_e_6,40061,event_oldtales1_02_e,Speech,cinderella,Locale_MainScenario:event_oldtales1_02_e_6,True,,1,surprise_blue,,12,12,1.0,,,cinderella,,13,idle,,,
event_oldtales1_02_e_7,40061,event_oldtales1_02_e,Speech,redshoes,Locale_MainScenario:event_oldtales1_02_e_7,True,,1,surprise_blue,,12,12,1.0,,,redshoes,,13,idle,,,
event_oldtales1_02_e_8,40061,event_oldtales1_02_e,Speech,redshoes,Locale_MainScenario:event_oldtales1_02_e_8,True,,1,surprise_blue,,12,12,1.0,,,redshoes,,13,idle,,,
event_oldtales1_02_e_9,40061,event_oldtales1_02_e,Speech,cinderella,Locale_MainScenario:event_oldtales1_02_e_9,True,,1,idle_blue,,12,12,1.0,,,cinderella,,13,idle,,,
event_oldtales1_02_e_10,40061,event_oldtales1_02_e,Speech,redshoes,Locale_MainScenario:event_oldtales1_02_e_10,True,,1,idle_blue,,12,12,1.0,,,redshoes,,13,idle,,,
event_oldtales1_02_e_11,40061,event_oldtales1_02_e,Speech,cinderella,Locale_MainScenario:event_oldtales1_02_e_11,True,,1,surprise_blue,,12,12,1.0,,,cinderella,,13,idle,,,
