id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_redash2_01_s_1,40032,event_redash2_01_s,Narration,Locale_MainScenario:event_redash2_01_s_1,False,BriefingRoom,black,black,1.0,event_bgm_redash_ashsmoke,,,,liliweiss,1,think,,commander,3,no,,dorothy,5,idle,hongryeon_o,7,idle,,,,
event_redash2_01_s_2,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_2,True,,1,10,1.0,,liliweiss,liliweiss,,,1,think,,,3,no,,,5,idle,,7,idle,,,,
event_redash2_01_s_3,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_3,True,,10,10,1.0,,liliweiss,liliweiss,,,1,think,,,3,no,,,5,idle,,7,idle,,,,
event_redash2_01_s_4,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_4,True,,10,31,1.0,,commander,commander,,,1,think,,,3,no,,,5,idle,,7,idle,,,,
event_redash2_01_s_5,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_5,True,,31,31,1.0,,commander,commander,,,1,think,,,3,no,,,5,idle,,7,idle,,,,
event_redash2_01_s_6,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_6,True,,31,31,1.0,,liliweiss,liliweiss,,,1,think,,,3,no,,,5,idle,,7,idle,,,,
event_redash2_01_s_7,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_7,True,,31,31,1.0,,commander,commander,,,1,think,,,3,no,,,5,idle,,7,idle,,,,
event_redash2_01_s_8,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_8,True,,31,53,1.0,,dorothy,dorothy,,,1,think,,,3,no,,,5,idle,,7,idle,,,,
event_redash2_01_s_9,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_9,True,,53,53,1.0,,commander,commander,,,1,think,,,3,no,,,5,idle,,7,idle,,,,
event_redash2_01_s_10,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_10,True,,53,75,1.0,,hongryeon_o,hongryeon_o,,,1,think,,,3,no,,,5,idle,,7,angry,,,,
event_redash2_01_s_11,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_11,True,,75,75,1.0,,hongryeon_o,hongryeon_o,,,1,think,,,3,no,,,5,idle,,7,angry,,,,
event_redash2_01_s_12,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_12,True,,75,75,1.0,,dorothy,dorothy,,,1,think,,,3,no,,,5,idle,,7,angry,,,,
event_redash2_01_s_13,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_13,True,,L_30,L_30,2.0,,commander,commander,,,1,think,,,3,no,,,5,idle,,7,angry,,,,
event_redash2_01_s_14,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_14,True,,L_30,L_30,1.0,,commander,commander,,,1,think,,,3,no,,,5,idle,,7,idle,,,,
event_redash2_01_s_15,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_15,True,,L_30,L_30,1.0,,commander,commander,,,1,think,,,3,no,,,5,idle,,7,idle,,,,
event_redash2_01_s_16,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_16,True,,L_30,L_30,1.0,,commander,commander,,,1,think,,,3,no,,,5,idle,,7,idle,,,,
event_redash2_01_s_17,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_17,True,,L_30,L_300,0.5,,commander,commander,,,1,think,,,3,no,,,5,idle,,7,idle,,,,
event_redash2_01_s_18,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_18,True,,100,100,1.0,,liliweiss,liliweiss,,,1,idle,,,3,no,,,5,idle,,7,idle,,,,
event_redash2_01_s_19,40032,event_redash2_01_s,Speech,Locale_MainScenario:event_redash2_01_s_19,True,,L_300,L_30,1.0,,commander,commander,,,1,idle,,,3,no,,,5,idle,,7,idle,,,,
