id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_filter_01,fade,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
event_oldtales2_06_s_1,40062,event_oldtales2_06_s,Narration,Locale_MainScenario:event_oldtales2_06_s_1,False,SpaceElevator,black,black,1.0,event_bgm_oldtales_totheend,,,,,,,abe,3,worry,,,,,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_2,40062,event_oldtales2_06_s,Narration,Locale_MainScenario:event_oldtales2_06_s_2,False,,black,black,1.0,,,,,,,,,3,worry,,,,,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_3,40062,event_oldtales2_06_s,Narration,Locale_MainScenario:event_oldtales2_06_s_3,False,,5,3,1.0,,,,,,,,,3,worry,,,,,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_4,40062,event_oldtales2_06_s,Narration,Locale_MainScenario:event_oldtales2_06_s_4,False,,3,3,1.0,,,,,,,,,3,worry,,,,,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_5,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_5,True,NoCloudLand,3,31,1.0,,abe,abe,Grey,black,,,,3,worry,,oswald_o,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_6,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_6,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_7,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_7,True,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_8,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_8,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_9,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_9,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_10,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_10,False,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_11,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_11,True,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_12,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_12,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_13,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_13,True,,31,1,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_14,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_14,True,,1,L_10,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_15,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_15,True,,L_10,L_10,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_16,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_16,True,,L_10,L_10,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_17,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_17,True,,L_10,L_10,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_18,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_18,True,,L_10,L_10,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_19,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_19,True,,L_10,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_20,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_20,True,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_21,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_21,False,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_22,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_22,True,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_23,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_23,True,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_24,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_24,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_25,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_25,True,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_26,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_26,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_27,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_27,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_28,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_28,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_29,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_29,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_30,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_30,True,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_31,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_31,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_32,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_32,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_33,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_33,True,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_34,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_34,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_35,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_35,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_36,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_36,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_37,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_37,True,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_38,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_38,True,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_39,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_39,False,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_40,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_40,True,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_41,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_41,True,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_42,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_42,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_43,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_43,True,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_44,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_44,False,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_45,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_45,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_46,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_46,True,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_47,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_47,True,,31,31,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_48,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_48,True,,31,31,1.0,,oswald_o,oswald_o,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_49,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_49,False,,31,3,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_50,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_50,True,,3,30,1.0,,abe,abe,Grey,,,,,3,worry,,,1,idle,,,,,,,,,,,,,,,,,
event_oldtales2_06_s_51,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_51,False,SpaceElevator,black,black,1.0,,abe,abe,,,,,,3,worry,,,1,idle,oswald_o,cinderella,1,surprise,,littlemermaid,17,idle,,hansel,13,idle,,gretel,15,idle,
event_oldtales2_06_s_52,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_52,True,,30,31,1.0,,cinderella,cinderella,,,,,,3,worry,,,,,,,1,surprise,,,17,idle,,,13,idle,,,15,idle,
event_oldtales2_06_s_53,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_53,True,,31,31,1.0,,abe,abe,,,,,,3,worry,,,,,,,1,surprise,,,17,idle,,,13,idle,,,15,idle,
event_oldtales2_06_s_54,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_54,True,,31,31,1.0,,abe,abe,,,,,,3,worry,,,,,,,1,idle,,,17,idle,,,13,idle,,,15,idle,
event_oldtales2_06_s_55,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_55,True,,S_130,S_130,1.0,,hansel,hansel,,,,,,3,worry,,,,,,,1,idle,,,17,idle,,,13,idle,,,15,idle,
event_oldtales2_06_s_56,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_56,True,,S_130,S_150,1.0,,hansel,hansel,,,,,,3,worry,,,,,,,1,idle,,,17,idle,,,13,idle,,,15,idle,
event_oldtales2_06_s_57,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_57,True,,S_150,L_170,1.0,,littlemermaid,littlemermaid,,,,,,3,worry,,,,,,,1,idle,,,17,idle,,,13,idle,,,15,idle,
event_oldtales2_06_s_58,40062,event_oldtales2_06_s,Speech,Locale_MainScenario:event_oldtales2_06_s_58,True,,30,30,1.0,,abe,abe,,,,,,3,idle,,,,,,,1,idle,,,17,idle,,,13,void,,,15,void,
