id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,set_filter_01,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/5/hide_char_id,characters/4/hide_char_id,characters/6/hide_char_id,play_sound,set_camera_shake,fade
event_redash1_06_e_1,40031,event_redash1_06_e,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash1_06_e_1,True,liliweiss,17,think,snowwhite_o,1,sad,redhood,13,go,commander,15,idle,SpaceElevator,17,170,1.0,event_bgm_redash_ashsmoke,,,,,,,,,,,,,,,,,,,,
event_redash1_06_e_2,40031,event_redash1_06_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_06_e_2,True,,17,think,,1,sad,,13,go,,15,idle,,130,130,1.0,,,,,,,,,,,,,,,,,,,,,
event_redash1_06_e_3,40031,event_redash1_06_e,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash1_06_e_3,True,,17,idle,,1,sad,,13,go,,15,idle,,170,170,1.0,,,,,,,,,,,,,,,,,,,,,
event_redash1_06_e_4,40031,event_redash1_06_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_06_e_4,True,,17,idle,,1,sad,,13,idle,,15,idle,,130,130,1.0,,,,,,,,,,,,,,,,,,,,,
event_redash1_06_e_5,40031,event_redash1_06_e,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash1_06_e_5,True,,17,idle,,1,sad,,13,idle,,15,idle,,170,170,1.0,,,,,,,,,,,,,,,,,,,,,
event_redash1_06_e_6,40031,event_redash1_06_e,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash1_06_e_6,True,,17,idle,,1,sad,,13,idle,,15,idle,,170,1517,1.0,,,,,,,,,,,,,,,,,,,,,
event_redash1_06_e_7,40031,event_redash1_06_e,Speech,commander,commander,Locale_MainScenario:event_redash1_06_e_7,True,,17,idle,,1,sad,,13,idle,,15,idle,,1517,1517,1.0,,,,,,,,,,,,,,,,,,,,,
event_redash1_06_e_8,40031,event_redash1_06_e,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash1_06_e_8,True,,17,idle,,1,sad,,13,idle,,15,idle,,1517,1517,1.0,,,,,,,,,,,,,,,,,,,,,
event_redash1_06_e_9,40031,event_redash1_06_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_06_e_9,False,,17,idle,,1,sad,,13,think,,15,idle,,1517,13,1.0,,,,,,,,,,,,,,,,,,,,,
event_redash1_06_e_10,40031,event_redash1_06_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_06_e_10,True,,17,idle,,1,sad,,13,think,,15,idle,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,
event_redash1_06_e_11,40031,event_redash1_06_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_06_e_11,True,,17,idle,,1,sad,,13,think,,15,idle,,13,130,1.0,,,,,,,,,,,,,,,,,,,,,
event_redash1_06_e_12,40031,event_redash1_06_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash1_06_e_12,True,,17,idle,,1,sad,,13,think,,15,idle,,130,S_10,1.0,,,,,,,,,,,,,,,,,,,,,
event_redash1_06_e_13,40031,event_redash1_06_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_06_e_13,True,,17,idle,,1,sad,,13,idle,,15,idle,,S_10,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_redash1_06_e_14,40031,event_redash1_06_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_06_e_14,True,,17,idle,,1,sad,,13,go,,15,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_redash1_06_e_15,40031,event_redash1_06_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash1_06_e_15,True,,17,idle,,1,sad,,13,go,,15,idle,,113,113,1.0,,,,,,,,,,,,,,,,,,,,,
event_redash1_06_e_16,40031,event_redash1_06_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_06_e_16,True,,17,idle,,1,sad,,13,go,,15,idle,EventScene_redash_09_3,black,black,1.0,,liliweiss,snowwhite_o,redhood,commander,,,,,,,,,,,,,,,,
event_redash1_06_e_17,40031,event_redash1_06_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_06_e_17,True,,,,,,,,,,,,,,1,redcinderella_01,2.0,,,,,,Blur_High,,,,,,,,,,,,,,,
event_redash1_06_e_18,40031,event_redash1_06_e,Narration,,,Locale_MainScenario:event_redash1_06_e_18,False,,,,,,,,,,,,,,redcinderella_01,redcinderella_01,1.0,,,,,,Blur_High,,,,,,,,,,,,,,,
event_redash1_06_e_19,40031,event_redash1_06_e,Narration,,,Locale_MainScenario:event_redash1_06_e_19,False,,,,,,,,,,,,,,redcinderella_01,redcinderella_01,1.0,,,,,,Blur_High,,,,,,,,,,,,,,,
event_redash1_06_e_20,40031,event_redash1_06_e,Narration,,,Locale_MainScenario:event_redash1_06_e_20,False,,,,,,,,,,,,,,redcinderella_01,redcinderella_01,1.0,,,,,,Blur_High,,,,,,,,,,,,,,,
event_redash1_06_e_21,40031,event_redash1_06_e,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash1_06_e_21,False,,,,,,,,,,,,,,redcinderella_01,redcinderella_01,1.0,,,,,,Blur_High,,,,,,,,,,,,,,,
event_redash1_06_e_22,40031,event_redash1_06_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash1_06_e_22,True,,,,,,,,,,,,,,redcinderella_01,redcinderella_01,1.0,,,,,,Blur_High,,,,,,,,,,,,,,,
event_redash1_06_e_23,40031,event_redash1_06_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash1_06_e_23,True,,,,,,,,,,,,,,redcinderella_01,redcinderella_01,1.0,,,,,,Blur_High,,,,,,,,,,,,,,,
event_redash1_06_e_24,40031,event_redash1_06_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash1_06_e_24,True,,,,,,,,,,,,,,redcinderella_01,redcinderella_01,1.0,,,,,,Blur_High,,,,,,,,,,,,,,,
event_redash1_06_e_25,40031,event_redash1_06_e,Speech,rapunzel_o,rapunzel,Locale_MainScenario:event_redash1_06_e_25,True,,,,,,,,,,,,,,redcinderella_01,redcinderella_01,1.0,,,,,,Blur_High,,,,,,,,,,,,,,,
event_redash1_06_e_26,40031,event_redash1_06_e,Speech,rapunzel_o,rapunzel,Locale_MainScenario:event_redash1_06_e_26,True,,,,,,,,,,,,,,redcinderella_01,redcinderella_01,1.0,,,,,,Blur_High,,,,,,,,,,,,,,,
event_redash1_06_e_27,40031,event_redash1_06_e,Speech,rapunzel_o,rapunzel,Locale_MainScenario:event_redash1_06_e_27,True,,,,,,,,,,,,,,redcinderella_01,redcinderella_01,1.0,,,,,,Blur_High,,,,,,,,,,,,,,,
event_redash1_06_e_28,40031,event_redash1_06_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash1_06_e_28,True,,,,,,,,,,,,,,redcinderella_01,redcinderella_01,1.0,,,,,,Blur_High,,,,,,,,,,,,,,,
event_redash1_06_e_29,40031,event_redash1_06_e,Speech,redhood,redhood,Locale_MainScenario:event_redash1_06_e_29,True,,,,,,,,,,,,,,redcinderella_01,redcinderella_01,1.0,,,,,,Blur_High,,,,,,,,,,,,,,,
