id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_arcanearchive_02_e_1,40077,event_arcanearchive_02_e,Narration,arcana,Locale_SubScenario:event_arcanearchive_02_e_1,False,NikkeRoom,black,black,1.0,bgm_story_whosdumber,,,,phantom,2,no_02,,arcana,12,delight
event_arcanearchive_02_e_2,40077,event_arcanearchive_02_e,Monologue,arcana,Locale_SubScenario:event_arcanearchive_02_e_2,False,,black,black,1.0,,,,,,2,no_02,,,12,delight
event_arcanearchive_02_e_3,40077,event_arcanearchive_02_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_02_e_3,True,,L_1200,L_120,1.0,,arcana,,,,2,no_02,,,12,delight
event_arcanearchive_02_e_4,40077,event_arcanearchive_02_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_02_e_4,True,,L_120,L_120,1.0,,arcana,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_5,40077,event_arcanearchive_02_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_02_e_5,True,,L_120,L_120,1.0,,arcana,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_6,40077,event_arcanearchive_02_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_02_e_6,True,,L_120,L_120,1.0,,arcana,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_7,40077,event_arcanearchive_02_e,Self,arcana,Locale_SubScenario:event_arcanearchive_02_e_7,False,,L_120,L_20,1.3,,,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_8,40077,event_arcanearchive_02_e,Speech,phantom,Locale_SubScenario:event_arcanearchive_02_e_8,True,,L_20,L_20,1.0,,phantom,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_9,40077,event_arcanearchive_02_e,Self,phantom,Locale_SubScenario:event_arcanearchive_02_e_9,False,,L_20,L_20,1.0,,,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_10,40077,event_arcanearchive_02_e,Speech,phantom,Locale_SubScenario:event_arcanearchive_02_e_10,True,,L_20,L_20,1.0,,phantom,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_11,40077,event_arcanearchive_02_e,Self,phantom,Locale_SubScenario:event_arcanearchive_02_e_11,False,,L_20,L_20,1.0,,,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_12,40077,event_arcanearchive_02_e,Speech,phantom,Locale_SubScenario:event_arcanearchive_02_e_12,True,,L_20,L_20,1.0,,phantom,,,,2,sad_02,,,12,idle
event_arcanearchive_02_e_13,40077,event_arcanearchive_02_e,Speech,phantom,Locale_SubScenario:event_arcanearchive_02_e_13,True,,L_20,L_20,1.0,,phantom,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_14,40077,event_arcanearchive_02_e,Self,phantom,Locale_SubScenario:event_arcanearchive_02_e_14,False,,L_20,L_20,1.0,,,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_15,40077,event_arcanearchive_02_e,Speech,phantom,Locale_SubScenario:event_arcanearchive_02_e_15,True,,L_20,L_20,1.0,,phantom,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_16,40077,event_arcanearchive_02_e,Speech,phantom,Locale_SubScenario:event_arcanearchive_02_e_16,True,,L_20,L_200,1.3,,phantom,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_17,40077,event_arcanearchive_02_e,Self,phantom,Locale_SubScenario:event_arcanearchive_02_e_17,False,,L_200,L_200,1.0,,,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_18,40077,event_arcanearchive_02_e,Self,phantom,Locale_SubScenario:event_arcanearchive_02_e_18,False,,L_200,L_200,1.0,,,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_19,40077,event_arcanearchive_02_e,Narration,phantom,Locale_SubScenario:event_arcanearchive_02_e_19,False,,L_200,L_200,1.0,,,sfx_scn_phonenotification,,,2,no_02,,,12,idle
event_arcanearchive_02_e_20,40077,event_arcanearchive_02_e,Speech,phantom,Locale_SubScenario:event_arcanearchive_02_e_20,True,,L_200,L_20,1.3,,phantom,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_21,40077,event_arcanearchive_02_e,Self,phantom,Locale_SubScenario:event_arcanearchive_02_e_21,False,,L_20,L_20,1.0,,,,,,2,no_02,,,12,idle
event_arcanearchive_02_e_22,40077,event_arcanearchive_02_e,Monologue,phantom,Locale_SubScenario:event_arcanearchive_02_e_22,False,,L_20,L_20,1.0,,,,,,2,no_02,phantom,,12,idle
event_arcanearchive_02_e_23,40077,event_arcanearchive_02_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_02_e_23,True,,L_20,L_120,1.3,,arcana,,,,,,,,12,smile
event_arcanearchive_02_e_24,40077,event_arcanearchive_02_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_02_e_24,True,,L_120,L_120,1.0,,arcana,,,,,,,,12,smile
event_arcanearchive_02_e_25,40077,event_arcanearchive_02_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_02_e_25,True,,L_120,L_120,1.0,,arcana,,,,,,,,12,smile
event_arcanearchive_02_e_26,40077,event_arcanearchive_02_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_02_e_26,True,,L_120,L_120,1.0,,arcana,,,,,,,,12,delight
event_arcanearchive_02_e_27,40077,event_arcanearchive_02_e,Self,arcana,Locale_SubScenario:event_arcanearchive_02_e_27,False,,L_120,L_120,1.0,,,,,,,,,,12,delight
event_arcanearchive_02_e_28,40077,event_arcanearchive_02_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_02_e_28,True,,L_120,L_120,1.0,,arcana,,,,,,,,12,idle
event_arcanearchive_02_e_29,40077,event_arcanearchive_02_e,Self,arcana,Locale_SubScenario:event_arcanearchive_02_e_29,False,,L_120,L_120,1.0,,,,,,,,,,12,idle
event_arcanearchive_02_e_30,40077,event_arcanearchive_02_e,Monologue,arcana,Locale_SubScenario:event_arcanearchive_02_e_30,False,,L_120,L_120,1.0,,,,,,,,,,12,idle
event_arcanearchive_02_e_31,40077,event_arcanearchive_02_e,Self,arcana,Locale_SubScenario:event_arcanearchive_02_e_31,False,,L_120,L_120,1.0,,,,,,,,,,12,idle
