id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_goldenship_04_e_1,40023,event_goldenship_04_e,Speech,chime,helmetgirl,Locale_SubScenario:event_goldenship_04_e_1,True,RuinIndoor,XXS_30,XXS_30,1.0,bgm_inark,,mast,1,delight,chime,3,angry,,anchor,13,idle,frima_s,15,idle
event_goldenship_04_e_2,40023,event_goldenship_04_e,Speech,chime,helmetgirl,Locale_SubScenario:event_goldenship_04_e_2,True,,XXS_30,XXS_30,1.0,,,,1,delight,,3,angry,,,13,idle,,15,idle
event_goldenship_04_e_3,40023,event_goldenship_04_e,Speech,mast,mast,Locale_SubScenario:event_goldenship_04_e_3,True,,XXS_30,31,1.0,,,,1,delight,,3,angry,,,13,idle,,15,idle
event_goldenship_04_e_4,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_4,True,,31,31,1.0,,,,1,delight,,3,angry,,,13,idle,,15,idle
event_goldenship_04_e_5,40023,event_goldenship_04_e,Speech,mast,mast,Locale_SubScenario:event_goldenship_04_e_5,True,,31,31,1.0,,,,1,delight,,3,angry,,,13,idle,,15,idle
event_goldenship_04_e_6,40023,event_goldenship_04_e,Speech,mast,mast,Locale_SubScenario:event_goldenship_04_e_6,True,,31,31,1.0,,,,1,delight,,3,angry,,,13,idle,,15,idle
event_goldenship_04_e_7,40023,event_goldenship_04_e,Speech,mast,mast,Locale_SubScenario:event_goldenship_04_e_7,True,,31,31,1.0,,,,1,delight,,3,angry,,,13,idle,,15,idle
event_goldenship_04_e_8,40023,event_goldenship_04_e,Speech,frima_s,frima,Locale_SubScenario:event_goldenship_04_e_8,True,,31,1315,1.0,,,,1,delight,,3,angry,,,13,idle,,15,idle
event_goldenship_04_e_9,40023,event_goldenship_04_e,Speech,anchor,anchor,Locale_SubScenario:event_goldenship_04_e_9,True,,1315,1315,1.0,,,,1,delight,,3,angry,,,13,idle,,15,idle
event_goldenship_04_e_10,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_10,True,,1315,31,1.0,,,,1,delight,,3,angry,,,13,idle,,15,idle
event_goldenship_04_e_11,40023,event_goldenship_04_e,Speech,mast,mast,Locale_SubScenario:event_goldenship_04_e_11,True,,31,31,1.0,,,,1,idle2,,3,angry,,,13,idle,,15,idle
event_goldenship_04_e_12,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_12,True,,31,31,1.0,,,,1,idle2,,3,angry,,,13,idle,,15,idle
event_goldenship_04_e_13,40023,event_goldenship_04_e,Speech,mast,mast,Locale_SubScenario:event_goldenship_04_e_13,True,,31,31,1.0,,,,1,idle2,,3,angry,,,13,idle,,15,idle
event_goldenship_04_e_14,40023,event_goldenship_04_e,Speech,mast,mast,Locale_SubScenario:event_goldenship_04_e_14,True,,31,31,1.0,,,,1,idle2,,3,angry,,,13,idle,,15,idle
event_goldenship_04_e_15,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_15,True,,31,XXS_30,1.0,,,,1,idle2,,3,idle,,,13,idle,,15,idle
event_goldenship_04_e_16,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_16,True,,XXS_30,XXS_30,1.0,,,,1,idle2,,3,idle,,,13,idle,,15,idle
event_goldenship_04_e_17,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_17,True,,XXS_30,XXS_30,1.0,,,,1,idle2,,3,idle,,,13,idle,,15,idle
event_goldenship_04_e_18,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_18,True,,XXS_30,XXS_300,1.0,,,,1,idle2,,3,idle,,,13,idle,,15,idle
event_goldenship_04_e_19,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_19,True,,XXS_300,XXS_300,1.0,,,,1,idle2,,3,idle,,,13,idle,,15,idle
event_goldenship_04_e_20,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_20,True,,XXS_300,XXS_300,1.0,,,,1,idle2,,3,idle,,,13,idle,,15,idle
event_goldenship_04_e_21,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_21,True,,XXS_300,XXS_300,1.0,,,,1,idle2,,3,idle,,,13,idle,,15,idle
event_goldenship_04_e_22,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_22,True,,XXS_300,XXS_300,1.0,,,,1,idle2,,3,idle,,,13,idle,,15,idle
event_goldenship_04_e_23,40023,event_goldenship_04_e,Self,,,Locale_SubScenario:event_goldenship_04_e_23,False,,XXS_300,31,1.0,,,,1,idle2,,3,idle,,,13,idle,,15,idle
event_goldenship_04_e_24,40023,event_goldenship_04_e,Speech,mast,mast,Locale_SubScenario:event_goldenship_04_e_24,True,,31,31,1.0,,,,1,idle2,,3,idle,,,13,idle,,15,idle
event_goldenship_04_e_25,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_25,True,,31,31,1.0,,,,1,idle2,,3,idle,,,13,idle,,15,idle
event_goldenship_04_e_26,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_26,True,,31,31,1.0,,,,1,idle2,,3,idle,,,13,idle,,15,idle
event_goldenship_04_e_27,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_27,True,,31,XXS_30,1.0,,,,1,idle2,,3,idle,,,13,idle,,15,idle
event_goldenship_04_e_28,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_28,True,,XXS_30,XXS_30,1.0,,,,1,idle2,,3,sad,,,13,idle,,15,idle
event_goldenship_04_e_29,40023,event_goldenship_04_e,Monologue,,,Locale_SubScenario:event_goldenship_04_e_29,False,,XXS_30,XXS_30,1.0,,,,1,idle2,,3,sad,,,13,idle,,15,idle
event_goldenship_04_e_30,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_30,True,,XXS_30,XXS_30,1.0,,,,1,idle2,,3,idle,,,13,idle,,15,idle
event_goldenship_04_e_31,40023,event_goldenship_04_e,Speech,chime,chime,Locale_SubScenario:event_goldenship_04_e_31,True,,XXS_30,XXS_300,0.5,,,,1,idle2,,3,idle,,,13,idle,,15,idle
event_goldenship_04_e_32,40023,event_goldenship_04_e,Narration,,,Locale_SubScenario:event_goldenship_04_e_32,False,,black,black,1.0,,sfx_scn_chimebell02,,1,idle2,,3,idle,chime,,13,idle,,15,idle
event_goldenship_04_e_33,40023,event_goldenship_04_e,Speech,mast,mast,Locale_SubScenario:event_goldenship_04_e_33,False,,S_10,S_10,1.0,,,,1,idle2,,,,,,13,idle,,15,idle
event_goldenship_04_e_34,40023,event_goldenship_04_e,Self,,,Locale_SubScenario:event_goldenship_04_e_34,False,,S_10,S_10,1.0,,,,1,idle2,,,,,,13,idle,,15,idle
event_goldenship_04_e_35,40023,event_goldenship_04_e,Self,,,Locale_SubScenario:event_goldenship_04_e_35,False,,S_10,S_10,1.0,,,,1,idle2,,,,,,13,idle,,15,idle
