id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_freezeacpu_01_s_1,40030,event_freezeacpu_01_s,Monologue,Monologue,Locale_SubScenario:event_freezeacpu_01_s_1,False,CommanderRoom,12,12,1.0,none,,,,,,,,,,,,,,,
event_freezeacpu_01_s_2,40030,event_freezeacpu_01_s,Monologue,Monologue,Locale_SubScenario:event_freezeacpu_01_s_2,False,,12,12,1.0,,,,,,,,,,,,,,,,
event_freezeacpu_01_s_3,40030,event_freezeacpu_01_s,Monologue,Monologue,Locale_SubScenario:event_freezeacpu_01_s_3,False,,12,12,1.0,,,,,,,,,,,,,,,,
event_freezeacpu_01_s_4,40030,event_freezeacpu_01_s,Narration,Narration,Locale_SubScenario:event_freezeacpu_01_s_4,False,,12,12,1.0,,sfx_scn_autodooropen,,,,,,,,,,,,,,
event_freezeacpu_01_s_5,40030,event_freezeacpu_01_s,Speech,anis,Locale_SubScenario:event_freezeacpu_01_s_5,True,,12,120,0.5,bgm_story_herecomestrouble,,anis,anis,12,idle,neon,14,idle,,,,,,,
event_freezeacpu_01_s_6,40030,event_freezeacpu_01_s,Speech,anis,Locale_SubScenario:event_freezeacpu_01_s_6,True,,120,120,1.0,,,anis,,12,idle,,14,idle,,,,,,,
event_freezeacpu_01_s_7,40030,event_freezeacpu_01_s,Choice,,Locale_SubScenario:event_freezeacpu_01_s_7,False,,120,120,1.0,,,,,12,idle,,14,idle,event_freezeacpu_01_s_9,,,,,,
event_freezeacpu_01_s_8,40030,event_freezeacpu_01_s,Choice,,Locale_SubScenario:event_freezeacpu_01_s_8,False,,120,120,1.0,,,,,12,idle,,14,idle,event_freezeacpu_01_s_10,,,,,,
event_freezeacpu_01_s_9,40030,event_freezeacpu_01_s,Speech,anis,Locale_SubScenario:event_freezeacpu_01_s_9,True,,120,120,1.0,,,anis,,12,delight,,14,idle,event_freezeacpu_01_s_12,,,,,,
event_freezeacpu_01_s_10,40030,event_freezeacpu_01_s,Speech,anis,Locale_SubScenario:event_freezeacpu_01_s_10,True,,120,120,1.0,,,anis,,12,void,,14,idle,,,,,,,
event_freezeacpu_01_s_11,40030,event_freezeacpu_01_s,Speech,anis,Locale_SubScenario:event_freezeacpu_01_s_11,True,,120,120,1.0,,,anis,,12,void,,14,idle,,,,,,,
event_freezeacpu_01_s_12,40030,event_freezeacpu_01_s,Speech,neon,Locale_SubScenario:event_freezeacpu_01_s_12,True,,120,S_140,1.0,,,neon,,12,idle,,14,idle,,,,,,,
event_freezeacpu_01_s_13,40030,event_freezeacpu_01_s,Speech,neon,Locale_SubScenario:event_freezeacpu_01_s_13,True,,S_140,S_140,1.0,,,neon,,12,idle,,14,no,,,,,,,
event_freezeacpu_01_s_14,40030,event_freezeacpu_01_s,Speech,anis,Locale_SubScenario:event_freezeacpu_01_s_14,True,,S_140,120,1.0,,,anis,,12,delight,,14,no,,,,,,,
event_freezeacpu_01_s_15,40030,event_freezeacpu_01_s,Speech,anis,Locale_SubScenario:event_freezeacpu_01_s_15,True,,120,120,1.0,,,anis,,12,delight,,14,no,,,,,,,
event_freezeacpu_01_s_16,40030,event_freezeacpu_01_s,Speech,anis,Locale_SubScenario:event_freezeacpu_01_s_16,True,,120,120,1.0,,,anis,,12,delight,,14,no,,,,,,,
event_freezeacpu_01_s_17,40030,event_freezeacpu_01_s,Speech,neon,Locale_SubScenario:event_freezeacpu_01_s_17,False,,120,S_140,1.0,,,neon,,12,delight,,14,surprise,,,,,,,
event_freezeacpu_01_s_18,40030,event_freezeacpu_01_s,Speech,neon,Locale_SubScenario:event_freezeacpu_01_s_18,True,,S_140,S_140,1.0,,,neon,,12,delight,,14,surprise,,,,,,,
event_freezeacpu_01_s_19,40030,event_freezeacpu_01_s,Self,Self,Locale_SubScenario:event_freezeacpu_01_s_19,False,,S_140,S_140,1.0,,,,,12,delight,,14,surprise,,,,,,,
event_freezeacpu_01_s_20,40030,event_freezeacpu_01_s,Speech,neon,Locale_SubScenario:event_freezeacpu_01_s_20,True,,S_140,S_140,1.0,,,neon,,12,delight,,14,angry,,,,,,,
event_freezeacpu_01_s_21,40030,event_freezeacpu_01_s,Speech,neon,Locale_SubScenario:event_freezeacpu_01_s_21,True,,S_140,S_140,1.0,,,neon,,12,delight,,14,angry,,,,,,,
event_freezeacpu_01_s_22,40030,event_freezeacpu_01_s,Speech,anis,Locale_SubScenario:event_freezeacpu_01_s_22,True,,S_140,120,0.5,,,anis,,12,angry,,14,angry,,,,,,,
event_freezeacpu_01_s_23,40030,event_freezeacpu_01_s,Self,Self,Locale_SubScenario:event_freezeacpu_01_s_23,False,,120,120,1.0,,,,,12,angry,,14,idle,,,,,,,
event_freezeacpu_01_s_24,40030,event_freezeacpu_01_s,Speech,anis,Locale_SubScenario:event_freezeacpu_01_s_24,True,,120,120,1.0,,,anis,,12,void,,14,idle,,,,,,,
event_freezeacpu_01_s_25,40030,event_freezeacpu_01_s,Speech,anis,Locale_SubScenario:event_freezeacpu_01_s_25,True,,120,120,1.0,,,anis,,12,void,,14,idle,,,,,,,
event_freezeacpu_01_s_26,40030,event_freezeacpu_01_s,Speech,anis,Locale_SubScenario:event_freezeacpu_01_s_26,True,,120,120,1.0,,,anis,,12,idle,,14,idle,,,,,,,
event_freezeacpu_01_s_27,40030,event_freezeacpu_01_s,Narration,Narration,Locale_SubScenario:event_freezeacpu_01_s_27,False,,120,20,1.0,none,sfx_scn_autodooropen,,,12,idle,,14,idle,,,,,,,
