id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_neverland2_03_e_1,40035,event_neverland2_03_e,Monologue,Locale_MainScenario:event_neverland2_03_e_1,False,IceLand_n,black,black,1.0,none,,,,mica_w,1,no,ludmilla_w,3,think,blanc_c,13,think,noir_c,15,idle
event_neverland2_03_e_2,40035,event_neverland2_03_e,Narration,Locale_MainScenario:event_neverland2_03_e_2,False,,90,70,1.0,,sfx_scn_emptywind,,,,1,no,,3,think,,13,think,,15,idle
event_neverland2_03_e_3,40035,event_neverland2_03_e,Monologue,Locale_MainScenario:event_neverland2_03_e_3,False,,70,70,1.0,,,,,,1,no,,3,think,,13,think,,15,idle
event_neverland2_03_e_4,40035,event_neverland2_03_e,Speech,Locale_MainScenario:event_neverland2_03_e_4,True,,70,30,2.0,bgm_story_fairytalesend_if,,ludmilla_w,ludmilla_w,,1,no,,3,think,,13,think,,15,idle
event_neverland2_03_e_5,40035,event_neverland2_03_e,Speech,Locale_MainScenario:event_neverland2_03_e_5,True,,L_130,L_130,1.0,,,blanc_c,blanc_c,,1,no,,3,think,,13,think,,15,idle
event_neverland2_03_e_6,40035,event_neverland2_03_e,Speech,Locale_MainScenario:event_neverland2_03_e_6,True,,30,30,1.0,,,ludmilla_w,ludmilla_w,,1,no,,3,think,,13,think,,15,idle
event_neverland2_03_e_7,40035,event_neverland2_03_e,Speech,Locale_MainScenario:event_neverland2_03_e_7,True,,30,30,1.0,,,ludmilla_w,ludmilla_w,,1,no,,3,think,,13,think,,15,idle
event_neverland2_03_e_8,40035,event_neverland2_03_e,Speech,Locale_MainScenario:event_neverland2_03_e_8,True,,30,30,1.0,,,ludmilla_w,ludmilla_w,,1,no,,3,think,,13,idle,,15,idle
event_neverland2_03_e_9,40035,event_neverland2_03_e,Speech,Locale_MainScenario:event_neverland2_03_e_9,True,,30,S_10,1.0,,,mica_w,mica_w,,1,no,,3,think,,13,idle,,15,idle
event_neverland2_03_e_10,40035,event_neverland2_03_e,Speech,Locale_MainScenario:event_neverland2_03_e_10,True,,S_10,S_10,1.0,,,mica_w,mica_w,,1,no,,3,think,,13,idle,,15,idle
event_neverland2_03_e_11,40035,event_neverland2_03_e,Monologue,Locale_MainScenario:event_neverland2_03_e_11,False,,S_10,S_10,1.0,,,,,,1,no,,3,think,,13,idle,,15,idle
event_neverland2_03_e_12,40035,event_neverland2_03_e,Speech,Locale_MainScenario:event_neverland2_03_e_12,True,,S_10,S_100,1.0,,,mica_w,mica_w,,1,no,,3,think,,13,idle,,15,idle
event_neverland2_03_e_13,40035,event_neverland2_03_e,Speech,Locale_MainScenario:event_neverland2_03_e_13,False,,S_100,300,1.0,,,ludmilla_w,ludmilla_w,,1,no,,3,think,,13,idle,,15,idle
event_neverland2_03_e_14,40035,event_neverland2_03_e,Speech,Locale_MainScenario:event_neverland2_03_e_14,True,,300,300,1.0,,,ludmilla_w,ludmilla_w,,1,no,,3,think,,13,idle,,15,idle
