id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_dirtybackyard_06_s_1,40038,event_dirtybackyard_06_s,Narration,Locale_SubScenario:event_dirtybackyard_06_s_1,False,RuinIndoor,black,black,1.0,sfx_scn_naturalfootstep,none,,,,,,,,,,,,,
event_dirtybackyard_06_s_2,40038,event_dirtybackyard_06_s,Narration,Locale_SubScenario:event_dirtybackyard_06_s_2,False,,black,black,1.0,,,,,,,,,,,,,,,
event_dirtybackyard_06_s_3,40038,event_dirtybackyard_06_s,Narration,Locale_SubScenario:event_dirtybackyard_06_s_3,False,,black,black,1.0,sfx_scn_naturalfootstep,,,,,,,,,,,,,,
event_dirtybackyard_06_s_4,40038,event_dirtybackyard_06_s,Narration,Locale_SubScenario:event_dirtybackyard_06_s_4,False,,black,black,1.0,,,backyard_event,1,idle,,,,,,,,,,
event_dirtybackyard_06_s_5,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_5,False,,backyard_01,backyard_01,1.0,,bgm_volcanicnest_a,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_6,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_6,True,,backyard_01,backyard_01,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_7,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_7,True,,backyard_01,backyard_01,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_8,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_8,True,,backyard_01,backyard_01,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_9,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_9,True,,backyard_01,backyard_01,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_10,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_10,True,,backyard_01,backyard_01,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_11,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_11,True,,backyard_01,backyard_01,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_12,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_12,True,,backyard_01,backyard_01,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_13,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_13,True,,backyard_01,backyard_01,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_14,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_14,True,,backyard_01,backyard_01,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_15,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_15,True,,backyard_01,backyard_01,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_16,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_16,True,,backyard_01,backyard_02,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_17,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_17,True,,backyard_02,backyard_02,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_18,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_18,True,,backyard_02,backyard_02,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_19,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_19,True,,backyard_02,backyard_02,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_20,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_20,True,,backyard_02,backyard_02,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_21,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_21,True,,backyard_02,backyard_02,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_22,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_22,True,,backyard_02,backyard_02,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_23,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_23,True,,backyard_02,backyard_03,1.0,,,,1,idle,peonian,peonian,,,,,,,,
event_dirtybackyard_06_s_24,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_24,False,,backyard_03,backyard_03,1.0,,,,1,idle,moran,moran,,,,,,,,
event_dirtybackyard_06_s_25,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_25,True,,black,black,1.0,,,,1,idle,moran,moran,backyard_event,moran,9,think,,,,
event_dirtybackyard_06_s_26,40038,event_dirtybackyard_06_s,Narration,Locale_SubScenario:event_dirtybackyard_06_s_26,False,,9,90,0.5,sfx_scn_redfarfire,none,,,,,,,,9,think,Low_2,,,
event_dirtybackyard_06_s_27,40038,event_dirtybackyard_06_s,Narration,Locale_SubScenario:event_dirtybackyard_06_s_27,False,,90,90,1.0,,,,,,,,,,9,think,Low_2,,,
event_dirtybackyard_06_s_28,40038,event_dirtybackyard_06_s,Narration,Locale_SubScenario:event_dirtybackyard_06_s_28,False,,90,3,1.0,,bgm_intotheswarm_a,,,,,,,,3,think,,,,
event_dirtybackyard_06_s_29,40038,event_dirtybackyard_06_s,Narration,Locale_SubScenario:event_dirtybackyard_06_s_29,False,,3,3,1.0,,,,,,,,,,3,think,,,,
event_dirtybackyard_06_s_30,40038,event_dirtybackyard_06_s,Narration,Locale_SubScenario:event_dirtybackyard_06_s_30,False,,black,black,1.0,sfx_scn_3shotgun,,,,,,,,,3,think,Low_2,sugar_g,1,idle
event_dirtybackyard_06_s_31,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_31,True,,2,2,1.0,,,,,,moran,moran,,,3,think,,,1,idle
event_dirtybackyard_06_s_32,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_32,True,,2,2,1.0,,,,,,moran,moran,,,3,think,,,1,idle
event_dirtybackyard_06_s_33,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_33,True,,2,2,1.0,,,,,,sugar_g,sugar_g,,,3,think,,,1,idle
event_dirtybackyard_06_s_34,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_34,True,,2,S_10,1.0,,,,,,sugar_g,sugar_g,,,3,think,,,1,angry
event_dirtybackyard_06_s_35,40038,event_dirtybackyard_06_s,Speech,Locale_SubScenario:event_dirtybackyard_06_s_35,True,,S_10,S_10,1.0,,,,,,sugar_g,sugar_g,,,3,think,,,1,angry
