id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,speaker,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_ce006_3_01_s_1,40080,event_ce006_3_01_s,Narration,bunkerchild,Locale_MainScenario:event_ce006_3_01_s_1,False,com,1,idle,bunkerofartist,black,black,1.0,sfx_scn_memorynoise,none,Grey,,,,,
event_ce006_3_01_s_2,40080,event_ce006_3_01_s,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_01_s_2,True,,1,idle,,1,1,1.0,,collab_bgm_sb_warmthofthecity,Grey,bunkerchild,,,,
event_ce006_3_01_s_3,40080,event_ce006_3_01_s,Speech,middlehermin,Locale_MainScenario:event_ce006_3_01_s_3,True,,1,idle,,1,1,1.0,,,Grey,middlehermin,,,,
event_ce006_3_01_s_4,40080,event_ce006_3_01_s,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_01_s_4,True,,1,idle,,1,1,1.0,,,Grey,bunkerchild,,,,
event_ce006_3_01_s_5,40080,event_ce006_3_01_s,Speech,middlehermin,Locale_MainScenario:event_ce006_3_01_s_5,True,,1,idle,,1,1,1.0,,,Grey,middlehermin,,,,
event_ce006_3_01_s_6,40080,event_ce006_3_01_s,Speech,middlehermin,Locale_MainScenario:event_ce006_3_01_s_6,False,,1,idle,,1,1,1.0,,,Grey,middlehermin,,,,
event_ce006_3_01_s_7,40080,event_ce006_3_01_s,Speech,middlehermin,Locale_MainScenario:event_ce006_3_01_s_7,True,,1,idle,,1,1,1.0,,,Grey,middlehermin,,,,
event_ce006_3_01_s_8,40080,event_ce006_3_01_s,Speech,middlehermin,Locale_MainScenario:event_ce006_3_01_s_8,True,,1,idle,,1,1,1.0,,,Grey,middlehermin,,,,
event_ce006_3_01_s_9,40080,event_ce006_3_01_s,Speech,com,Locale_MainScenario:event_ce006_3_01_s_9,True,,1,idle,,1,1,1.0,,,Grey,com,,,,
event_ce006_3_01_s_10,40080,event_ce006_3_01_s,Speech,com,Locale_MainScenario:event_ce006_3_01_s_10,True,,1,idle,,1,1,1.0,,,Grey,com,,,,
event_ce006_3_01_s_11,40080,event_ce006_3_01_s,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_01_s_11,True,,1,idle,,1,1,1.0,,,Grey,bunkerchild,,,,
event_ce006_3_01_s_12,40080,event_ce006_3_01_s,Speech,com,Locale_MainScenario:event_ce006_3_01_s_12,True,,1,idle,,1,1,1.0,,,Grey,com,,,,
event_ce006_3_01_s_13,40080,event_ce006_3_01_s,Speech,bunkerchild,Locale_MainScenario:event_ce006_3_01_s_13,True,,1,idle,,1,1,1.0,,,Grey,bunkerchild,,,,
