id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,highlight,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade
event_ltk_05_e_1,40012,event_ltk_05_e,Monologue,Monologue,Locale_SubScenario:event_ltk_05_e_1,False,City_d,9,5,2.0,bgm_risk,,,,,,,,,,,,,,,
event_ltk_05_e_2,40012,event_ltk_05_e,Monologue,Monologue,Locale_SubScenario:event_ltk_05_e_2,False,,5,5,1.0,,owner,5,idle,,,,,,,,,,,,
event_ltk_05_e_3,40012,event_ltk_05_e,Monologue,Monologue,Locale_SubScenario:event_ltk_05_e_3,False,,5,5,1.0,,,5,idle,,,,,,,,,,,,
event_ltk_05_e_4,40012,event_ltk_05_e,Speech,owner,Locale_SubScenario:event_ltk_05_e_4,True,,5,5,1.0,,,5,idle,owner,,,,,,,,,,,
event_ltk_05_e_5,40012,event_ltk_05_e,Speech,owner,Locale_SubScenario:event_ltk_05_e_5,True,,5,5,1.0,,,5,idle,owner,,,,,,,,,,,
event_ltk_05_e_6,40012,event_ltk_05_e,Speech,owner,Locale_SubScenario:event_ltk_05_e_6,True,,5,5,1.0,,,5,idle,owner,,,,,,,,,,,
event_ltk_05_e_7,40012,event_ltk_05_e,Speech,owner,Locale_SubScenario:event_ltk_05_e_7,True,,5,5,1.0,,,5,idle,owner,,,,,,,,,,,
event_ltk_05_e_8,40012,event_ltk_05_e,Speech,owner,Locale_SubScenario:event_ltk_05_e_8,True,,5,5,1.0,,,5,idle,owner,,,,,,,,,,,
event_ltk_05_e_9,40012,event_ltk_05_e,Speech,owner,Locale_SubScenario:event_ltk_05_e_9,True,,5,5,1.0,,,5,idle,owner,,,,,,,,,,,
event_ltk_05_e_10,40012,event_ltk_05_e,Speech,owner,Locale_SubScenario:event_ltk_05_e_10,True,,5,5,1.0,,,5,idle,owner,,,,,,,,,,,
event_ltk_05_e_11,40012,event_ltk_05_e,Speech,owner,Locale_SubScenario:event_ltk_05_e_11,True,,5,L_50,1.0,,,5,idle,owner,,,,,,,,,,,
event_ltk_05_e_12,40012,event_ltk_05_e,Speech,owner,Locale_SubScenario:event_ltk_05_e_12,True,,L_50,L_50,1.0,,,5,idle,owner,,,,,,,,,,,
event_ltk_05_e_13,40012,event_ltk_05_e,Speech,owner,Locale_SubScenario:event_ltk_05_e_13,True,,L_50,L_50,1.0,,,5,idle,owner,,,,,,,,,,,
event_ltk_05_e_14,40012,event_ltk_05_e,Speech,owner,Locale_SubScenario:event_ltk_05_e_14,True,,L_50,L_50,1.0,,,5,idle,owner,,,,,,,,,,,
event_ltk_05_e_15,40012,event_ltk_05_e,Monologue,Monologue,Locale_SubScenario:event_ltk_05_e_15,False,sfx_scn_crowdclap,L_50,5,1.0,,,5,idle,,sfx_scn_crowdcheer,,,,,,,,,,
event_ltk_05_e_16,40012,event_ltk_05_e,Speech,k,Locale_SubScenario:event_ltk_05_e_16,True,,5,1,1.0,,,5,idle,k,,d,2,idle,k,12,delight,,,,
event_ltk_05_e_17,40012,event_ltk_05_e,Monologue,Monologue,Locale_SubScenario:event_ltk_05_e_17,False,,1,1,1.0,,,5,idle,,,,2,idle,,12,delight,,,,
event_ltk_05_e_18,40012,event_ltk_05_e,Monologue,Monologue,Locale_SubScenario:event_ltk_05_e_18,False,,1,1,1.0,,,5,idle,,,,2,idle,,12,delight,,,,
event_ltk_05_e_19,40012,event_ltk_05_e,Narration,Narration,Locale_SubScenario:event_ltk_05_e_19,False,,black,black,1.0,,,5,idle,,,,2,idle,,12,idle,,,,
