id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_icedragonsaga1_03_s_1,40064,event_icedragonsaga1_03_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_03_s_1,True,SnowTown_d,1,1,1.0,bgm_story_darklord,,,,guillotine_w_no,1,think,,,,,
event_icedragonsaga1_03_s_2,40064,event_icedragonsaga1_03_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_03_s_2,True,,1,XS_10,0.7,,sfx_scn_spellsummon,,,,1,angry,,,,,
event_icedragonsaga1_03_s_3,40064,event_icedragonsaga1_03_s,Narration,guillotine_w_no,,Locale_MainScenario:event_icedragonsaga1_03_s_3,False,,XS_10,XS_10,1.0,,sfx_scn_retromessage,,,,1,angry,,,,,
event_icedragonsaga1_03_s_4,40064,event_icedragonsaga1_03_s,Narration,guillotine_w_no,,Locale_MainScenario:event_icedragonsaga1_03_s_4,False,,XS_10,XS_10,1.0,,sfx_scn_retromessage,,,,1,angry,,,,,
event_icedragonsaga1_03_s_5,40064,event_icedragonsaga1_03_s,Narration,guillotine_w_no,,Locale_MainScenario:event_icedragonsaga1_03_s_5,False,,XS_10,XS_10,1.0,,sfx_scn_spellteleport,Low_2,,,1,angry,,,,,
event_icedragonsaga1_03_s_6,40064,event_icedragonsaga1_03_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_03_s_6,True,,XS_10,XS_10,1.0,,,,white,,1,delight,,,,,
event_icedragonsaga1_03_s_7,40064,event_icedragonsaga1_03_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_03_s_7,True,,XS_10,XS_10,1.0,,,,,,1,delight,,,,,
event_icedragonsaga1_03_s_8,40064,event_icedragonsaga1_03_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_03_s_8,True,,XS_10,XS_10,1.0,,,,,,1,delight,,,,,
event_icedragonsaga1_03_s_9,40064,event_icedragonsaga1_03_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_03_s_9,False,,XS_10,XS_100,1.0,,,,,,1,delight,,,,,
event_icedragonsaga1_03_s_10,40064,event_icedragonsaga1_03_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_03_s_10,True,,XS_100,XS_100,1.0,,,,,,1,delight,,,,,
event_icedragonsaga1_03_s_11,40064,event_icedragonsaga1_03_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_03_s_11,True,,XS_100,XS_100,1.0,,,,,,1,delight,,,,,
event_icedragonsaga1_03_s_12,40064,event_icedragonsaga1_03_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_03_s_12,True,,XS_100,1,1.5,,,,,,1,shy,,,,,
event_icedragonsaga1_03_s_13,40064,event_icedragonsaga1_03_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_03_s_13,True,,1,1,1.0,,,,,,1,shy,,,,,
event_icedragonsaga1_03_s_14,40064,event_icedragonsaga1_03_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_03_s_14,False,,1,XS_10,1.0,none,,,,,1,surprise,,,,,
event_icedragonsaga1_03_s_15,40064,event_icedragonsaga1_03_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_03_s_15,True,,XS_10,XS_10,1.0,,,,,,1,delight,,,,,
event_icedragonsaga1_03_s_16,40064,event_icedragonsaga1_03_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_03_s_16,True,,XS_10,XS_10,1.0,,,,,,1,delight,,,,,
event_icedragonsaga1_03_s_17,40064,event_icedragonsaga1_03_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_03_s_17,True,EventScene_icedragonsaga_03,black,black,1.0,,,,,,1,delight,guillotine_w_no,,,,
event_icedragonsaga1_03_s_18,40064,event_icedragonsaga1_03_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_03_s_18,True,,EventScene_icedragonsaga_03,EventScene_icedragonsaga_03,1.0,bgm_story_boogiebox,,,,,,,,,,,
event_icedragonsaga1_03_s_19,40064,event_icedragonsaga1_03_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_03_s_19,True,,EventScene_icedragonsaga_03,EventScene_icedragonsaga_03,1.0,,,,,,,,,,,,
event_icedragonsaga1_03_s_20,40064,event_icedragonsaga1_03_s,Speech,guillotine_w_no,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_03_s_20,True,,EventScene_icedragonsaga_03,EventScene_icedragonsaga_03,1.0,,,,,,,,,,,,
event_icedragonsaga1_03_s_21,40064,event_icedragonsaga1_03_s,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga1_03_s_21,True,,EventScene_icedragonsaga_03,EventScene_icedragonsaga_03,1.0,,,,,,,,,,,,
