id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,play_sound,fade,set_camera_shake,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_perfectmaid_03_e_1,40039,event_perfectmaid_03_e,Narration,Locale_SubScenario:event_perfectmaid_03_e_1,False,MaidCafe,2,2,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_2,40039,event_perfectmaid_03_e,Speech,Locale_SubScenario:event_perfectmaid_03_e_2,False,,2,2,1.0,,cocoa,cocoa,privaty_m,1,idle,drake_m,13,idle,cocoa,3,idle,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_3,40039,event_perfectmaid_03_e,Speech,Locale_SubScenario:event_perfectmaid_03_e_3,False,,2,2,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,3,idle,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_4,40039,event_perfectmaid_03_e,Speech,Locale_SubScenario:event_perfectmaid_03_e_4,False,,2,12,1.0,,drake_m,drake_m,,1,idle,,13,idle,,3,idle,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_5,40039,event_perfectmaid_03_e,Self,Locale_SubScenario:event_perfectmaid_03_e_5,False,,12,12,1.0,,drake_m,,,1,idle,,13,idle,,3,idle,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_6,40039,event_perfectmaid_03_e,Speech,Locale_SubScenario:event_perfectmaid_03_e_6,True,,12,130,0.6,,drake_m,drake_m,,1,idle,,13,delight,,3,idle,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_7,40039,event_perfectmaid_03_e,Choice,Locale_SubScenario:event_perfectmaid_03_e_7,False,,130,130,1.0,,drake_m,,,1,idle,,13,delight,,3,idle,event_perfectmaid_03_e_9,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_8,40039,event_perfectmaid_03_e,Choice,Locale_SubScenario:event_perfectmaid_03_e_8,False,,130,130,1.0,,drake_m,,,1,idle,,13,delight,,3,idle,event_perfectmaid_03_e_10,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_9,40039,event_perfectmaid_03_e,Speech,Locale_SubScenario:event_perfectmaid_03_e_9,True,,130,13,0.6,,drake_m,drake_m,,1,idle,,13,idle,,3,idle,event_perfectmaid_03_e_11,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_10,40039,event_perfectmaid_03_e,Speech,Locale_SubScenario:event_perfectmaid_03_e_10,True,,130,13,0.6,,drake_m,drake_m,,1,idle,,13,idle,,3,idle,event_perfectmaid_03_e_11,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_11,40039,event_perfectmaid_03_e,Speech,Locale_SubScenario:event_perfectmaid_03_e_11,True,,13,2,1.0,,privaty_m,privaty_m,,1,sad,,13,idle,,3,idle,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_12,40039,event_perfectmaid_03_e,Self,Locale_SubScenario:event_perfectmaid_03_e_12,False,,2,2,1.0,,privaty_m,,,1,sad,,13,idle,,3,idle,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_13,40039,event_perfectmaid_03_e,Speech,Locale_SubScenario:event_perfectmaid_03_e_13,True,,2,2,1.0,,cocoa,cocoa,,1,sad,,13,idle,,3,idle,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_14,40039,event_perfectmaid_03_e,Speech,Locale_SubScenario:event_perfectmaid_03_e_14,True,,2,2,1.0,,cocoa,cocoa,,1,sad,,13,idle,,3,idle,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_15,40039,event_perfectmaid_03_e,Self,Locale_SubScenario:event_perfectmaid_03_e_15,False,,2,2,1.0,,cocoa,,,1,sad,,13,idle,,3,idle,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_16,40039,event_perfectmaid_03_e,Speech,Locale_SubScenario:event_perfectmaid_03_e_16,True,,2,2,1.0,,cocoa,cocoa,,1,sad,,13,idle,,3,idle,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_17,40039,event_perfectmaid_03_e,Self,Locale_SubScenario:event_perfectmaid_03_e_17,False,,2,2,1.0,,cocoa,,,1,sad,,13,idle,,3,idle,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_18,40039,event_perfectmaid_03_e,Speech,Locale_SubScenario:event_perfectmaid_03_e_18,True,,2,XS_30,1.0,,cocoa,cocoa,,1,sad,,13,idle,,3,sad,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_19,40039,event_perfectmaid_03_e,Self,Locale_SubScenario:event_perfectmaid_03_e_19,False,,XS_30,XS_30,1.0,,cocoa,,,1,sad,,13,idle,,3,sad,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_20,40039,event_perfectmaid_03_e,Speech,Locale_SubScenario:event_perfectmaid_03_e_20,True,,XS_30,XS_30,1.0,,cocoa,cocoa,,1,sad,,13,idle,,3,sad,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_21,40039,event_perfectmaid_03_e,Self,Locale_SubScenario:event_perfectmaid_03_e_21,False,,XS_30,XS_30,1.0,,cocoa,,,1,idle,,13,idle,,3,sad,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_22,40039,event_perfectmaid_03_e,Speech,Locale_SubScenario:event_perfectmaid_03_e_22,True,,XS_30,XS_30,1.0,,cocoa,cocoa,,1,idle,,13,idle,,3,serious,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_23,40039,event_perfectmaid_03_e,Speech,Locale_SubScenario:event_perfectmaid_03_e_23,True,,XS_30,XS_30,1.0,,cocoa,cocoa,,1,idle,,13,idle,,3,serious,,,,,,,,,,,,,,,,,,,,,
event_perfectmaid_03_e_24,40039,event_perfectmaid_03_e,Speech,Locale_SubScenario:event_perfectmaid_03_e_24,True,,XS_30,XS_300,1.0,,cocoa,cocoa,,1,idle,,13,idle,,3,serious,,,,,,,,,,,,,,,,,,,,,
