id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,highlight,speaker,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
event_romanticvalentine_04_e_1,40069,event_romanticvalentine_04_e,Monologue,Locale_SubScenario:event_romanticvalentine_04_e_1,False,CommanderRoom,black,black,1.0,none,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_04_e_2,40069,event_romanticvalentine_04_e,Monologue,Locale_SubScenario:event_romanticvalentine_04_e_2,False,,black,black,1.0,,mast_m,1,idle,sin_m,3,idle,anchor_m,13,idle,trony_m,5,special,,,,,,,,,,,
event_romanticvalentine_04_e_3,40069,event_romanticvalentine_04_e,Monologue,Locale_SubScenario:event_romanticvalentine_04_e_3,False,,black,black,1.0,,,1,idle,,3,idle,,13,idle,,5,special,,,,,,,,,,,
event_romanticvalentine_04_e_4,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_4,True,,S_10,S_100,2.0,bgm_story_shapeofhope,,1,shy3,,3,idle,,13,idle,,5,special,mast_m,mast_m,,,,,,,,,
event_romanticvalentine_04_e_5,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_5,True,,S_100,S_100,1.0,,,1,shy3,,3,idle,,13,idle,,5,special,mast_m,mast_m,,,,,,,,,
event_romanticvalentine_04_e_6,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_6,True,,S_100,S_100,1.0,,,1,shy3,,3,idle,,13,idle,,5,special,mast_m,mast_m,,,,,,,,,
event_romanticvalentine_04_e_7,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_7,True,,S_100,S_100,1.0,,,1,shy3,,3,idle,,13,idle,,5,special,mast_m,mast_m,,,,,,,,,
event_romanticvalentine_04_e_8,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_8,True,,S_100,XS_130,1.0,,,1,shy3,,3,idle,,13,angry,,5,special,anchor_m,anchor_m,,,,,,,,,
event_romanticvalentine_04_e_9,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_9,True,,XS_130,XS_130,1.0,,,1,shy3,,3,idle,,13,angry,,5,special,anchor_m,anchor_m,,,,,,,,,
event_romanticvalentine_04_e_10,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_10,True,,30,300,2.0,,,1,shy3,,3,delight,,13,angry,,5,special,sin_m,sin_m,,,,,,,,,
event_romanticvalentine_04_e_11,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_11,True,,300,300,1.0,,,1,shy3,,3,delight,,13,angry,,5,special,sin_m,sin_m,,,,,,,,,
event_romanticvalentine_04_e_12,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_12,True,,300,300,1.0,,,1,shy3,,3,delight,,13,angry,,5,special,sin_m,sin_m,,,,,,,,,
event_romanticvalentine_04_e_13,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_13,True,,300,300,1.0,,,1,shy3,,3,delight,,13,angry,,5,special,sin_m,sin_m,,,,,,,,,
event_romanticvalentine_04_e_14,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_14,True,,300,300,1.0,,,1,shy3,,3,smile,,13,angry,,5,special,sin_m,sin_m,,,,,,,,,
event_romanticvalentine_04_e_15,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_15,True,,300,50,1.0,,,1,shy3,,3,smile,,13,angry,,5,special,trony_m,trony_m,,,,,,,,,
event_romanticvalentine_04_e_16,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_16,True,,S_10,S_10,1.0,,,1,shy3,,3,smile,,13,angry,,5,special,mast_m,mast_m,,,,,,,,,
event_romanticvalentine_04_e_17,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_17,True,,XS_130,XS_130,1.0,,,1,shy3,,3,smile,,13,shy,,5,special,anchor_m,anchor_m,,,,,,,,,
event_romanticvalentine_04_e_18,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_18,True,,30,30,1.0,,,1,shy3,,3,smile,,13,shy,,5,special,sin_m,sin_m,,,,,,,,,
event_romanticvalentine_04_e_19,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_19,True,,50,50,1.0,,,1,shy3,,3,smile,,13,shy,,5,special,trony_m,trony_m,,,,,,,,,
event_romanticvalentine_04_e_20,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_20,True,,50,500,0.5,,,1,shy3,,3,smile,,13,shy,,5,special,trony_m,trony_m,,,,,,,,,
event_romanticvalentine_04_e_21,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_21,False,,12,12,1.0,none,,1,shy3,,3,smile,,13,shy,,5,special,mast_m,mast_m,,,,,,,,,
event_romanticvalentine_04_e_22,40069,event_romanticvalentine_04_e,Speech,Locale_SubScenario:event_romanticvalentine_04_e_22,False,,12,12,1.0,,,1,shy3,,3,smile,,13,shy,,5,special,anchor_m,anchor_m,,,,,,,,,
