id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/hide_char_id,set_camera_shake
event_ce02_2_01_s_1,40027,event_ce02_2_01_s,Speech,neon,neon,Locale_SubScenario:event_ce02_2_01_s_1,True,neon,9,idle,anis,7,idle,rapi,5,idle,ce_02_01,3,idle,ce_02_npc_01,1,idle,WasteLand_03,9,9,1.0,event_bgm_ce002_field,,,,
event_ce02_2_01_s_2,40027,event_ce02_2_01_s,Speech,neon,neon,Locale_SubScenario:event_ce02_2_01_s_2,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,9,9,1.0,,,,,
event_ce02_2_01_s_3,40027,event_ce02_2_01_s,Choice,,,Locale_SubScenario:event_ce02_2_01_s_3,False,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,9,9,1.0,,event_ce02_2_01_s_5,,,
event_ce02_2_01_s_4,40027,event_ce02_2_01_s,Choice,,,Locale_SubScenario:event_ce02_2_01_s_4,False,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,9,9,1.0,,event_ce02_2_01_s_9,,,
event_ce02_2_01_s_5,40027,event_ce02_2_01_s,Speech,neon,neon,Locale_SubScenario:event_ce02_2_01_s_5,True,,9,delight,,7,idle,,5,idle,,3,idle,,1,idle,,9,S_90,0.7,,,,,
event_ce02_2_01_s_6,40027,event_ce02_2_01_s,Monologue,,Monologue,Locale_SubScenario:event_ce02_2_01_s_6,False,,9,delight,,7,idle,,5,idle,,3,idle,,1,idle,,S_90,S_90,1.0,,,sfx_scn_fillacup,,
event_ce02_2_01_s_7,40027,event_ce02_2_01_s,Self,,Self,Locale_SubScenario:event_ce02_2_01_s_7,False,,9,delight,,7,idle,,5,idle,,3,idle,,1,idle,,S_90,S_90,1.0,,,,,
event_ce02_2_01_s_8,40027,event_ce02_2_01_s,Speech,neon,neon,Locale_SubScenario:event_ce02_2_01_s_8,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,S_90,9,1.0,,event_ce02_2_01_s_14,,,
event_ce02_2_01_s_9,40027,event_ce02_2_01_s,Speech,neon,neon,Locale_SubScenario:event_ce02_2_01_s_9,True,,9,surprise,,7,idle,,5,idle,,3,idle,,1,idle,,9,S_90,0.7,,,,,
event_ce02_2_01_s_10,40027,event_ce02_2_01_s,Speech,neon,neon,Locale_SubScenario:event_ce02_2_01_s_10,True,,9,worry,,7,idle,,5,idle,,3,idle,,1,idle,,S_90,S_90,1.0,,,,,
event_ce02_2_01_s_11,40027,event_ce02_2_01_s,Speech,neon,neon,Locale_SubScenario:event_ce02_2_01_s_11,True,,9,worry,,7,idle,,5,idle,,3,idle,,1,idle,,S_90,S_90,1.0,,,,,
event_ce02_2_01_s_12,40027,event_ce02_2_01_s,Self,,Self,Locale_SubScenario:event_ce02_2_01_s_12,False,,9,worry,,7,idle,,5,idle,,3,idle,,1,idle,,S_90,S_90,1.0,,,,,
event_ce02_2_01_s_13,40027,event_ce02_2_01_s,Speech,neon,neon,Locale_SubScenario:event_ce02_2_01_s_13,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,S_90,9,1.0,,,,,
event_ce02_2_01_s_14,40027,event_ce02_2_01_s,Speech,neon,neon,Locale_SubScenario:event_ce02_2_01_s_14,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,9,9,1.0,,,,,
event_ce02_2_01_s_15,40027,event_ce02_2_01_s,Speech,neon,neon,Locale_SubScenario:event_ce02_2_01_s_15,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,9,9,1.0,,,,,
event_ce02_2_01_s_16,40027,event_ce02_2_01_s,Speech,ce_02_01,ce_02_01,Locale_SubScenario:event_ce02_2_01_s_16,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,3,30,0.7,,,,,
event_ce02_2_01_s_17,40027,event_ce02_2_01_s,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_01_s_17,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,1,10,1.0,,,,,
event_ce02_2_01_s_18,40027,event_ce02_2_01_s,Speech,neon,neon,Locale_SubScenario:event_ce02_2_01_s_18,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,9,9,1.0,,,,,
event_ce02_2_01_s_19,40027,event_ce02_2_01_s,Speech,neon,neon,Locale_SubScenario:event_ce02_2_01_s_19,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,9,9,1.0,,,,,
event_ce02_2_01_s_20,40027,event_ce02_2_01_s,Monologue,,Monologue,Locale_SubScenario:event_ce02_2_01_s_20,False,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,9,9,1.0,,,sfx_scn_running,neon,
event_ce02_2_01_s_21,40027,event_ce02_2_01_s,Speech,anis,anis,Locale_SubScenario:event_ce02_2_01_s_21,False,,,,,7,void,,5,idle,,3,idle,,1,idle,,7,70,0.7,,,,,
event_ce02_2_01_s_22,40027,event_ce02_2_01_s,Speech,rapi,rapi,Locale_SubScenario:event_ce02_2_01_s_22,False,,,,,7,void,,5,idle,,3,idle,,1,idle,,5,50,0.7,,,,,
event_ce02_2_01_s_23,40027,event_ce02_2_01_s,Speech,ce_02_01,ce_02_01,Locale_SubScenario:event_ce02_2_01_s_23,False,,,,,7,void,,5,idle,,3,idle,,1,idle,,50,2,1.0,,,,,
event_ce02_2_01_s_24,40027,event_ce02_2_01_s,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_01_s_24,False,,,,,7,void,,5,idle,,3,idle,,1,idle,,2,2,1.0,,,,,
event_ce02_2_01_s_25,40027,event_ce02_2_01_s,Self,,Self,Locale_SubScenario:event_ce02_2_01_s_25,False,,,,,7,void,,5,idle,,3,idle,,1,idle,,2,2,1.0,,,,,
event_ce02_2_01_s_26,40027,event_ce02_2_01_s,Monologue,,Monologue,Locale_SubScenario:event_ce02_2_01_s_26,False,,,,,7,void,,5,idle,,3,idle,,1,idle,,black,black,1.0,,,,,
event_ce02_2_01_s_27,40027,event_ce02_2_01_s,Monologue,,Monologue,Locale_SubScenario:event_ce02_2_01_s_27,False,,,,,7,void,,5,idle,,3,idle,,1,idle,,black,black,1.0,,,,,
event_ce02_2_01_s_28,40027,event_ce02_2_01_s,Monologue,,Monologue,Locale_SubScenario:event_ce02_2_01_s_28,False,,,,,7,void,,5,idle,,3,idle,,1,idle,,black,black,1.0,,,,,
event_ce02_2_01_s_29,40027,event_ce02_2_01_s,Monologue,,Monologue,Locale_SubScenario:event_ce02_2_01_s_29,False,,,,,7,void,,5,idle,,3,idle,,1,idle,,black,black,1.0,,,,,
event_ce02_2_01_s_30,40027,event_ce02_2_01_s,Monologue,,Monologue,Locale_SubScenario:event_ce02_2_01_s_30,False,,,,,7,void,,5,idle,,3,idle,,1,idle,,black,black,1.0,,,,,
event_ce02_2_01_s_31,40027,event_ce02_2_01_s,Speech,anis,anis,Locale_SubScenario:event_ce02_2_01_s_31,True,,,,,7,void,,5,idle,,3,idle,,1,idle,,6,6,1.0,,,,,
event_ce02_2_01_s_32,40027,event_ce02_2_01_s,Speech,anis,anis,Locale_SubScenario:event_ce02_2_01_s_32,True,,,,,7,void,,5,idle,,3,idle,,1,idle,,6,6,1.0,,,,,
