id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
event_firstaffection_7_1,130002,event_firstaffection_07,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_7_1,True,rapi,2,idle,marian_f,12,cry,anis,14,idle,neon,16,idle,CityForest_03_d,20,20,1.0,bgm_distress
event_firstaffection_7_2,130002,event_firstaffection_07,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_7_2,True,,2,idle,,12,cry,,14,idle,,16,idle,,20,20,1.0,
event_firstaffection_7_3,130002,event_firstaffection_07,Speech,marian_f,marian_f,Locale_SubScenario:event_firstaffection_7_3,False,,2,idle,,12,cry,,14,idle,,16,idle,,20,120,1.0,
event_firstaffection_7_4,130002,event_firstaffection_07,Speech,anis,anis,Locale_SubScenario:event_firstaffection_7_4,True,,2,idle,,12,cry,,14,worry,,16,idle,,15,15,1.0,
event_firstaffection_7_5,130002,event_firstaffection_07,Speech,neon,neon,Locale_SubScenario:event_firstaffection_7_5,True,,2,idle,,12,cry,,14,worry,,16,worry,,15,15,1.0,
event_firstaffection_7_6,130002,event_firstaffection_07,Speech,marian_f,marian_f,Locale_SubScenario:event_firstaffection_7_6,True,,2,idle,,12,sad,,14,worry,,16,worry,,15,12,1.0,
event_firstaffection_7_7,130002,event_firstaffection_07,Speech,marian_f,marian_f,Locale_SubScenario:event_firstaffection_7_7,True,,2,idle,,12,sad,,14,worry,,16,idle,,12,12,1.0,
event_firstaffection_7_8,130002,event_firstaffection_07,Speech,marian_f,marian_f,Locale_SubScenario:event_firstaffection_7_8,True,,2,idle,,12,sad,,14,worry,,16,idle,,12,12,1.0,
event_firstaffection_7_9,130002,event_firstaffection_07,Speech,anis,anis,Locale_SubScenario:event_firstaffection_7_9,True,,2,idle,,12,sad,,14,idle,,16,idle,,15,15,1.0,
event_firstaffection_7_10,130002,event_firstaffection_07,Speech,anis,anis,Locale_SubScenario:event_firstaffection_7_10,True,,2,idle,,12,sad,,14,idle,,16,idle,,15,15,1.0,
event_firstaffection_7_11,130002,event_firstaffection_07,Speech,neon,neon,Locale_SubScenario:event_firstaffection_7_11,True,,2,idle,,12,sad,,14,idle,,16,surprise,,15,15,1.0,
event_firstaffection_7_12,130002,event_firstaffection_07,Monologue,,Monologue,Locale_SubScenario:event_firstaffection_7_12,False,,2,idle,,12,sad,,14,idle,,16,surprise,,black,black,1.0,
event_firstaffection_7_13,130002,event_firstaffection_07,Monologue,,Monologue,Locale_SubScenario:event_firstaffection_7_13,False,,2,idle,,12,sad,,14,idle,,16,idle,,black,black,1.0,
event_firstaffection_7_14,130002,event_firstaffection_07,Self,,Self,Locale_SubScenario:event_firstaffection_7_14,False,,2,idle,,12,sad,,14,idle,,16,idle,,12,120,1.0,
event_firstaffection_7_15,130002,event_firstaffection_07,Speech,anis,anis,Locale_SubScenario:event_firstaffection_7_15,True,,2,idle,,12,sad,,14,delight,,16,delight,,120,120,1.0,
event_firstaffection_7_16,130002,event_firstaffection_07,Speech,neon,neon,Locale_SubScenario:event_firstaffection_7_16,True,,2,idle,,12,sad,,14,delight,,16,delight,,120,120,1.0,
event_firstaffection_7_17,130002,event_firstaffection_07,Speech,marian_f,marian_f,Locale_SubScenario:event_firstaffection_7_17,False,,2,idle,,12,surprise,,14,delight,,16,delight,,120,1200,2.0,
event_firstaffection_7_18,130002,event_firstaffection_07,Speech,marian_f,marian_f,Locale_SubScenario:event_firstaffection_7_18,True,,2,idle,,12,surprise,,14,delight,,16,delight,,1200,1200,1.0,
event_firstaffection_7_19,130002,event_firstaffection_07,Speech,marian_f,marian_f,Locale_SubScenario:event_firstaffection_7_19,True,,2,idle,,12,idle,,14,delight,,16,delight,,1200,1200,1.0,
event_firstaffection_7_20,130002,event_firstaffection_07,Speech,anis,anis,Locale_SubScenario:event_firstaffection_7_20,True,,2,idle,,12,idle,,14,delight,,16,delight,,140,140,1.0,
event_firstaffection_7_21,130002,event_firstaffection_07,Speech,neon,neon,Locale_SubScenario:event_firstaffection_7_21,True,,2,idle,,12,idle,,14,delight,,16,delight,,140,S_160,0.6,
event_firstaffection_7_22,130002,event_firstaffection_07,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_7_22,True,,2,delight,,12,idle,,14,delight,,16,delight,,20,20,1.0,
event_firstaffection_7_23,130002,event_firstaffection_07,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_7_23,True,,2,delight,,12,idle,,14,idle,,16,idle,,20,20,1.0,
event_firstaffection_7_24,130002,event_firstaffection_07,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_7_24,True,,2,delight,,12,idle,,14,idle,,16,idle,,20,20,1.0,
event_firstaffection_7_25,130002,event_firstaffection_07,Speech,marian_f,marian_f,Locale_SubScenario:event_firstaffection_7_25,True,,2,delight,,12,delight,,14,idle,,16,idle,,20,120,1.0,
