id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_camera_shake,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id
event_romanticvalentine_epilogue_1,40069,event_romanticvalentine_epilogue,Monologue,Locale_SubScenario:event_romanticvalentine_epilogue_1,False,MaidCafe,black,black,1.0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_epilogue_2,40069,event_romanticvalentine_epilogue,Monologue,Locale_SubScenario:event_romanticvalentine_epilogue_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_epilogue_3,40069,event_romanticvalentine_epilogue,Narration,Locale_SubScenario:event_romanticvalentine_epilogue_3,False,,10,10,1.0,,sfx_scn_toyshopbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_epilogue_4,40069,event_romanticvalentine_epilogue,Self,Locale_SubScenario:event_romanticvalentine_epilogue_4,False,,10,10,1.0,event_bgm_perfectmaid,,privaty_m,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_epilogue_5,40069,event_romanticvalentine_epilogue,Speech,Locale_SubScenario:event_romanticvalentine_epilogue_5,True,,10,10,1.0,,,,1,surprise,privaty_m,privaty_m,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_epilogue_6,40069,event_romanticvalentine_epilogue,Self,Locale_SubScenario:event_romanticvalentine_epilogue_6,False,,10,10,1.0,,,,1,surprise,privaty_m,,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_epilogue_7,40069,event_romanticvalentine_epilogue,Monologue,Locale_SubScenario:event_romanticvalentine_epilogue_7,False,,10,10,1.0,,,,1,surprise,privaty_m,,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_epilogue_8,40069,event_romanticvalentine_epilogue,Monologue,Locale_SubScenario:event_romanticvalentine_epilogue_8,False,,10,10,1.0,,,,1,surprise,privaty_m,,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_epilogue_9,40069,event_romanticvalentine_epilogue,Speech,Locale_SubScenario:event_romanticvalentine_epilogue_9,True,,10,10,1.0,,,,1,idle,privaty_m,privaty_m,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_epilogue_10,40069,event_romanticvalentine_epilogue,Speech,Locale_SubScenario:event_romanticvalentine_epilogue_10,True,,10,100,1.0,,,,1,no,privaty_m,privaty_m,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_epilogue_11,40069,event_romanticvalentine_epilogue,Self,Locale_SubScenario:event_romanticvalentine_epilogue_11,False,,100,100,1.0,,,,1,no,privaty_m,,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_epilogue_12,40069,event_romanticvalentine_epilogue,Speech,Locale_SubScenario:event_romanticvalentine_epilogue_12,True,,100,10,0.5,,,,1,surprise,privaty_m,privaty_m,,,,,,,,,,,,,,,,,,,,,,,,,
event_romanticvalentine_epilogue_13,40069,event_romanticvalentine_epilogue,Self,Locale_SubScenario:event_romanticvalentine_epilogue_13,False,,10,10,1.0,,,,1,surprise,privaty_m,,,,,,,,,,,,,,,,,,,,,,,,,,
