id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_icedragonsaga2_intermission_01_1,40065,event_icedragonsaga2_intermission_01,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_1,True,DragonCaslteOut,L_20,L_20,1.0,event_bgm_icedragonsaga_castle,,,,maiden_w,2,angry,,,,,,,,,
event_icedragonsaga2_intermission_01_2,40065,event_icedragonsaga2_intermission_01,Narration,,,Locale_MainScenario:event_icedragonsaga2_intermission_01_2,False,,black,black,1.0,,sfx_scn_spellcast,,,,2,angry,,,,,,,,,
event_icedragonsaga2_intermission_01_3,40065,event_icedragonsaga2_intermission_01,Narration,,,Locale_MainScenario:event_icedragonsaga2_intermission_01_3,False,,black,black,1.0,,sfx_scn_spellicecast,,,,2,angry,,,,,,,,,
event_icedragonsaga2_intermission_01_4,40065,event_icedragonsaga2_intermission_01,Narration,,,Locale_MainScenario:event_icedragonsaga2_intermission_01_4,False,,S_1200,S_120,0.5,,sfx_scn_spellrecohet,,,,2,angry,,laplace,12,void,,,,,
event_icedragonsaga2_intermission_01_5,40065,event_icedragonsaga2_intermission_01,Speech,laplace,laplace,Locale_MainScenario:event_icedragonsaga2_intermission_01_5,True,White,S_120,S_120,1.0,,,,,,2,angry,,,12,void,,,,,
event_icedragonsaga2_intermission_01_6,40065,event_icedragonsaga2_intermission_01,Narration,laplace,,Locale_MainScenario:event_icedragonsaga2_intermission_01_6,False,,black,black,1.0,,sfx_scn_energyexplosion,Low_2,,,2,angry,,,12,void,,,,,
event_icedragonsaga2_intermission_01_7,40065,event_icedragonsaga2_intermission_01,Narration,laplace,,Locale_MainScenario:event_icedragonsaga2_intermission_01_7,False,DragonCaslteOut,black,black,1.0,,sfx_scn_crystalbreak2,,,,2,angry,,,12,void,,,,,
event_icedragonsaga2_intermission_01_8,40065,event_icedragonsaga2_intermission_01,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_8,True,,1,1,1.0,,,,white,,2,worry,,,12,void,,,,,
event_icedragonsaga2_intermission_01_9,40065,event_icedragonsaga2_intermission_01,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_9,True,,1,1,1.0,,,,,,2,worry,,,12,void,,,,,
event_icedragonsaga2_intermission_01_10,40065,event_icedragonsaga2_intermission_01,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_10,True,,1,1,1.0,,,,,,2,worry,,,12,void,,,,,
event_icedragonsaga2_intermission_01_11,40065,event_icedragonsaga2_intermission_01,Speech,laplace,laplace,Locale_MainScenario:event_icedragonsaga2_intermission_01_11,True,,1,1,1.0,,,,,,2,worry,,,12,void,,,,,
event_icedragonsaga2_intermission_01_12,40065,event_icedragonsaga2_intermission_01,Speech,laplace,laplace,Locale_MainScenario:event_icedragonsaga2_intermission_01_12,True,,1,1,1.0,,,,,,2,worry,,,12,void,,,,,
event_icedragonsaga2_intermission_01_13,40065,event_icedragonsaga2_intermission_01,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_13,True,,1,1,1.0,,,,,,2,no,,,12,void,,,,,
event_icedragonsaga2_intermission_01_14,40065,event_icedragonsaga2_intermission_01,Narration,,,Locale_MainScenario:event_icedragonsaga2_intermission_01_14,False,,1,L_200,0.5,,sfx_scn_bodyhit,,,,2,surprise,,,12,void,,,,,
event_icedragonsaga2_intermission_01_15,40065,event_icedragonsaga2_intermission_01,Narration,,,Locale_MainScenario:event_icedragonsaga2_intermission_01_15,False,,black,black,1.0,,,,,,2,surprise,,,12,void,,,,,
event_icedragonsaga2_intermission_01_16,40065,event_icedragonsaga2_intermission_01,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_16,True,,L_200,2,0.5,,,Low_2,,,2,surprise,,,12,void,,,,,
event_icedragonsaga2_intermission_01_17,40065,event_icedragonsaga2_intermission_01,Speech,laplace,laplace,Locale_MainScenario:event_icedragonsaga2_intermission_01_17,True,,2,S_120,0.5,,,,,,2,surprise,,,12,void,,,,,
event_icedragonsaga2_intermission_01_18,40065,event_icedragonsaga2_intermission_01,Speech,laplace,laplace,Locale_MainScenario:event_icedragonsaga2_intermission_01_18,True,,S_120,S_1200,0.5,,,,,,2,surprise,,,12,void,,,,,
event_icedragonsaga2_intermission_01_19,40065,event_icedragonsaga2_intermission_01,Narration,,,Locale_MainScenario:event_icedragonsaga2_intermission_01_19,False,,black,black,1.0,,sfx_scn_energecharge,,,,2,surprise,,,12,void,,,,,
event_icedragonsaga2_intermission_01_20,40065,event_icedragonsaga2_intermission_01,Narration,,,Locale_MainScenario:event_icedragonsaga2_intermission_01_20,False,White,L_200,L_200,1.0,,,,,,2,surprise,,,12,void,,,,,
event_icedragonsaga2_intermission_01_21,40065,event_icedragonsaga2_intermission_01,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_21,False,,L_200,L_200,1.0,,,,,,2,surprise,,,12,void,,,,,
event_icedragonsaga2_intermission_01_22,40065,event_icedragonsaga2_intermission_01,Speech,maiden_w,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_22,False,,L_200,L_200,1.0,none,,,,,2,surprise,,,12,void,,,,,
event_icedragonsaga2_intermission_01_23,40065,event_icedragonsaga2_intermission_01,Narration,,,Locale_MainScenario:event_icedragonsaga2_intermission_01_23,False,none,black,black,1.0,,sfx_scn_hammerwhoosh,,,,2,surprise,maiden_w,,12,void,laplace,,,,
event_icedragonsaga2_intermission_01_24,40065,event_icedragonsaga2_intermission_01,Narration,,,Locale_MainScenario:event_icedragonsaga2_intermission_01_24,False,EventTitle_icedragonsaga_03,1,1,1.0,,,,,,,,,,,,,,,,
event_icedragonsaga2_intermission_01_25,40065,event_icedragonsaga2_intermission_01,Speech,,maiden_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_25,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_icedragonsaga2_intermission_01_26,40065,event_icedragonsaga2_intermission_01,Speech,,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_26,False,,1,1,1.0,bgm_story_darklord,,,,,,,,,,,,,,,
event_icedragonsaga2_intermission_01_27,40065,event_icedragonsaga2_intermission_01,Speech,,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_27,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_icedragonsaga2_intermission_01_28,40065,event_icedragonsaga2_intermission_01,Speech,,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_28,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_icedragonsaga2_intermission_01_29,40065,event_icedragonsaga2_intermission_01,Speech,,maiden_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_29,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_icedragonsaga2_intermission_01_30,40065,event_icedragonsaga2_intermission_01,Speech,,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_30,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_icedragonsaga2_intermission_01_31,40065,event_icedragonsaga2_intermission_01,Speech,,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_31,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_icedragonsaga2_intermission_01_32,40065,event_icedragonsaga2_intermission_01,Speech,,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_32,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_icedragonsaga2_intermission_01_33,40065,event_icedragonsaga2_intermission_01,Speech,,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_33,False,,1,EventTitle_icedragonsaga_03_1,0.5,,,,,,,,,,,,,,,,
event_icedragonsaga2_intermission_01_34,40065,event_icedragonsaga2_intermission_01,Speech,,maiden_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_34,False,,EventTitle_icedragonsaga_03_1,EventTitle_icedragonsaga_03_1,1.0,,,,,,,,,,,,,,,,
event_icedragonsaga2_intermission_01_35,40065,event_icedragonsaga2_intermission_01,Speech,,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_35,False,,EventTitle_icedragonsaga_03_1,EventTitle_icedragonsaga_03_1,1.0,,,,,,,,,,,,,,,,
event_icedragonsaga2_intermission_01_36,40065,event_icedragonsaga2_intermission_01,Speech,,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_36,False,,EventTitle_icedragonsaga_03_1,EventTitle_icedragonsaga_03_1,1.0,,,,,,,,,,,,,,,,
event_icedragonsaga2_intermission_01_37,40065,event_icedragonsaga2_intermission_01,Narration,,,Locale_MainScenario:event_icedragonsaga2_intermission_01_37,False,DragonCaslteOut,black,black,1.0,,sfx_scn_darkspell,,,maiden_w,2,surprise,,laplace,16,void,,guillotine_w,12,worry,
event_icedragonsaga2_intermission_01_38,40065,event_icedragonsaga2_intermission_01,Speech,laplace,laplace,Locale_MainScenario:event_icedragonsaga2_intermission_01_38,True,,S_160,S_160,1.0,,,,,,2,surprise,,,16,void,,,12,worry,
event_icedragonsaga2_intermission_01_39,40065,event_icedragonsaga2_intermission_01,Speech,laplace,laplace,Locale_MainScenario:event_icedragonsaga2_intermission_01_39,False,,S_160,S_160,1.0,,,,,,2,surprise,,,16,void,,,12,worry,
event_icedragonsaga2_intermission_01_40,40065,event_icedragonsaga2_intermission_01,Narration,laplace,,Locale_MainScenario:event_icedragonsaga2_intermission_01_40,False,,S_160,S_160,1.0,,sfx_scn_down,,,,2,surprise,,,16,void,laplace,,12,worry,
event_icedragonsaga2_intermission_01_41,40065,event_icedragonsaga2_intermission_01,Speech,guillotine_w,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_41,True,,1,1,1.0,,,,,,2,surprise,,,,,,,12,worry,
event_icedragonsaga2_intermission_01_42,40065,event_icedragonsaga2_intermission_01,Speech,guillotine_w,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_42,True,,1,1,1.0,,,,,,2,surprise,,,,,,,12,worry,
event_icedragonsaga2_intermission_01_43,40065,event_icedragonsaga2_intermission_01,Speech,maiden_w,maiden_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_43,True,,1,1,1.0,,,,,,2,surprise,,,,,,,12,worry,
event_icedragonsaga2_intermission_01_44,40065,event_icedragonsaga2_intermission_01,Speech,guillotine_w,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_44,True,,1,1,1.0,,,,,,2,surprise,,,,,,,12,worry,
event_icedragonsaga2_intermission_01_45,40065,event_icedragonsaga2_intermission_01,Speech,guillotine_w,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_45,True,,1,1,1.0,,,,,,2,surprise,,,,,,,12,worry,
event_icedragonsaga2_intermission_01_46,40065,event_icedragonsaga2_intermission_01,Speech,guillotine_w,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_46,True,,1,1,1.0,,,,,,2,surprise,,,,,,,12,worry,
event_icedragonsaga2_intermission_01_47,40065,event_icedragonsaga2_intermission_01,Speech,guillotine_w,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_47,True,,1,1,1.0,,,,,,2,surprise,,,,,,,12,worry,
event_icedragonsaga2_intermission_01_48,40065,event_icedragonsaga2_intermission_01,Speech,guillotine_w,guillotine_w,Locale_MainScenario:event_icedragonsaga2_intermission_01_48,True,,1,1,1.0,,,,,,2,surprise,,,,,,,12,worry,
