id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,highlight,speaker,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_beautyfullshot2_01_e_1,40052,event_beautyfullshot2_01_e,Monologue,Locale_MainScenario:event_beautyfullshot2_01_e_1,False,BeachCave_n,black,black,1.0,ambient_scn_calmsea,event_bgm_beautyfullshot_coral,,,,,sakura_s,1,smile
event_beautyfullshot2_01_e_2,40052,event_beautyfullshot2_01_e,Monologue,Locale_MainScenario:event_beautyfullshot2_01_e_2,False,,black,black,1.0,,,,,,,,1,smile
event_beautyfullshot2_01_e_3,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_3,True,,100,100,1.0,,,sakura_s,sakura_s,,,,1,smile
event_beautyfullshot2_01_e_4,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_4,True,,100,100,1.0,,,sakura_s,sakura_s,,,,1,smile
event_beautyfullshot2_01_e_5,40052,event_beautyfullshot2_01_e,Monologue,Locale_MainScenario:event_beautyfullshot2_01_e_5,False,,black,black,1.0,,,sakura_s,,,,,1,smile
event_beautyfullshot2_01_e_6,40052,event_beautyfullshot2_01_e,Monologue,Locale_MainScenario:event_beautyfullshot2_01_e_6,False,,100,10,1.0,,,sakura_s,,,,,1,smile
event_beautyfullshot2_01_e_7,40052,event_beautyfullshot2_01_e,Monologue,Locale_MainScenario:event_beautyfullshot2_01_e_7,False,,10,10,1.0,,,sakura_s,,,,,1,smile
event_beautyfullshot2_01_e_8,40052,event_beautyfullshot2_01_e,Monologue,Locale_MainScenario:event_beautyfullshot2_01_e_8,False,,10,10,1.0,,,sakura_s,,,,,1,smile
event_beautyfullshot2_01_e_9,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_9,True,,10,10,1.0,,,sakura_s,sakura_s,,,,1,smile
event_beautyfullshot2_01_e_10,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_10,True,,10,10,1.0,,,sakura_s,sakura_s,,,,1,smile
event_beautyfullshot2_01_e_11,40052,event_beautyfullshot2_01_e,Speech,Locale_MainScenario:event_beautyfullshot2_01_e_11,True,,10,10,1.0,,,sakura_s,sakura_s,,,,1,smile
event_beautyfullshot2_01_e_12,40052,event_beautyfullshot2_01_e,Monologue,Locale_MainScenario:event_beautyfullshot2_01_e_12,False,,10,1,1.0,,,sakura_s,,sfx_scn_walksand,,,1,smile
