id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,characters/1/hide_char_id
event_goldenship_02_s_1,40023,event_goldenship_02_s,Monologue,Locale_SubScenario:event_goldenship_02_s_1,False,mast,1,idle,frima_s,13,idle,CommanderRoom,black,black,1.0,bgm_story_orangepop,,,,
event_goldenship_02_s_2,40023,event_goldenship_02_s,Speech,Locale_SubScenario:event_goldenship_02_s_2,True,,1,idle,,13,idle,,113,113,1.0,,frima_s,frima,,
event_goldenship_02_s_3,40023,event_goldenship_02_s,Self,Locale_SubScenario:event_goldenship_02_s_3,False,,1,idle,,13,idle,,113,113,1.0,,,,,
event_goldenship_02_s_4,40023,event_goldenship_02_s,Speech,Locale_SubScenario:event_goldenship_02_s_4,True,,1,idle,,13,idle,,113,113,1.0,,mast,mast,,
event_goldenship_02_s_5,40023,event_goldenship_02_s,Speech,Locale_SubScenario:event_goldenship_02_s_5,True,,1,idle,,13,idle,,113,113,1.0,,mast,mast,,
event_goldenship_02_s_6,40023,event_goldenship_02_s,Speech,Locale_SubScenario:event_goldenship_02_s_6,True,,1,idle,,13,idle,,113,113,1.0,,frima_s,frima,,
event_goldenship_02_s_7,40023,event_goldenship_02_s,Speech,Locale_SubScenario:event_goldenship_02_s_7,True,,1,idle,,13,idle,,113,113,1.0,,frima_s,frima,,
event_goldenship_02_s_8,40023,event_goldenship_02_s,Self,Locale_SubScenario:event_goldenship_02_s_8,False,,1,idle,,13,idle,,113,113,1.0,,,,,
event_goldenship_02_s_9,40023,event_goldenship_02_s,Speech,Locale_SubScenario:event_goldenship_02_s_9,True,,1,idle,,13,idle,,113,113,1.0,,frima_s,frima,,
event_goldenship_02_s_10,40023,event_goldenship_02_s,Speech,Locale_SubScenario:event_goldenship_02_s_10,True,,1,delight,,13,idle,,113,113,1.0,,mast,mast,,
event_goldenship_02_s_11,40023,event_goldenship_02_s,Speech,Locale_SubScenario:event_goldenship_02_s_11,True,,1,delight,,13,idle,,113,113,1.0,,frima_s,frima,,
