id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_goldenship_01_e_1,40023,event_goldenship_01_e,Narration,Locale_SubScenario:event_goldenship_01_e_1,False,Cafe,black,black,1.0,sfx_scn_toyshopbell,bgm_story_orangepop,,,,mast,1,surprise,frima_s,13,idle
event_goldenship_01_e_2,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_2,True,,130,130,1.0,,,frima_s,frima,,,1,surprise,,13,idle
event_goldenship_01_e_3,40023,event_goldenship_01_e,Choice,Locale_SubScenario:event_goldenship_01_e_3,False,,130,130,1.0,,,,,event_goldenship_01_e_5,,1,surprise,,13,idle
event_goldenship_01_e_4,40023,event_goldenship_01_e,Choice,Locale_SubScenario:event_goldenship_01_e_4,False,,130,130,1.0,,,,,event_goldenship_01_e_6,,1,surprise,,13,idle
event_goldenship_01_e_5,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_5,True,,130,130,1.0,,,frima_s,frima,event_goldenship_01_e_7,,1,surprise,,13,idle
event_goldenship_01_e_6,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_6,True,,130,130,1.0,,,frima_s,frima,event_goldenship_01_e_7,,1,surprise,,13,idle
event_goldenship_01_e_7,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_7,False,,130,113,1.0,,,mast,mast,,,1,surprise,,13,idle
event_goldenship_01_e_8,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_8,True,,113,113,1.0,,,mast,mast,,,1,surprise,,13,idle
event_goldenship_01_e_9,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_9,True,,113,113,1.0,,,frima_s,frima,,,1,surprise,,13,idle
event_goldenship_01_e_10,40023,event_goldenship_01_e,Self,Locale_SubScenario:event_goldenship_01_e_10,False,,113,113,1.0,,,,,,,1,surprise,,13,idle
event_goldenship_01_e_11,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_11,True,,113,13,1.0,,,frima_s,frima,,,1,surprise,,13,idle
event_goldenship_01_e_12,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_12,True,,13,13,1.0,,,frima_s,frima,,,1,surprise,,13,idle
event_goldenship_01_e_13,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_13,True,,13,130,1.0,,,frima_s,frima,,,1,surprise,,13,idle
event_goldenship_01_e_14,40023,event_goldenship_01_e,Self,Locale_SubScenario:event_goldenship_01_e_14,False,,130,130,1.0,,,,,,,1,surprise,,13,idle
event_goldenship_01_e_15,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_15,True,,130,130,1.0,,,frima_s,frima,,,1,surprise,,13,idle
event_goldenship_01_e_16,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_16,True,,130,130,1.0,,,frima_s,frima,,,1,surprise,,13,idle
event_goldenship_01_e_17,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_17,True,,130,113,2.0,,,mast,mast,,,1,idle2,,13,idle
event_goldenship_01_e_18,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_18,True,,113,113,1.0,,,frima_s,frima,,,1,idle2,,13,idle
event_goldenship_01_e_19,40023,event_goldenship_01_e,Self,Locale_SubScenario:event_goldenship_01_e_19,False,,113,113,1.0,,,,,,,1,idle2,,13,idle
event_goldenship_01_e_20,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_20,True,,113,113,1.0,,,frima_s,frima,,,1,idle2,,13,idle
event_goldenship_01_e_21,40023,event_goldenship_01_e,Self,Locale_SubScenario:event_goldenship_01_e_21,False,,113,113,1.0,,,,,,,1,idle2,,13,idle
event_goldenship_01_e_22,40023,event_goldenship_01_e,Self,Locale_SubScenario:event_goldenship_01_e_22,False,,113,113,1.0,,,,,,,1,idle2,,13,idle
event_goldenship_01_e_23,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_23,True,,113,130,1.0,,,frima_s,frima,,,1,idle2,,13,surprise
event_goldenship_01_e_24,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_24,True,,130,130,1.0,,,frima_s,frima,,,1,idle2,,13,surprise
event_goldenship_01_e_25,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_25,True,,S_10,S_10,1.0,,,mast,mast,,,1,idle2,,13,surprise
event_goldenship_01_e_26,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_26,True,,S_10,S_10,1.0,,,mast,mast,,,1,idle2,,13,surprise
event_goldenship_01_e_27,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_27,False,,130,130,1.0,,none,frima_s,frima,,,1,idle2,,13,surprise
event_goldenship_01_e_28,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_28,True,,130,130,1.0,,,frima_s,frima,,,1,idle2,,13,surprise
event_goldenship_01_e_29,40023,event_goldenship_01_e,Self,Locale_SubScenario:event_goldenship_01_e_29,False,,130,130,1.0,,,,,,,1,idle2,,13,surprise
event_goldenship_01_e_30,40023,event_goldenship_01_e,Narration,Locale_SubScenario:event_goldenship_01_e_30,True,,130,1300,0.5,,,,,,,1,idle2,,13,surprise
event_goldenship_01_e_31,40023,event_goldenship_01_e,Monologue,Locale_SubScenario:event_goldenship_01_e_31,False,,1300,1300,1.0,,bgm_story_herecomestrouble,,,,,1,idle2,,13,surprise
event_goldenship_01_e_32,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_32,True,,1300,1300,1.0,,,frima_s,frima,,,1,idle2,,13,delight
event_goldenship_01_e_33,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_33,True,,1300,113,2.0,,,mast,mast,,,1,idle2,,13,delight
event_goldenship_01_e_34,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_34,True,,113,113,1.0,,,mast,mast,,,1,idle2,,13,delight
event_goldenship_01_e_35,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_35,True,,113,113,1.0,,,frima_s,frima,,,1,idle2,,13,delight
event_goldenship_01_e_36,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_36,True,,113,113,1.0,,,mast,mast,,,1,idle2,,13,delight
event_goldenship_01_e_37,40023,event_goldenship_01_e,Monologue,Locale_SubScenario:event_goldenship_01_e_37,False,,113,113,1.0,,,,,,,1,idle2,,13,delight
event_goldenship_01_e_38,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_38,True,,113,113,1.0,,,frima_s,frima,,,1,idle2,,13,idle
event_goldenship_01_e_39,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_39,True,,113,113,1.0,,,mast,mast,,,1,idle2,,13,idle
event_goldenship_01_e_40,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_40,True,,113,1,1.0,,,mast,mast,,,1,idle2,,13,idle
event_goldenship_01_e_41,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_41,True,,1,1,1.0,,,mast,mast,,,1,idle2,,13,idle
event_goldenship_01_e_42,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_42,True,,1,1,1.0,,,mast,mast,,,1,idle2,,13,idle
event_goldenship_01_e_43,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_43,True,,1,113,1.0,,,frima_s,frima,,,1,idle2,,13,idle
event_goldenship_01_e_44,40023,event_goldenship_01_e,Self,Locale_SubScenario:event_goldenship_01_e_44,False,,113,113,1.0,,,,,,,1,idle2,,13,idle
event_goldenship_01_e_45,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_45,True,,113,113,1.0,,,frima_s,frima,,,1,idle2,,13,delight
event_goldenship_01_e_46,40023,event_goldenship_01_e,Self,Locale_SubScenario:event_goldenship_01_e_46,False,,113,113,1.0,,,,,,,1,idle2,,13,delight
event_goldenship_01_e_47,40023,event_goldenship_01_e,Speech,Locale_SubScenario:event_goldenship_01_e_47,True,,113,113,1.0,,,mast,mast,,,1,idle2,,13,delight
