id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_boomtheghost2_02_e_1,40085,event_boomtheghost2_02_e,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_02_e_1,True,Kitchen,S_700,S_700,1.0,bgm_story_cottoncandy,,alfred,7,idle,elegg_s,5,idle,rapi_ss,3,delight,centi_s,1,idle,,,
event_boomtheghost2_02_e_2,40085,event_boomtheghost2_02_e,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_02_e_2,True,,S_700,S_700,1.0,,,,7,idle,,5,idle,,3,delight,,1,idle,,,
event_boomtheghost2_02_e_3,40085,event_boomtheghost2_02_e,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_02_e_3,True,,S_700,S_700,1.0,,,,7,idle,,5,idle,,3,delight,,1,idle,,,
event_boomtheghost2_02_e_4,40085,event_boomtheghost2_02_e,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_02_e_4,True,,S_700,S_70,1.0,,,,7,idle,,5,idle,,3,delight,,1,idle,,,
event_boomtheghost2_02_e_5,40085,event_boomtheghost2_02_e,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost2_02_e_5,True,,S_70,75,1.0,,,,7,idle,,5,idle,,3,delight,,1,idle,,,
event_boomtheghost2_02_e_6,40085,event_boomtheghost2_02_e,Speech,elegg_s,elegg_s,Locale_MainScenario:event_boomtheghost2_02_e_6,True,,75,75,1.0,,,,7,idle,,5,idle,,3,delight,,1,idle,,,
event_boomtheghost2_02_e_7,40085,event_boomtheghost2_02_e,Speech,alfred,alfred,Locale_MainScenario:event_boomtheghost2_02_e_7,True,,75,75,1.0,,,,7,idle,,5,idle,,3,delight,,1,idle,,,
event_boomtheghost2_02_e_8,40085,event_boomtheghost2_02_e,Speech,rapi_ss,rapi_ss,Locale_MainScenario:event_boomtheghost2_02_e_8,True,,75,3,1.5,,,,7,idle,,5,idle,,3,think,,1,idle,,,
event_boomtheghost2_02_e_9,40085,event_boomtheghost2_02_e,Self,rapi_ss,,Locale_MainScenario:event_boomtheghost2_02_e_9,False,,3,3,1.0,,,,7,idle,,5,idle,,3,think,,1,idle,,,
event_boomtheghost2_02_e_10,40085,event_boomtheghost2_02_e,Speech,rapi_ss,rapi_ss,Locale_MainScenario:event_boomtheghost2_02_e_10,True,,3,31,1.0,,,,7,idle,,5,idle,,3,delight,,1,idle,,,
