id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_killthelord_01_e_1,40043,event_killthelord_01_e,Self,d,Locale_SubScenario:event_killthelord_01_e_1,False,CommanderRoom,1,12,1.0,bgm_mystery,,,,d,1,idle,k,13,idle
event_killthelord_01_e_2,40043,event_killthelord_01_e,Speech,d,Locale_SubScenario:event_killthelord_01_e_2,True,,12,12,1.0,,d,,,,1,idle,,13,idle
event_killthelord_01_e_3,40043,event_killthelord_01_e,Speech,d,Locale_SubScenario:event_killthelord_01_e_3,True,,12,12,1.0,,d,,,,1,idle,,13,idle
event_killthelord_01_e_4,40043,event_killthelord_01_e,Speech,d,Locale_SubScenario:event_killthelord_01_e_4,True,,12,10,1.0,,d,,,,1,idle,,13,idle
event_killthelord_01_e_5,40043,event_killthelord_01_e,Speech,d,Locale_SubScenario:event_killthelord_01_e_5,True,,10,10,1.0,,d,,,,1,idle,,13,idle
event_killthelord_01_e_6,40043,event_killthelord_01_e,Speech,d,Locale_SubScenario:event_killthelord_01_e_6,True,,10,10,1.0,,d,,,,1,idle,,13,idle
event_killthelord_01_e_7,40043,event_killthelord_01_e,Speech,d,Locale_SubScenario:event_killthelord_01_e_7,True,,10,10,1.0,,d,,,,1,idle,,13,idle
event_killthelord_01_e_8,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_8,True,,10,S_130,1.0,,k,,,,1,idle,,13,delight
event_killthelord_01_e_9,40043,event_killthelord_01_e,Choice,k,Locale_SubScenario:event_killthelord_01_e_9,False,,S_130,S_130,1.0,,,event_killthelord_01_e_11,,,1,idle,,13,delight
event_killthelord_01_e_10,40043,event_killthelord_01_e,Choice,k,Locale_SubScenario:event_killthelord_01_e_10,False,,S_130,S_130,1.0,,,event_killthelord_01_e_12,,,1,idle,,13,delight
event_killthelord_01_e_11,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_11,True,,S_130,S_130,1.0,,k,event_killthelord_01_e_17,,,1,idle,,13,idle
event_killthelord_01_e_12,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_12,True,,S_130,S_130,1.0,,k,,Low_2,,1,idle,,13,surprise
event_killthelord_01_e_13,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_13,True,,S_130,S_130,1.0,,k,,,,1,idle,,13,think
event_killthelord_01_e_14,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_14,True,,S_130,S_130,1.0,,k,,,,1,idle,,13,think
event_killthelord_01_e_15,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_15,True,,S_130,S_130,1.0,,k,,,,1,idle,,13,idle
event_killthelord_01_e_16,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_16,True,,S_130,S_130,1.0,,k,event_killthelord_01_e_17,,,1,idle,,13,idle
event_killthelord_01_e_17,40043,event_killthelord_01_e,Self,k,Locale_SubScenario:event_killthelord_01_e_17,False,,S_130,S_130,1.0,,,,,,1,idle,,13,idle
event_killthelord_01_e_18,40043,event_killthelord_01_e,Speech,d,Locale_SubScenario:event_killthelord_01_e_18,True,,S_130,12,1.0,,d,,,,1,idle,,13,idle
event_killthelord_01_e_19,40043,event_killthelord_01_e,Self,d,Locale_SubScenario:event_killthelord_01_e_19,False,,12,12,1.0,,,,,,1,idle,,13,idle
event_killthelord_01_e_20,40043,event_killthelord_01_e,Speech,d,Locale_SubScenario:event_killthelord_01_e_20,True,,12,12,1.0,,d,,,,1,think,,13,idle
event_killthelord_01_e_21,40043,event_killthelord_01_e,Speech,k,Locale_SubScenario:event_killthelord_01_e_21,True,,12,12,1.0,,k,,,,1,idle,,13,delight
