id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
event_freezeacpu_03_s_1,40030,event_freezeacpu_03_s,Narration,Narration,Locale_SubScenario:event_freezeacpu_03_s_1,False,Park,black,black,1.0,none,,,,,,,,,,,,,,,,,,,
event_freezeacpu_03_s_2,40030,event_freezeacpu_03_s,Narration,Narration,Locale_SubScenario:event_freezeacpu_03_s_2,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,
event_freezeacpu_03_s_3,40030,event_freezeacpu_03_s,Monologue,Monologue,Locale_SubScenario:event_freezeacpu_03_s_3,False,,black,black,1.0,bgm_story_leisuretime,,,,,,,,,,,,,,,,,,,
event_freezeacpu_03_s_4,40030,event_freezeacpu_03_s,Monologue,Monologue,Locale_SubScenario:event_freezeacpu_03_s_4,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,
event_freezeacpu_03_s_5,40030,event_freezeacpu_03_s,Speech,poli,Locale_SubScenario:event_freezeacpu_03_s_5,True,,XS_30,XS_30,1.0,,poli,poli,3,delight,miranda,13,idle,quiry,1,idle,anis,5,idle,rapi,17,idle,neon,15,idle
event_freezeacpu_03_s_6,40030,event_freezeacpu_03_s,Speech,poli,Locale_SubScenario:event_freezeacpu_03_s_6,True,,XS_30,XS_30,1.0,,poli,,3,delight,,13,idle,,1,idle,,5,idle,,17,idle,,15,idle
event_freezeacpu_03_s_7,40030,event_freezeacpu_03_s,Speech,miranda,Locale_SubScenario:event_freezeacpu_03_s_7,True,,S_130,S_130,1.0,,miranda,,3,delight,,13,idle,,1,idle,,5,idle,,17,idle,,15,idle
event_freezeacpu_03_s_8,40030,event_freezeacpu_03_s,Speech,quiry,Locale_SubScenario:event_freezeacpu_03_s_8,True,,S_10,S_10,1.0,,quiry,,3,delight,,13,idle,,1,delight,,5,idle,,17,idle,,15,idle
event_freezeacpu_03_s_9,40030,event_freezeacpu_03_s,Self,Self,Locale_SubScenario:event_freezeacpu_03_s_9,False,,S_10,S_30,1.0,,,,3,idle,,13,idle,,1,idle,,5,idle,,17,idle,,15,idle
event_freezeacpu_03_s_10,40030,event_freezeacpu_03_s,Speech,poli,Locale_SubScenario:event_freezeacpu_03_s_10,True,,S_30,S_30,1.0,,poli,,3,idle,,13,idle,,1,idle,,5,idle,,17,idle,,15,idle
event_freezeacpu_03_s_11,40030,event_freezeacpu_03_s,Speech,miranda,Locale_SubScenario:event_freezeacpu_03_s_11,True,,S_130,S_130,1.0,,miranda,,3,idle,,13,idle,,1,idle,,5,idle,,17,idle,,15,idle
event_freezeacpu_03_s_12,40030,event_freezeacpu_03_s,Speech,poli,Locale_SubScenario:event_freezeacpu_03_s_12,True,,XS_30,XS_30,1.0,,poli,,3,angry,,13,idle,,1,idle,,5,idle,,17,idle,,15,idle
event_freezeacpu_03_s_13,40030,event_freezeacpu_03_s,Speech,poli,Locale_SubScenario:event_freezeacpu_03_s_13,True,,XS_30,XS_30,1.0,,poli,,3,idle,,13,idle,,1,idle,,5,idle,,17,idle,,15,idle
event_freezeacpu_03_s_14,40030,event_freezeacpu_03_s,Speech,anis,Locale_SubScenario:event_freezeacpu_03_s_14,True,,XS_30,53,1.0,,anis,,3,idle,,13,idle,,1,idle,,5,idle,,17,idle,,15,idle
event_freezeacpu_03_s_15,40030,event_freezeacpu_03_s,Speech,poli,Locale_SubScenario:event_freezeacpu_03_s_15,True,,53,53,1.0,,poli,,3,idle,,13,idle,,1,idle,,5,idle,,17,idle,,15,idle
event_freezeacpu_03_s_16,40030,event_freezeacpu_03_s,Speech,anis,Locale_SubScenario:event_freezeacpu_03_s_16,True,,53,53,1.0,,anis,,3,idle,,13,idle,,1,idle,,5,worry,,17,idle,,15,idle
event_freezeacpu_03_s_17,40030,event_freezeacpu_03_s,Speech,poli,Locale_SubScenario:event_freezeacpu_03_s_17,True,,53,XS_30,1.0,,poli,,3,idle,,13,idle,,1,idle,,5,worry,,17,idle,,15,idle
