id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_perfectmaid_06_s_1,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_1,True,MaidCafe,15,15,0.6,bgm_story_epicjazzymoods,,,,privaty_m,15,sad,,,,,,,,,,,,
event_perfectmaid_06_s_2,40039,event_perfectmaid_06_s,Self,,,Locale_SubScenario:event_perfectmaid_06_s_2,False,,15,15,1.0,,,,,,15,sad,,,,,,,,,,,,
event_perfectmaid_06_s_3,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_3,True,,15,150,1.0,,,,,,15,surprise,,,,,,,,,,,,
event_perfectmaid_06_s_4,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_4,True,,150,150,1.0,,,,,,15,idle,,,,,,,,,,,,
event_perfectmaid_06_s_5,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_5,True,,150,150,1.0,,,,,,15,idle,,,,,,,,,,,,
event_perfectmaid_06_s_6,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_6,True,,150,150,1.0,,,,,,15,sad,,,,,,,,,,,,
event_perfectmaid_06_s_7,40039,event_perfectmaid_06_s,Self,,,Locale_SubScenario:event_perfectmaid_06_s_7,False,,150,150,1.0,,,,,,15,sad,,,,,,,,,,,,
event_perfectmaid_06_s_8,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_8,True,,150,150,1.0,,,,,,15,sad2,,,,,,,,,,,,
event_perfectmaid_06_s_9,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_9,True,,150,150,1.0,,,,,,15,delight,,,,,,,,,,,,
event_perfectmaid_06_s_10,40039,event_perfectmaid_06_s,Self,,,Locale_SubScenario:event_perfectmaid_06_s_10,False,,150,150,1.0,,,,,,15,delight,,,,,,,,,,,,
event_perfectmaid_06_s_11,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_11,True,,150,150,1.0,,,,,,15,sad,,,,,,,,,,,,
event_perfectmaid_06_s_12,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_12,True,,150,150,1.0,,,,,,15,sad,,,,,,,,,,,,
event_perfectmaid_06_s_13,40039,event_perfectmaid_06_s,Self,,,Locale_SubScenario:event_perfectmaid_06_s_13,False,,150,150,1.0,,,,,,15,sad,,,,,,,,,,,,
event_perfectmaid_06_s_14,40039,event_perfectmaid_06_s,Self,,,Locale_SubScenario:event_perfectmaid_06_s_14,False,,150,150,1.0,,,,,,15,sad,,,,,,,,,,,,
event_perfectmaid_06_s_15,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_15,True,,150,1500,1.0,,,,,,15,shy,,,,,,,,,,,,
event_perfectmaid_06_s_16,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_16,True,,1500,1500,1.0,,Low_2,,,,15,shy,,,,,,,,,,,,
event_perfectmaid_06_s_17,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_17,True,,1500,1500,1.0,,,,,,15,shy,,,,,,,,,,,,
event_perfectmaid_06_s_18,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_18,True,,1500,1500,1.0,,,,,,15,shy2,,,,,,,,,,,,
event_perfectmaid_06_s_19,40039,event_perfectmaid_06_s,Self,,,Locale_SubScenario:event_perfectmaid_06_s_19,False,,1500,1500,1.0,,,,,,15,shy2,,,,,,,,,,,,
event_perfectmaid_06_s_20,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_20,True,,1500,150,1.0,,,,,,15,no,,,,,,,,,,,,
event_perfectmaid_06_s_21,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_21,True,,150,150,1.0,,,,,,15,no,,,,,,,,,,,,
event_perfectmaid_06_s_22,40039,event_perfectmaid_06_s,Speech,privaty_m,privaty_m,Locale_SubScenario:event_perfectmaid_06_s_22,True,,150,150,1.0,,,,,,15,no,,cocoa,1,idle,,,,,,,,
event_perfectmaid_06_s_23,40039,event_perfectmaid_06_s,Monologue,,,Locale_SubScenario:event_perfectmaid_06_s_23,False,,150,12,1.0,,,,,,13,no,,,1,idle,,,,,,,,
